hour,node,lambda_joint_eur_per_mwh
1,N1,67.14999979629826
1,N2,67.15000003416058
1,N3,67.1499999472648
1,N4,67.14999994788765
1,N5,67.15000003757999
1,N6,67.14999996212005
1,N7,67.15000003416058
1,N8,67.1500000048534
1,N9,67.14999995783003
2,N1,67.14999972744988
2,N2,67.14999997286509
2,N3,67.14999990421474
2,N4,67.1499998916119
2,N5,67.14999997463721
2,N6,67.14999991099096
2,N7,67.14999997286509
2,N8,67.14999994974579
2,N9,67.14999991178739
3,N1,67.14999965053055
3,N2,67.1499999084254
3,N3,67.14999985168633
3,N4,67.14999982933281
3,N5,67.14999990893612
3,N6,67.14999985273505
3,N7,67.1499999084254
3,N8,67.1499998894897
3,N9,67.14999985722432
4,N1,67.14999958818498
4,N2,67.14999985659058
4,N3,67.14999980594109
4,N4,67.14999977816424
4,N5,67.14999985640148
4,N6,67.14999980388919
4,N7,67.14999985659058
4,N8,67.14999983981991
4,N9,67.14999981040948
5,N1,67.14999967257732
5,N2,67.14999993181854
5,N3,67.1499998709691
5,N4,67.1499998513796
5,N5,67.14999993309144
5,N6,67.14999987362548
5,N7,67.14999993181854
5,N8,67.14999991103232
5,N9,67.14999987712055
6,N1,67.1499998135261
6,N2,67.15000005515687
6,N3,67.14999995945347
6,N4,67.14999996511548
6,N5,67.15000006009862
6,N6,67.14999997741641
6,N7,67.15000005515687
6,N8,67.15000002145082
6,N9,67.14999997123208
7,N1,67.14999996870488
7,N2,67.15000021654166
7,N3,67.15000003613336
7,N4,67.15000008874725
7,N5,67.15000022869093
7,N6,67.15000008403646
7,N7,67.15000021654166
7,N8,67.15000014546587
7,N9,67.15000005949729
8,N1,67.15000003341734
8,N2,67.15000031413571
8,N3,67.15000005724544
8,N4,67.15000013196409
8,N5,67.15000033781129
8,N6,67.15000011523512
8,N7,67.15000031413571
8,N8,67.15000016503625
8,N9,67.1500000839056
9,N1,67.1499999432539
9,N2,67.15000021747758
9,N3,67.14999995270765
9,N4,67.15000002618115
9,N5,67.15000023149581
9,N6,67.14999999575915
9,N7,67.15000021747758
9,N8,67.14999997991458
9,N9,67.1499999637903
10,N1,60.00000053121042
10,N2,60.00000073961557
10,N3,60.000000526982234
10,N4,60.00000059359249
10,N5,60.000000744234505
10,N6,60.00000055285078
10,N7,60.00000073961557
10,N8,60.000000508883446
10,N9,60.000000526982234
11,N1,60.00000000798079
11,N2,98.90287107173562
11,N3,18.566860893916363
11,N4,60.00000003180094
11,N5,73.44204902693774
11,N6,45.45095875482283
11,N7,98.90287107173562
11,N8,2.6261722727427497
11,N9,18.566860893916363
12,N1,59.99999996266513
12,N2,100.68357190900903
12,N3,16.670341928529684
12,N4,59.999999979425255
12,N5,74.05733179666186
12,N6,44.78500544777922
12,N7,100.68357190900903
12,N8,2.5941307404420453e-07
12,N9,16.670341928529684
13,N1,59.9999999037451
13,N2,100.6835718371474
13,N3,16.67034175050311
13,N4,59.99999991616325
13,N5,74.05733172576693
13,N6,44.785005267452334
13,N7,100.6835718371474
13,N8,8.327129228797329e-08
13,N9,16.670341750503113
14,N1,59.99999984590532
14,N2,100.68357169137956
14,N3,16.670341699557667
14,N4,59.99999985673072
14,N5,74.05733163445672
14,N6,44.78500515885196
14,N7,100.68357169137956
14,N8,6.657415988495598e-08
14,N9,16.670341699557667
15,N1,59.99999986229127
15,N2,100.68357176040126
15,N3,16.670341790789163
15,N4,59.99999987470963
15,N5,74.05733167007237
15,N6,44.78500528730303
15,N7,100.68357176040126
15,N8,1.349444467203038e-07
15,N9,16.67034179078916
16,N1,59.999999944779304
16,N2,98.90287108754733
16,N3,18.56686070091812
16,N4,59.99999996346058
16,N5,73.44204897961546
16,N6,45.4509586292723
16,N7,98.90287108754733
16,N8,2.6261720394326247
16,N9,18.56686070091812
17,N1,60.00000010726954
17,N2,60.000000302147335
17,N3,60.0000000585466
17,N4,60.0000001581998
17,N5,60.00000029259933
17,N6,60.00000010280147
17,N7,60.000000302147335
17,N8,60.00000002861106
17,N9,60.0000000585466
18,N1,67.14999985517144
18,N2,67.15000020177104
18,N3,67.1499999485325
18,N4,67.14999996570967
18,N5,67.15000024342275
18,N6,67.14999995644288
18,N7,67.15000020177104
18,N8,67.14999999614653
18,N9,67.14999995921485
19,N1,67.15000008850505
19,N2,67.15000085609284
19,N3,67.15000025289952
19,N4,67.15000020854743
19,N5,67.15000098603117
19,N6,67.15000024024418
19,N7,67.15000085609284
19,N8,67.15000049319181
19,N9,67.15000029504756
20,N1,67.15000040277114
20,N2,67.15000108696508
20,N3,67.15000051972159
20,N4,67.15000053387614
20,N5,67.15000118492155
20,N6,67.15000055192343
20,N7,67.15000108696508
20,N8,67.15000077697367
20,N9,67.15000056792529
21,N1,67.15000028704533
21,N2,67.1500007683266
21,N3,67.15000035138658
21,N4,67.15000042439243
21,N5,67.15000081375955
21,N6,67.15000042061625
21,N7,67.1500007683266
21,N8,67.15000059852325
21,N9,67.15000039658374
22,N1,67.15000004221957
22,N2,67.1500003812369
22,N3,67.15000011287445
22,N4,67.15000018636833
22,N5,67.15000039577062
22,N6,67.15000017838044
22,N7,67.1500003812369
22,N8,67.15000029732273
22,N9,67.15000014628025
23,N1,67.14999990316154
23,N2,67.15000017726469
23,N3,67.15000001943976
23,N4,67.15000005475095
23,N5,67.15000018630491
23,N6,67.1500000573709
23,N7,67.15000017726469
23,N8,67.1500001258431
23,N9,67.15000004000237
24,N1,67.14999983557814
24,N2,67.15000008906979
24,N3,67.14999997824766
24,N4,67.14999999115652
24,N5,67.15000009486342
24,N6,67.15000000109792
24,N7,67.15000008906979
24,N8,67.15000005209583
24,N9,67.14999999230919
