hour,node,p_charge_mw,p_discharge_mw,soc_mwh,lambda_eur_per_mwh
1,N1,7.407241868468625e-07,8.142165937776856e-07,6.565492915415016e-05,59.99999987114256
1,N2,7.140097308957769e-07,8.541763645062229e-07,6.551606701986888e-05,59.99999976810198
1,N3,6.349927019024013e-07,1.0275623945974639e-06,6.453238320159346e-05,59.99999988838977
1,N4,7.407098821602498e-07,8.142389506848336e-07,6.56552944425261e-05,59.999999890372116
1,N5,7.337452104940054e-07,8.24029521351317e-07,6.561950855411185e-05,59.999999900701894
1,N6,5.514866314814273e-07,1.445960285249624e-06,4.628062506244993e-05,59.999999895295
1,N7,7.140247123950741e-07,8.541615390064643e-07,6.551612180236621e-05,59.99999984603432
1,N8,6.940447043704278e-07,8.889460376768557e-07,6.538816205817416e-05,59.99999988056964
1,N9,6.349923859080173e-07,1.0275632937961143e-06,6.45324092655125e-05,59.999999888387705
2,N1,7.404602848084162e-07,8.145672476502249e-07,6.547773582725827e-05,59.99999971372267
2,N2,7.137208898718259e-07,8.546302009146115e-07,6.527104331882031e-05,59.9999996034259
2,N3,6.34515195621888e-07,1.0289409509216761e-06,6.402699353695888e-05,59.999999724733755
2,N4,7.404441319971736e-07,8.14592569515574e-07,6.547805894332819e-05,59.99999972965249
2,N5,7.334728373727592e-07,8.244078144263844e-07,6.542526155037731e-05,59.99999973667798
2,N6,5.467338278807069e-07,1.483584370801368e-06,4.5207341888165364e-05,59.999999732606476
2,N7,7.137356557581003e-07,8.546150721374776e-07,6.527112808541054e-05,59.99999968135796
2,N8,6.937326034118728e-07,8.895033752815086e-07,6.508717165607707e-05,59.99999971615143
2,N9,6.345148893726722e-07,1.0289418538482337e-06,6.402701834956333e-05,59.999999724731644
3,N1,7.399056406360053e-07,8.153208711682195e-07,6.529921820008994e-05,59.9999991574029
3,N2,7.131469656364597e-07,8.555487116564657e-07,6.502450110979223e-05,59.999999042516144
3,N3,6.337620171420918e-07,1.0311199597678145e-06,6.351857089636299e-05,59.99999916447114
3,N4,7.398891573444941e-07,8.153492159755625e-07,6.529949560488526e-05,59.99999917131401
3,N5,7.329132620852855e-07,8.252039396457222e-07,6.52296402230421e-05,59.99999917625113
3,N6,5.417656169887799e-07,1.5257455721650717e-06,4.4084364449934865e-05,59.99999917296572
3,N7,7.131609723820149e-07,8.55532608986304e-07,6.502461619040372e-05,59.999999120447285
