hour,node,lambda_joint_eur_per_mwh
1,N1,54.99999998775421
1,N2,55.00000006481945
1,N3,55.000000097439155
1,N4,55.0000001000009
1,N5,55.00000011323245
2,N1,54.999999879742795
2,N2,54.99999996416079
2,N3,54.9999999936233
2,N4,54.9999999903612
2,N5,54.999999998442114
3,N1,54.99999974868275
3,N2,54.99999984108703
3,N3,54.9999998685439
3,N4,54.99999986021895
3,N5,54.99999986494545
4,N1,54.999999497787286
4,N2,54.999999595956275
4,N3,54.999999622406214
4,N4,54.99999961081129
4,N5,54.999999613758355
5,N1,54.99999980239463
5,N2,54.999999893916275
5,N3,54.99999992239064
5,N4,54.99999991605122
5,N5,54.99999992270226
6,N1,55.00000007199984
6,N2,55.00000014833696
6,N3,55.000000183251224
6,N4,55.00000018911332
6,N5,55.000000206825995
7,N1,74.99999957513648
7,N2,74.99999965060235
7,N3,74.99999968713355
7,N4,74.99999967764337
7,N5,74.9999996216652
8,N1,74.99999980969646
8,N2,74.99999990021156
8,N3,74.99999993699998
8,N4,74.99999991347359
8,N5,74.99999981244628
9,N1,74.9999995786664
9,N2,74.99999970513824
9,N3,74.99999975401575
9,N4,74.9999997864755
9,N5,74.9999995285603
10,N1,55.00000051962068
10,N2,55.000000672991895
10,N3,55.00000073113106
10,N4,55.0000008190271
10,N5,55.00000042882101
11,N1,53.068842130503704
11,N2,54.99999993544446
11,N3,55.74222427090844
11,N4,57.783341138927234
11,N5,51.63647936064102
12,N1,51.63648997456659
12,N2,51.636505696860524
12,N3,51.636511714151894
12,N4,51.63652822252521
12,N5,51.63647832430076
13,N1,51.636479678126115
13,N2,51.63648167416028
13,N3,51.63648241838613
13,N4,51.63648443786448
13,N5,51.636478151899645
14,N1,51.63647880726818
14,N2,51.63647963277988
14,N3,51.63647992784404
14,N4,51.63648071630531
14,N5,51.63647811288054
15,N1,51.636479360124106
15,N2,51.63648040638616
15,N3,51.636480785525244
15,N4,51.63648179736414
15,N5,51.63647855522259
16,N1,51.63648237385839
16,N2,51.63648722595488
16,N3,51.636489062225756
16,N4,51.63649405940766
16,N5,51.63647881604347
17,N1,53.06884313430892
17,N2,54.99999998028741
17,N3,55.74222394727172
17,N4,57.78333978173954
17,N5,51.636481107888144
18,N1,74.9999992645377
18,N2,74.99999942615092
18,N3,74.99999948787573
18,N4,74.99999955452653
18,N5,74.99999920462743
19,N1,74.99999993149287
19,N2,75.00000004842009
19,N3,75.00000008733444
19,N4,75.00000000663943
19,N5,74.99999994632056
20,N1,74.99999997838661
20,N2,75.00000010113453
20,N3,75.00000014283613
20,N4,75.0000000354041
20,N5,75.00000001306142
21,N1,74.99999992500803
21,N2,75.00000002787561
21,N3,75.00000006628945
21,N4,74.99999999870103
21,N5,74.99999997142892
22,N1,74.99999978269108
22,N2,74.99999986969434
22,N3,74.99999990819451
22,N4,74.99999988734635
22,N5,74.99999984736147
23,N1,74.99999884116862
23,N2,74.99999892002754
23,N3,74.99999895968345
23,N4,74.99999896439203
23,N5,74.99999896324344
24,N1,55.00000023394968
24,N2,55.0000003116896
24,N3,55.00000034911222
24,N4,55.00000035844772
24,N5,55.00000038202229
