investor,hour,node,lambda_best_response_eur_per_mwh,lambda_joint_eur_per_mwh,difference_eur_per_mwh
I1,1,N1,55.00000053800425,54.99999998775421,5.502500428633539e-07
I1,1,N2,55.000000552320955,55.00000006481945,4.875015022776097e-07
I1,1,N3,55.00000055716362,55.000000097439155,4.5972446116593346e-07
I1,1,N4,55.00000055756151,55.0000001000009,4.575606169510138e-07
I1,1,N5,55.00000056216407,55.00000011323245,4.4893161543768656e-07
I1,2,N1,55.00000051742866,54.999999879742795,6.376858650014583e-07
I1,2,N2,55.00000053332569,54.99999996416079,5.691648965466811e-07
I1,2,N3,55.000000539349735,54.9999999936233,5.457264364849834e-07
I1,2,N4,55.00000053923692,54.9999999903612,5.488757253147014e-07
I1,2,N5,55.00000054178662,54.999999998442114,5.433445053881769e-07
I1,3,N1,55.00000049214762,54.99999974868275,7.434648736648342e-07
I1,3,N2,55.00000050982559,54.99999984108703,6.687385578629801e-07
I1,3,N3,55.00000051645375,54.9999998685439,6.479098502154557e-07
I1,3,N4,55.00000051487605,54.99999986021895,6.546571000853874e-07
I1,3,N5,55.000000518321066,54.99999986494545,6.533756149451619e-07
I1,4,N1,55.00000044303264,54.999999497787286,9.452453539893213e-07
I1,4,N2,55.00000046249311,54.999999595956275,8.665368369520365e-07
I1,4,N3,55.00000046768615,54.999999622406214,8.45279934935661e-07
I1,4,N4,55.000000465047926,54.99999961081129,8.542366387587208e-07
I1,4,N5,55.00000046837665,54.999999613758355,8.546182925783796e-07
I1,5,N1,55.00000050071913,54.99999980239463,6.983244986713544e-07
I1,5,N2,55.00000051942788,54.999999893916275,6.255116034026287e-07
I1,5,N3,55.00000052487439,54.99999992239064,6.024837446716447e-07
I1,5,N4,55.000000523480004,54.99999991605122,6.074287810520218e-07
I1,5,N5,55.00000052664852,54.99999992270226,6.03946261890087e-07
I1,6,N1,55.000000552555235,55.00000007199984,4.805553928122208e-07
I1,6,N2,55.000000568891664,55.00000014833696,4.2055470572677223e-07
I1,6,N3,55.000000573968606,55.000000183251224,3.9071738200391337e-07
I1,6,N4,55.000000575277994,55.00000018911332,3.861646717950862e-07
I1,6,N5,55.000000580066654,55.000000206825995,3.732406597123372e-07
I1,7,N1,75.00000069005469,74.99999957513648,1.114918205757931e-06
I1,7,N2,75.00000070708822,74.99999965060235,1.0564858712314162e-06
I1,7,N3,75.00000071343526,74.99999968713355,1.0263017031775234e-06
I1,7,N4,75.00000071351289,74.99999967764337,1.035869516385901e-06
I1,7,N5,75.00000071232908,74.9999996216652,1.0906638863161788e-06
I1,8,N1,75.00000071763962,74.99999980969646,9.079431606551225e-07
I1,8,N2,75.00000073287924,74.99999990021156,8.326676805836541e-07
I1,8,N3,75.00000073948702,74.99999993699998,8.024870368217307e-07
I1,8,N4,75.00000073205882,74.99999991347359,8.185852351516587e-07
I1,8,N5,75.00000072806567,74.99999981244628,9.15619395414069e-07
I1,9,N1,75.00000067651496,74.9999995786664,1.0978485533996718e-06
I1,9,N2,75.00000069541682,74.99999970513824,9.902785791382485e-07
I1,9,N3,75.00000070280609,74.99999975401575,9.487903440685841e-07
I1,9,N4,75.00000070500064,74.9999997864755,9.185251457211052e-07
I1,9,N5,75.00000067395574,74.9999995285603,1.1453954442686154e-06
I1,10,N1,55.00000064096727,55.00000051962068,1.2134659499452027e-07
I1,10,N2,55.00000066993303,55.000000672991895,-3.0588651611651585e-09
I1,10,N3,55.00000068174929,55.00000073113106,-4.9381768008061044e-08
I1,10,N4,55.00000069864128,55.0000008190271,-1.2038582042350754e-07
I1,10,N5,55.00000062366789,55.00000042882101,1.9484687641124765e-07
I1,11,N1,30.000003115694064,53.068842130503704,-23.06883901480964
I1,11,N2,48.4329467510386,54.99999993544446,-6.567053184405857
I1,11,N3,55.51749447716259,55.74222427090844,-0.22472979374584412
I1,11,N4,75.00000070909111,57.783341138927234,17.216659570163877
