investor,hour,node,lambda_best_response_eur_per_mwh,lambda_joint_eur_per_mwh,difference_eur_per_mwh
I1,1,N1,55.00000099076901,54.999999987749256,1.0030197543642316e-06
I1,1,N2,55.000000429584176,55.00000006481466,3.647695194786138e-07
I1,1,N3,55.000000305876775,55.00000009743407,2.0844270665065778e-07
I1,1,N4,55.00000035891199,55.00000009999539,2.589166001598642e-07
I1,1,N5,55.00000043847542,55.00000011322642,3.2524899751251724e-07
I1,2,N1,55.000001083162516,54.99999987973928,1.2034232383939525e-06
I1,2,N2,55.00000047216696,54.99999996415743,5.080095277776309e-07
I1,2,N3,55.000000391745964,54.99999999361977,3.981261968988292e-07
I1,2,N4,55.00000044236454,54.999999990357516,4.520070220337402e-07
I1,2,N5,55.0000005183067,54.999999998437964,5.198687347274245e-07
I1,3,N1,55.00000115725222,54.999999748674384,1.4085778374806068e-06
I1,3,N2,55.00000050468258,54.99999984107883,6.636037497287361e-07
I1,3,N3,55.000000457304395,54.99999986853559,5.887688061534391e-07
I1,3,N4,55.000000506310656,54.99999986021063,6.461000268132011e-07
I1,3,N5,55.00000057983869,54.999999864936655,7.149020362362535e-07
I1,4,N1,55.00000120038319,54.9999994977437,1.7026394871777484e-06
I1,4,N2,55.00000052284302,54.999999595912875,9.269301415315567e-07
I1,4,N3,55.00000049407903,54.99999962236271,8.717163240135051e-07
I1,4,N4,55.00000054227839,54.999999610767766,9.315106268559248e-07
I1,4,N5,55.00000061459933,54.99999961371436,1.0008849713472046e-06
I1,5,N1,55.00000113902713,54.999999802386206,1.3366409206128083e-06
I1,5,N2,55.00000049469296,54.9999998939081,6.007848654121517e-07
I1,5,N3,55.00000043707063,54.99999992238226,5.146883736983909e-07
I1,5,N4,55.000000486882485,54.9999999160425,5.708399868353808e-07
I1,5,N5,55.00000056161771,54.99999992269303,6.389246820504013e-07
I1,6,N1,55.0000009542948,55.00000007198993,8.823048673889389e-07
I1,6,N2,55.000000409581986,55.00000014832717,2.612548186675667e-07
I1,6,N3,55.000000265386525,55.000000183241056,8.214546909357523e-08
I1,6,N4,55.00000032003214,55.00000018910249,1.3092965645000731e-07
I1,6,N5,55.00000040201058,55.00000020681447,1.9519610816587374e-07
I1,7,N1,75.00000110879351,74.99999966670327,1.4420902374467914e-06
I1,7,N2,75.00000063118901,74.9999997424719,8.887171105698144e-07
I1,7,N3,75.00000046251405,74.99999977913768,6.83376370602673e-07
I1,7,N4,75.00000063126797,74.9999997690295,8.622384655154747e-07
I1,7,N5,75.0000006629906,74.99999973239282,9.305977783924391e-07
I1,8,N1,75.00000108094896,74.99999989684176,1.1841072051765877e-06
I1,8,N2,75.00000061190185,74.99999997615188,6.357499700015978e-07
I1,8,N3,75.0000004306828,75.00000000865867,4.220241294206062e-07
I1,8,N4,75.00000061102537,74.99999996901585,6.420095246539859e-07
I1,8,N5,75.00000066992081,74.9999999222296,7.476912031734173e-07
I1,9,N1,75.0000010654731,74.99999957294125,1.4925318509995122e-06
I1,9,N2,75.00000060972131,74.99999969601147,9.137098402334232e-07
I1,9,N3,75.00000047023858,74.99999974387471,7.263638650556459e-07
I1,9,N4,75.00000061314168,74.9999997729472,8.401944739944156e-07
