unit,hour,node,soc_start_mwh,soc_end_mwh,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_eur_per_mwh,spot_revenue_eur,degradation_cost_eur,rho_charge_dual,sigma_discharge_dual,gamma_soc_transition_dual
I2,1,N1,4.466946695973162e-07,4.4410253421675535e-07,0.0,0.0,0.0,60.00000051648518,0.0,0.0,-30.48805578308397,-15.988255151634622,-69.35610731310442
I2,2,N1,4.4410253421675535e-07,4.4149059094461807e-07,0.0,0.0,0.0,60.00000047417589,0.0,0.0,-31.598186249225936,-15.678028291547596,-69.40836465980446
I2,3,N1,4.4149059094461807e-07,4.388687880757752e-07,0.0,0.0,0.0,60.00000023650971,0.0,0.0,-31.115202999092705,-15.818300649523447,-69.3273141056064
I2,4,N1,4.388687880757752e-07,4.362328559837325e-07,0.0,0.0,0.0,59.99999057894692,0.0,0.0,-30.891974098707575,-15.995987340277823,-69.24327674925286
I2,5,N1,4.362328559837325e-07,4.3357885804794247e-07,0.0,0.0,0.0,60.00000037578282,0.0,0.0,-30.63751705386145,-16.102950263763457,-69.13994841185693
I2,6,N1,4.3357885804794247e-07,4.3090196978690824e-07,0.0,0.0,0.0,60.00000052587559,0.0,0.0,-30.494572312685282,-16.127239094925812,-69.00748673444522
I2,7,N1,4.3090196978690824e-07,4.2819703674833045e-07,0.0,0.0,0.0,60.00000053352735,0.0,0.0,-30.58940648005969,-16.100429041534028,-68.8048042939049
I2,8,N1,4.2819703674833045e-07,4.2546322655216823e-07,0.0,0.0,0.0,60.00000054420854,0.0,0.0,-30.490793160908666,-16.246613808252793,-68.34687288798109
I2,9,N1,4.2546322655216823e-07,4.2270379095006924e-07,0.0,0.0,0.0,60.00000055881343,0.0,0.0,-29.26595395590172,-16.4879933911594,-67.49460157753089
I2,10,N1,4.2270379095006924e-07,4.3211458290097674e-07,4.549037308130524e-09,0.0,-4.549037308130524e-09,52.2000006336286,-2.3745975036681347e-07,3.411777981097893e-08,-35.66693768076008,-14.455341219092231,-66.67969376047286
I2,11,N1,4.3211458290097674e-07,4.3994039798054394e-07,3.101351458091515e-09,0.0,-3.101351458091515e-09,52.86971276577709,-1.6396756077502236e-07,2.326013593568636e-08,-34.70591602622284,-14.889695866334238,-65.85801071409648
I2,12,N1,4.3994039798054394e-07,4.494185349828339e-07,4.6161369279326845e-09,0.0,-4.6161369279326845e-09,52.160559267125926,-2.4078028381460136e-07,3.462102695949513e-08,-34.14209175773191,-14.840644003148718,-65.16305565412728
I2,13,N1,4.494185349828339e-07,4.578685607638967e-07,3.670361462273302e-09,0.0,-3.670361462273302e-09,52.59228616175495,-1.9303270034095485e-07,2.7527710967049764e-08,-32.990895281701036,-15.09147235320403,-64.66719928463614
I2,14,N1,4.578685607638967e-07,4.678337662525225e-07,5.076753474246831e-09,0.0,-5.076753474246831e-09,51.98852878311774,-2.6393294412067434e-07,3.807565105685123e-08,-32.88292355321965,-14.924325443083992,-64.38953791600883
I2,15,N1,4.678337662525225e-07,4.779419466355341e-07,5.211112271074065e-09,0.0,-5.211112271074065e-09,51.9478150679672,-2.707058965561701e-07,3.908334203305549e-08,-32.92801851148264,-14.940788478000771,-64.48841237930091
I2,16,N1,4.779419466355341e-07,4.873702584170929e-07,4.568907101161987e-09,0.0,-4.568907101161987e-09,52.21781068060865,-2.385783260257651e-07,3.42668032587149e-08,-33.81977361599598,-14.91066350569221,-64.8879063853765
I2,17,N1,4.873702584170929e-07,4.968814763166449e-07,4.641368863529095e-09,0.0,-4.641368863529095e-09,52.20000058371768,-2.422794573854678e-07,3.481026647646821e-08,-35.348104962295814,-14.634421457867784,-65.62889695091644
I2,18,N1,4.968814763166449e-07,4.942037343006008e-07,0.0,0.0,0.0,60.000000555649294,0.0,0.0,-28.28250144279979,-15.95798103557674,-66.35923286595758
