hour,lambda_system,system_net_injection_residual_mw
1,60.00000045341974,-2.5555946248090322e-14
2,60.000000232918595,2.1121993043493603e-14
3,59.99999894082025,-1.0692835505921039e-14
4,59.99998887551358,-2.483430128208397e-14
5,59.999999513632545,-1.0379197501464432e-13
6,60.00000050300975,5.973693761873733e-14
7,60.000000564954206,-9.534040223968532e-15
8,60.00000059090195,3.4208746946262636e-15
9,60.000000430704894,-5.610095721308994e-14
10,52.2000006550849,-5.330458296981533e-14
11,52.260854941789994,-1.6736612096224235e-14
12,52.216245466948045,-3.2730762544730396e-14
13,52.21784200092127,1.1886325257393082e-14
14,52.22434850662457,4.9404924595819466e-14
15,52.38330931462855,1.4210854715202004e-14
16,52.23868804244142,-6.89240331475105e-14
17,52.20000059636923,-1.6514567491299204e-15
18,60.000000312002214,-6.881994973895189e-14
19,60.000000985339426,3.347322419244847e-14
20,64.87084034463268,-7.618905506490137e-15
21,60.00000166107486,6.711992073249462e-14
22,60.000000571559326,-4.631711680858075e-14
23,60.00000053281516,-5.898059818321144e-15
24,60.000000470902975,-3.4409974869475946e-14
