hour,generator,dispatch_mw,capacity_mw,marginal_cost_eur_per_mwh,nu_gen_dual
1,G_IEEE1,28.19373150748413,250.0,60.0,0.0
1,G_IEEE2,300.0000029992244,300.0,52.2,-7.8000000677999095
1,G_IEEE3,0.0,270.0,67.15,0.0
1,RES_Wind_N1,94.50000094490427,94.5,0.0,-60.00000057991818
1,RES_PV_N6,0.0,0.0,0.0,
1,RES_PV_N8,0.0,0.0,0.0,
2,G_IEEE1,9.47611831732615,250.0,60.0,0.0
2,G_IEEE2,300.0000029992244,300.0,52.2,-7.800000067537513
2,G_IEEE3,0.0,270.0,67.15,0.0
2,RES_Wind_N1,98.43750098427928,98.4375,0.0,-60.00000057965698
2,RES_PV_N6,0.0,0.0,0.0,
2,RES_PV_N8,0.0,0.0,0.0,
3,G_IEEE1,1.934494698257125,250.0,60.0,0.0
3,G_IEEE2,300.0000029992244,300.0,52.2,-7.80000006643087
3,G_IEEE3,0.0,270.0,67.15,0.0
3,RES_Wind_N1,102.37500102365428,102.375,0.0,-60.00000057854918
3,RES_PV_N6,0.0,0.0,0.0,
3,RES_PV_N8,0.0,0.0,0.0,
4,G_IEEE1,0.04588966364306093,250.0,60.0,0.0
4,G_IEEE2,300.0000029992244,300.0,52.2,-7.800000062175496
4,G_IEEE3,0.0,270.0,67.15,0.0
4,RES_Wind_N1,105.00000104990427,105.0,0.0,-60.00000057429222
4,RES_PV_N6,0.0,0.0,0.0,
4,RES_PV_N8,0.0,0.0,0.0,
5,G_IEEE1,3.882250829683009,250.0,60.0,0.0
5,G_IEEE2,300.0000029992244,300.0,52.2,-7.800000067053234
5,G_IEEE3,0.0,270.0,67.15,0.0
5,RES_Wind_N1,102.37500102365428,102.375,0.0,-60.00000057917108
5,RES_PV_N6,0.0,0.0,0.0,
5,RES_PV_N8,0.0,0.0,0.0,
6,G_IEEE1,34.4652076556511,250.0,60.0,0.0
6,G_IEEE2,300.0000029992244,300.0,52.2,-7.800000067833729
6,G_IEEE3,0.0,270.0,67.15,0.0
6,RES_Wind_N1,94.50000094490427,94.5,0.0,-60.00000057995038
6,RES_PV_N6,0.0,0.0,0.0,
6,RES_PV_N8,0.0,0.0,0.0,
7,G_IEEE1,104.93296234402524,250.0,60.0,0.0
7,G_IEEE2,300.0000029992244,300.0,52.2,-7.800000067954995
7,G_IEEE3,0.0,270.0,67.15,0.0
7,RES_Wind_N1,81.37500081365428,81.375,0.0,-60.00000058006637
7,RES_PV_N6,4.795875047859253,4.795875,0.0,-60.000000581270626
7,RES_PV_N8,8.906625088966752,8.906625,0.0,-60.00000058068015
8,G_IEEE1,119.11971635532987,250.0,60.0,0.0
8,G_IEEE2,300.0000029992244,300.0,52.2,-7.800000067965892
8,G_IEEE3,0.0,270.0,67.15,0.0
8,RES_Wind_N1,68.25000068240428,68.25,0.0,-60.00000058009375
8,RES_PV_N6,23.979375239694253,23.979375,0.0,-60.000000580265635
8,RES_PV_N8,44.533125445231754,44.533125,0.0,-60.00000058013802
9,G_IEEE1,22.6877899108457,250.0,60.0,0.0
9,G_IEEE2,300.0000029992244,300.0,52.2,-7.800000067751452
9,G_IEEE3,0.0,270.0,67.15,0.0
9,RES_Wind_N1,55.12500055115427,55.125,0.0,-60.00000057996424
9,RES_PV_N6,67.14225067132301,67.14225,0.0,-60.00000057987941
9,RES_PV_N8,124.69275124682801,124.69275,0.0,-60.00000057981666
10,G_IEEE1,0.0,250.0,60.0,0.0
10,G_IEEE2,233.5826962628082,300.0,52.2,0.0
10,G_IEEE3,0.0,270.0,67.15,0.0
10,RES_Wind_N1,45.937500459264974,45.9375,0.0,-52.2000005023518
10,RES_PV_N6,115.10100115089563,115.101,0.0,-52.20000050209737
10,RES_PV_N8,213.75900213747562,213.759,0.0,-52.20000050208853
11,G_IEEE1,20.604701784231263,250.0,60.0,0.0
11,G_IEEE2,68.9888985341406,300.0,52.2,0.0
11,G_IEEE3,0.0,270.0,67.15,0.0
11,RES_Wind_N1,39.375000393654275,39.375,0.0,-60.00000057985273
11,RES_PV_N6,163.05975163045306,163.05975,0.0,-41.3307321008479
11,RES_PV_N8,302.82525302813286,302.82525,0.0,-49.91707364977299
12,G_IEEE1,0.0,250.0,60.0,0.0
12,G_IEEE2,56.71829086072688,300.0,52.2,0.0
12,G_IEEE3,0.0,270.0,67.15,0.0
12,RES_Wind_N1,36.750000367390925,36.75,0.0,-60.000000577338724
12,RES_PV_N6,203.8246895380898,203.8246875,0.0,-33.10479642397635
12,RES_PV_N8,378.53156628515933,378.5315625,0.0,-41.69113797013113
13,G_IEEE1,0.0,250.0,60.0,0.0
13,G_IEEE2,42.86399571238909,300.0,52.2,0.0
13,G_IEEE3,0.0,270.0,67.15,0.0
13,RES_Wind_N1,39.37500039364023,39.375,0.0,-52.20000063797122
13,RES_PV_N6,227.80406477788347,227.8040625,0.0,-38.49504023224533
13,RES_PV_N8,423.06469173049027,423.0646875,0.0,-38.49504038178352
14,G_IEEE1,0.0,250.0,60.0,0.0
14,G_IEEE2,31.98899565979642,300.0,52.2,0.0
14,G_IEEE3,0.0,270.0,67.15,0.0
14,RES_Wind_N1,44.62500044613971,44.625,0.0,-52.200000696089226
14,RES_PV_N6,234.99787734982218,234.997875,0.0,-38.49504016696717
14,RES_PV_N8,436.42462936408907,436.424625,0.0,-38.495040380564575
15,G_IEEE1,0.0,250.0,60.0,0.0
15,G_IEEE2,24.113995581522875,300.0,52.2,0.0
15,G_IEEE3,0.0,270.0,67.15,0.0
15,RES_Wind_N1,52.50000052488997,52.5,0.0,-52.200000507715025
15,RES_PV_N6,215.8143771579872,215.814375,0.0,-38.495040374888575
15,RES_PV_N8,400.7981290078247,400.798125,0.0,-38.49504038121496
16,G_IEEE1,0.7697134780349538,250.0,60.0,0.0
16,G_IEEE2,26.698577135366527,300.0,52.2,0.0
16,G_IEEE3,0.0,270.0,67.15,0.0
16,RES_Wind_N1,60.37500060365428,60.375,0.0,-60.00000057942835
16,RES_PV_N6,172.65150172635842,172.6515,0.0,-38.49841184907094
16,RES_PV_N8,320.6385032062572,320.6385,0.0,-47.084753397840274
17,G_IEEE1,0.0,250.0,60.0,0.0
17,G_IEEE2,190.80269590263478,300.0,52.2,0.0
17,G_IEEE3,0.0,270.0,67.15,0.0
17,RES_Wind_N1,68.25000068238997,68.25,0.0,-52.200000502220355
17,RES_PV_N6,119.89687619885437,119.896875,0.0,-52.200000502040695
17,RES_PV_N8,222.6656272265419,222.665625,0.0,-52.20000050202813
18,G_IEEE1,17.474112105071075,250.0,60.0,0.0
18,G_IEEE2,300.0000029992244,300.0,52.2,-7.800000067720526
18,G_IEEE3,0.0,270.0,67.15,0.0
18,RES_Wind_N1,76.12500076115428,76.125,0.0,-60.000000579895406
18,RES_PV_N6,67.14225067132301,67.14225,0.0,-60.00000057985167
18,RES_PV_N8,124.69275124682801,124.69275,0.0,-60.00000057978733
19,G_IEEE1,189.45778625334134,250.0,60.0,0.0
19,G_IEEE2,300.0000029992244,300.0,52.2,-7.800000068097011
19,G_IEEE3,0.0,270.0,67.15,0.0
19,RES_Wind_N1,81.37500081365428,81.375,0.0,-60.00000058016669
19,RES_PV_N6,19.1835001917355,19.1835,0.0,-60.000000580447626
19,RES_PV_N8,35.6265003561655,35.6265,0.0,-60.00000058030311
20,G_IEEE1,225.68323640327353,250.0,60.0,0.0
20,G_IEEE2,300.0000029992244,300.0,52.2,-7.800000068343504
20,G_IEEE3,0.0,270.0,67.15,0.0
20,RES_Wind_N1,86.62500086615428,86.625,0.0,-60.00000058037457
20,RES_PV_N6,2.3979375238798784,2.3979375,0.0,-60.0000005828981
20,RES_PV_N8,4.453312544433628,4.4533125,0.0,-60.0000005817436
21,G_IEEE1,209.3612597856403,250.0,60.0,0.0
21,G_IEEE2,300.0000029992244,300.0,52.2,-7.800000068177692
21,G_IEEE3,0.0,270.0,67.15,0.0
21,RES_Wind_N1,89.25000089240427,89.25,0.0,-60.00000058022315
21,RES_PV_N6,0.0,0.0,0.0,
21,RES_PV_N8,0.0,0.0,0.0,
22,G_IEEE1,152.94748227247527,250.0,60.0,0.0
22,G_IEEE2,300.0000029992244,300.0,52.2,-7.800000068015233
22,G_IEEE3,0.0,270.0,67.15,0.0
22,RES_Wind_N1,91.87500091865428,91.875,0.0,-60.000000580095914
22,RES_PV_N6,0.0,0.0,0.0,
22,RES_PV_N8,0.0,0.0,0.0,
23,G_IEEE1,92.26830555331665,250.0,60.0,0.0
23,G_IEEE2,300.0000029992244,300.0,52.2,-7.800000067942469
23,G_IEEE3,0.0,270.0,67.15,0.0
23,RES_Wind_N1,94.50000094490427,94.5,0.0,-60.00000058004362
23,RES_PV_N6,0.0,0.0,0.0,
23,RES_PV_N8,0.0,0.0,0.0,
24,G_IEEE1,52.1842830141694,250.0,60.0,0.0
24,G_IEEE2,300.0000029992244,300.0,52.2,-7.8000000678818
24,G_IEEE3,0.0,270.0,67.15,0.0
24,RES_Wind_N1,95.81250095802928,95.8125,0.0,-60.00000057999296
24,RES_PV_N6,0.0,0.0,0.0,
24,RES_PV_N8,0.0,0.0,0.0,
