hour,node,lambda_joint_eur_per_mwh
1,N1,59.99999999338173
1,N2,59.99999999008387
1,N3,59.9999999934736
1,N4,59.99999999387459
1,N5,59.99999999414274
1,N6,59.999999993830905
1,N7,59.99999999242755
1,N8,59.99999999333952
1,N9,59.99999999349418
2,N1,59.99999998153939
2,N2,59.9999999780711
2,N3,59.99999998153198
2,N4,59.99999998195637
2,N5,59.9999999821355
2,N6,59.99999998189051
2,N7,59.99999998041478
2,N8,59.99999998135759
2,N9,59.9999999815484
3,N1,59.99999992022453
3,N2,59.999999916696076
3,N3,59.99999992027823
3,N4,59.9999999206131
3,N5,59.999999920746134
3,N6,59.99999992058385
3,N7,59.99999991903976
3,N8,59.99999992003884
3,N9,59.99999992028517
4,N1,59.99999969728523
4,N2,59.99999969376247
4,N3,59.999999697439115
4,N4,59.99999969767446
4,N5,59.99999969779236
4,N6,59.99999969770074
4,N7,59.999999696106144
4,N8,59.99999969715916
4,N9,59.999999697439115
5,N1,59.9999999609274
5,N2,59.99999995743031
5,N3,59.99999996094237
5,N4,59.99999996133059
5,N5,59.99999996148679
5,N6,59.99999996128478
5,N7,59.999999959773994
5,N8,59.999999960745455
5,N9,59.99999996095581
6,N1,59.99999998933284
6,N2,59.99999998584291
6,N3,59.99999998883214
6,N4,59.99999998977251
6,N5,59.99999999002957
6,N6,59.99999998951553
6,N7,59.99999998818659
6,N8,59.999999988889996
6,N9,59.999999988855656
7,N1,59.99999999854886
7,N2,59.99999999572646
7,N3,59.99999999858424
7,N4,59.9999999992501
7,N5,59.99999999994191
7,N6,59.99999999878601
7,N7,59.99999999807013
7,N8,59.999999998669594
7,N9,59.99999999861948
8,N1,59.99999999926393
8,N2,59.99999999626532
8,N3,59.99999999865239
8,N4,59.999999999997094
8,N5,60.00000000092384
8,N6,59.99999999899627
8,N7,59.999999998607144
8,N8,59.999999998767045
8,N9,59.99999999861157
9,N1,59.999999996318955
9,N2,59.999999991440426
9,N3,59.999999993607815
9,N4,59.99999999672371
9,N5,59.99999999726895
9,N6,59.99999999438488
9,N7,59.9999999937841
9,N8,59.99999999327947
9,N9,59.99999999359134
10,N1,52.20000000930764
10,N2,52.200000002977916
10,N3,52.20000000192237
