unit,hour,node,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_joint_eur_per_mwh,spot_revenue_eur
I1,1,N1,0.0,0.0,0.0,59.99999999338173,0.0
I1,1,N2,0.0,0.0,0.0,59.99999999008387,0.0
I1,1,N3,0.0,0.0,0.0,59.9999999934736,0.0
I1,1,N4,0.0,0.0,0.0,59.99999999387459,0.0
I1,1,N5,0.0,0.0,0.0,59.99999999414274,0.0
I1,1,N6,0.0,0.0,0.0,59.999999993830905,0.0
I1,1,N7,0.0,0.0,0.0,59.99999999242755,0.0
I1,1,N8,0.0,0.0,0.0,59.99999999333952,0.0
I1,1,N9,0.0,0.0,0.0,59.99999999349418,0.0
I1,2,N1,0.0,0.0,0.0,59.99999998153939,0.0
I1,2,N2,0.0,0.0,0.0,59.9999999780711,0.0
I1,2,N3,0.0,0.0,0.0,59.99999998153198,0.0
I1,2,N4,0.0,0.0,0.0,59.99999998195637,0.0
I1,2,N5,0.0,0.0,0.0,59.9999999821355,0.0
I1,2,N6,0.0,0.0,0.0,59.99999998189051,0.0
I1,2,N7,0.0,0.0,0.0,59.99999998041478,0.0
I1,2,N8,0.0,0.0,0.0,59.99999998135759,0.0
I1,2,N9,0.0,0.0,0.0,59.9999999815484,0.0
I1,3,N1,0.0,0.0,0.0,59.99999992022453,0.0
I1,3,N2,0.0,0.0,0.0,59.999999916696076,0.0
I1,3,N3,0.0,0.0,0.0,59.99999992027823,0.0
I1,3,N4,0.0,0.0,0.0,59.9999999206131,0.0
I1,3,N5,0.0,0.0,0.0,59.999999920746134,0.0
I1,3,N6,0.0,0.0,0.0,59.99999992058385,0.0
I1,3,N7,0.0,0.0,0.0,59.99999991903976,0.0
I1,3,N8,0.0,0.0,0.0,59.99999992003884,0.0
I1,3,N9,0.0,0.0,0.0,59.99999992028517,0.0
I1,4,N1,0.0,0.0,0.0,59.99999969728523,0.0
I1,4,N2,0.0,0.0,0.0,59.99999969376247,0.0
I1,4,N3,0.0,0.0,0.0,59.999999697439115,0.0
I1,4,N4,0.0,0.0,0.0,59.99999969767446,0.0
I1,4,N5,0.0,0.0,0.0,59.99999969779236,0.0
I1,4,N6,0.0,0.0,0.0,59.99999969770074,0.0
I1,4,N7,0.0,0.0,0.0,59.999999696106144,0.0
I1,4,N8,0.0,0.0,0.0,59.99999969715916,0.0
I1,4,N9,0.0,0.0,0.0,59.999999697439115,0.0
I1,5,N1,0.0,0.0,0.0,59.9999999609274,0.0
I1,5,N2,0.0,0.0,0.0,59.99999995743031,0.0
I1,5,N3,0.0,0.0,0.0,59.99999996094237,0.0
I1,5,N4,0.0,0.0,0.0,59.99999996133059,0.0
I1,5,N5,0.0,0.0,0.0,59.99999996148679,0.0
I1,5,N6,0.0,0.0,0.0,59.99999996128478,0.0
I1,5,N7,0.0,0.0,0.0,59.999999959773994,0.0
I1,5,N8,0.0,0.0,0.0,59.999999960745455,0.0
I1,5,N9,0.0,0.0,0.0,59.99999996095581,0.0
I1,6,N1,0.0,0.0,0.0,59.99999998933284,0.0
I1,6,N2,0.0,0.0,0.0,59.99999998584291,0.0
I1,6,N3,0.0,0.0,0.0,59.99999998883214,0.0
I1,6,N4,0.0,0.0,0.0,59.99999998977251,0.0
I1,6,N5,0.0,0.0,0.0,59.99999999002957,0.0
I1,6,N6,0.0,0.0,0.0,59.99999998951553,0.0
I1,6,N7,0.0,0.0,0.0,59.99999998818659,0.0
I1,6,N8,0.0,0.0,0.0,59.999999988889996,0.0
I1,6,N9,0.0,0.0,0.0,59.999999988855656,0.0
I1,7,N1,0.0,0.0,0.0,59.99999999854886,0.0
I1,7,N2,0.0,0.0,0.0,59.99999999572646,0.0
I1,7,N3,0.0,0.0,0.0,59.99999999858424,0.0
I1,7,N4,0.0,0.0,0.0,59.9999999992501,0.0
I1,7,N5,0.0,0.0,0.0,59.99999999994191,0.0
I1,7,N6,0.0,0.0,0.0,59.99999999878601,0.0
I1,7,N7,0.0,0.0,0.0,59.99999999807013,0.0
I1,7,N8,0.0,0.0,0.0,59.999999998669594,0.0
I1,7,N9,0.0,0.0,0.0,59.99999999861948,0.0
I1,8,N1,0.0,0.0,0.0,59.99999999926393,0.0
I1,8,N2,0.0,0.0,0.0,59.99999999626532,0.0
I1,8,N3,0.0,0.0,0.0,59.99999999865239,0.0
I1,8,N4,0.0,0.0,0.0,59.999999999997094,0.0
I1,8,N5,0.0,0.0,0.0,60.00000000092384,0.0
I1,8,N6,0.0,0.0,0.0,59.99999999899627,0.0
I1,8,N7,0.0,0.0,0.0,59.999999998607144,0.0
I1,8,N8,0.0,0.0,0.0,59.999999998767045,0.0
I1,8,N9,0.0,0.0,0.0,59.99999999861157,0.0
I1,9,N1,0.0,0.0,0.0,59.999999996318955,0.0
I1,9,N2,0.0,0.0,0.0,59.999999991440426,0.0
I1,9,N3,0.0,0.0,0.0,59.999999993607815,0.0
I1,9,N4,0.0,0.0,0.0,59.99999999672371,0.0
I1,9,N5,0.0,0.0,0.0,59.99999999726895,0.0
I1,9,N6,0.0,0.0,0.0,59.99999999438488,0.0
I1,9,N7,0.0,0.0,0.0,59.9999999937841,0.0
I1,9,N8,0.0,0.0,0.0,59.99999999327947,0.0
I1,9,N9,0.0,0.0,0.0,59.99999999359134,0.0
I1,10,N1,0.0,0.0,0.0,52.20000000930764,0.0
I1,10,N2,0.0,0.0,0.0,52.200000002977916,0.0
I1,10,N3,0.0,0.0,0.0,52.20000000192237,0.0
I1,10,N4,0.0,0.0,0.0,52.20000000946543,0.0
I1,10,N5,0.0,0.0,0.0,52.2000000091221,0.0
I1,10,N6,0.0,0.0,0.0,52.20000000133389,0.0
I1,10,N7,0.0,0.0,0.0,52.20000000419589,0.0
I1,10,N8,0.0,0.0,0.0,52.20000000210917,0.0
I1,10,N9,0.0,0.0,0.0,52.200000001918596,0.0
I1,11,N1,0.0,0.0,0.0,59.99999998793449,0.0
I1,11,N2,0.0,0.0,0.0,52.19999999724804,0.0
I1,11,N3,0.0,0.0,0.0,46.7209756043301,0.0
