unit,hour,node,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_joint_eur_per_mwh,spot_revenue_eur
I1,1,N1,6.863512949658814e-07,9.326734633690061e-07,2.463221684031246e-07,60.000000625598034,1.477933025828614e-05
I1,1,N2,6.590724841642006e-07,9.960291510972214e-07,3.369566669330208e-07,60.00000056536296,2.0217400206484068e-05
I1,1,N3,4.125976063235531e-07,0.85901165957142,0.8590112469738137,60.00000070872759,51.54067542723379
I1,1,N4,6.86351191701032e-07,9.326738827180911e-07,2.4632269101705916e-07,60.00000070564307,1.4779361634839448e-05
I1,1,N5,6.78185997047519e-07,9.502681406675569e-07,2.720821436200379e-07,60.00000087901694,1.6324928856367084e-05
I1,1,N6,4.1259740611257766e-07,0.8590436589281167,0.8590432463307106,60.000000725296495,51.54259540290369
I1,1,N7,6.590739801053483e-07,9.960265456514347e-07,3.369525655460865e-07,60.000000705570564,2.0217154170509e-05
I1,1,N8,4.125978191931717e-07,0.8587062338433402,0.858705821245521,60.00000072650828,51.52234989858815
I1,1,N9,4.1259760262972036e-07,0.8589886222480735,0.8589882096504708,60.00000070873452,51.53929318782284
I1,2,N1,6.863277099664969e-07,9.327147189267326e-07,2.463870089602357e-07,60.000000621331814,1.478322069070223e-05
I1,2,N2,6.590504909349007e-07,9.96077076778901e-07,3.3702658584400025e-07,60.00000055922263,2.0221595339112906e-05
I1,2,N3,4.1259171580369683e-07,0.8315548535076159,0.8315544409159001,60.00000070443846,49.893267040732944
I1,2,N4,6.863274614021578e-07,9.32715396493256e-07,2.4638793509109823e-07,60.00000069950822,1.478327627781628e-05
I1,2,N5,6.78162709354063e-07,9.503116220329835e-07,2.721489126789205e-07,60.000000864996714,1.6328934996143145e-05
I1,2,N6,4.125914958998152e-07,0.8316095542531599,0.831609141661664,60.000000720402646,49.896549098793265
I1,2,N7,6.590519799999975e-07,9.960744528489241e-07,3.370224728489266e-07,60.000000699430146,2.0221348606659275e-05
I1,2,N8,4.125919538579495e-07,0.8312303469026651,0.8312299343107112,60.00000072144332,49.87379665832796
I1,2,N9,4.1259171177069175e-07,0.8315315419610996,0.8315311293693878,60.00000070444282,49.891868347929396
I1,3,N1,6.860007974778334e-07,9.33333395875346e-07,2.473325983975126e-07,60.00000061075161,1.483995605490954e-05
I1,3,N2,6.587494646589256e-07,9.96787452395745e-07,3.380379877368194e-07,60.00000054550969,2.0282279448612162e-05
I1,3,N3,4.124836931862379e-07,0.5248203227849939,0.5248199103013007,60.000000691553986,31.48919498101934
I1,3,N4,6.860005162852092e-07,9.33334230299205e-07,2.473337140139958e-07,60.00000068579768,1.4840023010460635e-05
I1,3,N5,6.778437991860345e-07,9.50955938574002e-07,2.731121393879674e-07,60.00000084603045,1.638672859433923e-05
I1,3,N6,4.1248342309228294e-07,0.5247948286083097,0.5247944161248866,60.000000707010905,31.487665338528572
I1,3,N7,6.587508579390769e-07,9.967845711511382e-07,3.3803371321206125e-07,60.00000068571726,2.0282023024519228e-05
I1,3,N8,4.124839515998829e-07,0.5246601377487723,0.5246597252648207,60.00000070789499,31.479583887293234
I1,3,N9,4.1248368636736176e-07,0.5248051931222049,0.5248047806385185,60.000000691552316,31.488287201241075
I1,4,N1,6.865321312804834e-07,9.314098950333563e-07,2.4487776375287284e-07,59.999997610394104,1.4692665240011023e-05
I1,4,N2,6.593073611381611e-07,9.949069930756805e-07,3.355996319375194e-07,59.99999751918351,2.0135977083690062e-05
I1,4,N3,4.127462843319616e-07,0.05227336135063776,0.05227294860435343,59.99999765936001,3.136376793909052
I1,4,N4,6.86532090953164e-07,9.314119947144623e-07,2.448799037612983e-07,59.999997659470914,1.4692793652529361e-05
I1,4,N5,6.784007833595398e-07,9.491168942275135e-07,2.707161108679737e-07,59.99999781707614,1.6242966061125767e-05
I1,4,N6,4.1274619076601036e-07,0.05227242213938028,0.05227200939318951,59.999997674503206,3.1363204420329804
I1,4,N7,6.593073328888473e-07,9.948982471690937e-07,3.3559091428024645e-07,59.99999765939101,2.0135454071327677e-05
I1,4,N8,4.1274635993744907e-07,0.05227144730074167,0.052271034554381736,59.999997676156475,3.136261951793199
I1,4,N9,4.1274628123854136e-07,0.052273139989698944,0.05227272724341771,59.999997659360034,3.136363512253428
I1,5,N1,6.86223331627307e-07,9.329031868265139e-07,2.466798551992069e-07,60.000000617367824,1.4800791464244619e-05
I1,5,N2,6.589533836852843e-07,9.962956686386765e-07,3.373422849533921e-07,60.00000055506008,2.0240537284448763e-05
I1,5,N3,4.1257676134180316e-07,0.7710053460883393,0.771004933511578,60.00000070171624,46.26029655172136
I1,5,N4,6.862230508766849e-07,9.329039508132339e-07,2.4668089993654904e-07,60.0000006953475,1.480085416772189e-05
