unit,hour,node,soc_start_mwh,soc_end_mwh,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_eur_per_mwh,spot_revenue_eur,degradation_cost_eur,rho_charge_dual,sigma_discharge_dual,gamma_soc_transition_dual
I1,1,N1,6.601289418720196e-05,6.597573205230898e-05,1.4636073736067644e-07,1.6300981481856818e-07,1.6649077457891738e-08,60.00000056487503,9.989446568781524e-07,2.3202791413443346e-06,-0.014731190567046894,-0.014737031241857351,-58.173435244254804
I1,2,N1,6.597573205230898e-05,6.593856988871619e-05,1.4636072565861116e-07,1.6300983142945253e-07,1.664910577084137e-08,60.00000051675247,9.989463548539489e-07,2.3202791781604773e-06,-0.014731190566306819,-0.014737031243375973,-58.173434608061854
I1,3,N1,6.593856988871619e-05,6.590140676008502e-05,1.4636032889645824e-07,1.6301038710365187e-07,1.6650058207193635e-08,60.000000271060124,9.990034969447849e-07,2.320280370000826e-06,-0.014731190546929432,-0.014737031283916173,-58.1734180438057
I1,4,N1,6.590140676008502e-05,6.586424198653987e-05,1.4635966136929846e-07,1.6301134192524736e-07,1.6651680555948897e-08,59.99999477646484,9.991007463762949e-07,2.320282524709094e-06,-0.01473119051533987,-0.014737031351733574,-58.173385551339656
I1,5,N1,6.586424198653987e-05,6.582707404008604e-05,1.4635834515442353e-07,1.630131586372045e-07,1.6654813482780983e-08,60.000000422966174,9.992888160112816e-07,2.32028627843721e-06,-0.014731190450711694,-0.014737031484914575,-58.173337130411035
I1,6,N1,6.582707404008604e-05,6.578990225625924e-05,1.4635676508926876e-07,1.6301536612952824e-07,1.6658601040259475e-08,60.00000057042691,9.995160719180828e-07,2.3202909841409776e-06,-0.014731190374247647,-0.014737031644728435,-58.17327278054762
I1,7,N1,6.578990225625924e-05,6.575272569460595e-05,1.463547982236359e-07,1.6301811501201567e-07,1.6663316788379757e-08,60.00000058817685,9.997990171037627e-07,2.320296849267387e-06,-0.014731190279195184,-0.014737031843574435,-58.17319250117329
I1,8,N1,6.575272569460595e-05,6.571554340695187e-05,1.4635244116342698e-07,1.630214095377208e-07,1.666896837429382e-08,60.00000059002547,1.0001381122927451e-06,2.3203038802586086e-06,-0.014731190165547053,-0.0147370320815636,-58.17309629157129
I1,9,N1,6.571554340695187e-05,6.567835444592308e-05,1.4634969432080252e-07,1.630252493186369e-07,1.6675554997834385e-08,60.00000056214112,1.0005333092440783e-06,2.3203120772957955e-06,-0.014731190033568504,-0.014737032358384894,-58.17298415088437
I1,10,N1,6.567835444592308e-05,6.598796600823684e-05,4.3437156932265546e-07,9.075477207162942e-08,-3.43616797251026e-07,52.20000054409987,-1.7936797003465414e-05,3.938447560457136e-06,-0.014755838518801648,-0.014727004237444429,-58.17285607811647
I1,11,N1,6.598796600823684e-05,6.595076970310692e-05,1.4634667150110263e-07,1.6302947511698158e-07,1.6682803615878944e-08,60.00000054831229,1.000968226100123e-06,2.3203210996356313e-06,-0.014731189788528855,-0.01473703287256966,-58.172775797815305
I1,12,N1,6.595076970310692e-05,6.596033923356673e-05,1.7068653174902239e-07,1.4058070720879836e-07,-3.0105824540224023e-08,52.200000675069475,-1.5715240613232172e-06,2.334504292183656e-06,-0.014755837222976376,-0.014727004368484729,-58.1726795843579
I1,13,N1,6.596033923356673e-05,6.596990676781711e-05,1.7068535674296634e-07,1.405815462427006e-07,-3.010381050026575e-08,52.200000673315024,-1.5714189283832199e-06,2.334501772392502e-06,-0.014755836868020419,-0.014727004404106814,-58.172631159843085
I1,14,N1,6.596990676781711e-05,6.599113114160322e-05,1.7784662110528801e-07,1.359446995000592e-07,-4.1901921605228816e-08,52.200000465014654,-2.187280327277952e-06,2.353434904540104e-06,-0.014755836864973552,-0.014727004404442025,-58.172630522766596
I1,15,N1,6.599113114160322e-05,6.600070060140285e-05,1.706864980525228e-07,1.4058074382530856e-07,-3.010575422721423e-08,52.19999968921279,-1.5715203613040994e-06,2.334504314083735e-06,-0.014755837216670807,-0.01472700436923343,-58.17267767311174
I1,16,N1,6.600070060140285e-05,6.596350404326105e-05,1.463465692518533e-07,1.6302962235599583e-07,1.668305310414254e-08,59.99999963682105,1.0009831801896187e-06,2.3203214370588686e-06,-0.014731189785900569,-0.014737032878358846,-58.172772612354905
I1,17,N1,6.596350404326105e-05,6.62731143714736e-05,4.343703336325343e-07,9.075484460718924e-08,-3.43615489025345e-07,52.20000053092271,-1.7936728709556275e-05,3.938438836797926e-06,-0.0147558384861222,-0.014727004240817253,-58.172851618438536
I1,18,N1,6.62731143714736e-05,6.623592497440742e-05,1.4634951486003868e-07,1.6302550022476187e-07,1.6675985364723184e-08,60.00000055480625,1.000559131135332e-06,2.3203126131360042e-06,-0.01473119002676143,-0.014737032372601638,-58.17297841687837
I1,19,N1,6.623592497440742e-05,6.619874218550772e-05,1.463522348103096e-07,1.6302169791849577e-07,1.666946310818616e-08,60.000000602205404,1.0001677965296104e-06,2.3203044954660404e-06,-0.014731190157201842,-0.014737032098986701,-58.173089283214324
I1,20,N1,6.619874218550772e-05,6.616156505726295e-05,1.4635456491625878e-07,1.6301844094196567e-07,1.666387602570689e-08,60.00000062588561,9.998325719720936e-07,2.3202975439366835e-06,-0.01473119026930605,-0.014737031864215665,-58.173184218430876
I1,21,N1,6.616156505726295e-05,6.612439264241688e-05,1.4635650523671426e-07,1.6301572910780064e-07,1.6659223871086385e-08,60.00000061058124,9.995534424369926e-07,2.3202917575838616e-06,-0.014731190362847124,-0.014737031668530477,-58.17326322337374
I1,22,N1,6.612439264241688e-05,6.608722399197286e-05,1.4635805495046068e-07,1.6301356332546742e-07,1.665550837500674e-08,60.0000005941538,9.99330512396338e-07,2.320287137069461e-06,-0.014731190437641525,-0.01473703151217037,-58.17332629874825
I1,23,N1,6.608722399197286e-05,6.605005815651466e-05,1.4635921383390394e-07,1.630119437919114e-07,1.6652729958007452e-08,60.000000586357146,9.991638072448944e-07,2.3202836821936147e-06,-0.014731190493604914,-0.014737031395237406,-58.17337344511831
I1,24,N1,6.605005815651466e-05,6.601289418720196e-05,1.4635998211636659e-07,1.6301087016890529e-07,1.66508880525387e-08,60.000000578091736,9.990532927780627e-07,2.3202813921395392e-06,-0.014731190530715749,-0.01473703131774613,-58.17340466290574
I1,1,N2,6.605002157734286e-05,6.59582668757636e-05,1.2797990892483228e-07,1.9800508696760181e-07,7.002517804276953e-08,60.0000005533533,4.201510721314835e-06,2.444887469193256e-06,-0.014734109255406674,-0.014742105604339861,-57.60624888488967
I1,2,N2,6.59582668757636e-05,6.58665120665203e-05,1.279798799904228e-07,1.9800516239181183e-07,7.002528240138902e-08,60.000000504683044,4.201516979423914e-06,2.4448878178667598e-06,-0.014734109254578565,-0.014742105606486542,-57.60624808111856
I1,3,N2,6.58665120665203e-05,6.57747543786818e-05,1.2797910404535294e-07,1.9800717695456421e-07,7.002807290921127e-08,60.000000258840835,4.201684392678801e-06,2.4448971074993783e-06,-0.01473410923185655,-0.014742105665023465,-57.606227163502695
I1,4,N2,6.57747543786818e-05,6.568299134048773e-05,1.2797767007582626e-07,1.9801092859239244e-07,7.003325851656618e-08,59.99999476426784,4.201995144318587e-06,2.4449144900116403e-06,-0.014734109193175218,-0.014742105766575342,-57.60618613182199
I1,5,N2,6.568299134048773e-05,6.559121948951481e-05,1.2797528372015226e-07,1.980170866767401e-07,7.004180295658785e-08,60.00000041081789,4.202508206169697e-06,2.4449427779766927e-06,-0.01473410911927843,-0.014742105954547023,-57.606124985681866
I1,6,N2,6.559121948951481e-05,6.549943637125836e-05,1.2797224475344556e-07,1.9802497042756267e-07,7.005272567411711e-08,60.00000055914199,4.203163579616447e-06,2.444979113857562e-06,-0.014734109029715357,-0.014742106184880015,-57.606043724391746
I1,7,N2,6.549943637125836e-05,6.540763920797962e-05,1.27968457318795e-07,1.9803479841207258e-07,7.006634109327758e-08,60.000000579220675,4.203980506180528e-06,2.4450244179815065e-06,-0.01473410891817683,-0.014742106471800197,-57.60594234708838
I1,8,N2,6.540763920797962e-05,6.531582521237027e-05,1.2796391885290412e-07,1.9804657734169653e-07,7.008265848879242e-08,60.00000058054885,4.204959550013952e-06,2.4450787214595047e-06,-0.014734108784533817,-0.01474210681560479,-57.605820852696006
I1,9,N2,6.531582521237027e-05,6.522399159744423e-05,1.2795862978830034e-07,1.9806030729378585e-07,7.010167750548551e-08,60.000000542527985,4.206100688361253e-06,2.4451420281156463e-06,-0.014734108628810201,-0.01474210721624779,-57.605679239925486
I1,10,N2,6.522399159744423e-05,6.540759359523799e-05,3.1225181832950025e-07,1.0171109909623941e-07,-2.1054071923326085e-07,52.20000052224926,-1.0990225653930952e-05,3.1047218806930473e-06,-0.014755628216501568,-0.01473101674585148,-57.60551750727443
I1,11,N2,6.540759359523799e-05,6.559116879155166e-05,3.1222706098628433e-07,1.0171449547224334e-07,-2.1051256551404099e-07,52.20000050246344,-1.0988756025607807e-05,3.1045616734389575e-06,-0.014755627479510066,-0.01473101684503132,-57.60539601011274
I1,12,N2,6.559116879155166e-05,6.577472606311035e-05,3.122105037250157e-07,1.0171676729255026e-07,-2.1049373643246546e-07,52.200000499290205,-1.0987773146872158e-05,3.104454532631745e-06,-0.014755626986516827,-0.014731016911377258,-57.60531474550198
I1,13,N2,6.577472606311035e-05,6.595827428517214e-05,3.122021447515914e-07,1.0171791435845128e-07,-2.104842303931401e-07,52.200000493730165,-1.0987276930444327e-05,3.1044004433253203e-06,-0.01475562673761379,-0.014731016944875374,-57.60527371147675
I1,14,N2,6.595827428517214e-05,6.614182233096911e-05,3.12201981952633e-07,1.017179367148037e-07,-2.104840452378293e-07,52.20000048615983,-1.0987267263743577e-05,3.1043993900057755e-06,-0.014755626732782775,-0.01473101694552627,-57.60527290704472
I1,15,N2,6.614182233096911e-05,6.63253790736994e-05,3.1221001529218223e-07,1.0171683436185604e-07,-2.104931809303262e-07,52.200000476536225,-1.0987744144870652e-05,3.104451372405287e-06,-0.014755626972023745,-0.01473101691332991,-57.60531233218656
I1,16,N2,6.63253790736994e-05,6.65089533865213e-05,3.1222624493453893e-07,1.017146074808818e-07,-2.1051163745365714e-07,52.200000480044984,-1.0988707576135959e-05,3.1045563931156556e-06,-0.014755627455253422,-0.014731016848297605,-57.605391987855846
I1,17,N2,6.65089533865213e-05,6.669255414394903e-05,3.1225067256120857e-07,1.0171125627582637e-07,-2.105394162853822e-07,52.20000051573212,-1.0990157638678891e-05,3.104714466277762e-06,-0.014755628182378933,-0.014731016750443308,-57.605511875979076
I1,18,N2,6.669255414394903e-05,6.660071952701598e-05,1.2795835969186193e-07,1.9806100854194358e-07,7.010264885008165e-08,60.00000053665239,4.206158968625653e-06,2.4451452617535415e-06,-0.014734108620853848,-0.014742107236721062,-57.605671999455545
I1,19,N2,6.660071952701598e-05,6.650890430486892e-05,1.279635881307726e-07,1.9804743563666558e-07,7.008384750589298e-08,60.00000059956306,4.205030892373265e-06,2.4450826782557867e-06,-0.01473410877477821,-0.01474210684069678,-57.605812003031886
I1,20,N2,6.650890430486892e-05,6.641710569042366e-05,1.2796806593173632e-07,1.9803581381130515e-07,7.006774787956883e-08,60.00000062862003,4.20406491682012e-06,2.445029098072811e-06,-0.014734108906615436,-0.014742106501525394,-57.605931888193226
I1,21,N2,6.641710569042366e-05,6.63253208977306e-05,1.2797179309968706e-07,1.9802614200816412e-07,7.005434890847705e-08,60.00000061091123,4.2032609773056115e-06,2.4449845133088836e-06,-0.014734109016381029,-0.014742106219164258,-57.6060316562114
I1,22,N2,6.63253208977306e-05,6.623354713944275e-05,1.2797476894278577e-07,1.9801842092912773e-07,7.004365198634196e-08,60.000000588786335,4.202619160421263e-06,2.444948924039351e-06,-0.014734109104025478,-0.014742105993718514,-57.606111308145096
I1,23,N2,6.623354713944275e-05,6.614178162808118e-05,1.2797699320096241e-07,1.9801265046980713e-07,7.003565726884472e-08,60.00000057750136,4.20213947657637e-06,2.444922327530772e-06,-0.014734109169531065,-0.014742105825222958,-57.60617084483954
I1,24,N2,6.614178162808118e-05,6.605002157734286e-05,1.2797846605865182e-07,1.9800882969119365e-07,7.003036363254183e-08,60.00000056753777,4.201821857697386e-06,2.444904718123841e-06,-0.014734109212909127,-0.01474210571364818,-57.606210266926475
I1,1,N3,28.423970303188163,25.827427723474536,7.748890003947088e-08,2.4303639224996725,2.4303638450107723,60.00000056522794,145.82183207435588,18.227729999914295,-2.5786663164712237e-08,-2.93993056856678e-08,-49.14000079664481
I1,2,N3,25.827427723474536,23.52417920407221,7.748890045103978e-08,2.1558406820482885,2.155840604559388,60.000000516769994,129.35043738763702,16.168805696528917,-2.5786663164712237e-08,-2.9017078048586593e-08,-49.140000790906555
I1,3,N3,23.52417920407221,22.075089247767963,7.748890256665201e-08,1.3563482669884923,1.3563481894995897,60.00000027124076,81.38089173787229,10.172612583580461,-2.5786663164712233e-08,-2.7824446193906248e-08,-49.14000077938172
I1,4,N3,22.075089247767963,21.894285123381724,7.748894218300639e-08,0.16923272831326644,0.16923265082432426,59.99999477694393,10.15395816554783,1.2692460435165647,-2.5786663164712256e-08,-2.5996462526458715e-08,-49.140000763837605
I1,5,N3,21.894285123381724,19.863143320227643,7.748890097684646e-08,1.9011487956399387,1.9011487181510376,60.000000423048355,114.0689238933401,14.258616548466298,-2.5786663164712233e-08,-2.867229780545545e-08,-49.14000074784223
I1,6,N3,19.863143320227643,16.584078842758117,7.748889945203248e-08,3.069204418799194,3.0692043413102947,60.00000057076857,184.15226223042305,23.0190337221607,-2.5786663164712233e-08,-3.045693811627185e-08,-49.14000072569842
I1,7,N3,16.584078842758117,12.58750290619763,7.748889902999904e-08,3.740795144508331,3.740795067019432,60.00000058992316,224.44770622794758,28.055964164979223,-2.578666316471223e-08,-3.1600896760211745e-08,-49.140000692056105
I1,8,N3,12.58750290619763,7.492775213768762,7.748889863004481e-08,4.768665188001134,4.768665110512235,60.000000589801445,286.1199094432997,35.76498949117525,-2.5786663164712233e-08,-3.3548926841017446e-08,-49.140000638378034
I1,9,N3,7.492775213768762,6.650968002440093e-07,7.748889819234513e-08,7.0132370454446695,7.013236967955772,60.00000054903237,420.7942219278404,52.59927842200176,-2.5786663164712237e-08,-3.886474128652021e-08,-49.14000053247203
I1,10,N3,6.650968002440093e-07,3.5755591662089965e-07,1.0533040490981237e-07,3.8013781349109755e-07,2.748074085812852e-07,52.20000051858193,1.4344946870453244e-05,3.641011638006825e-06,-2.5786663183641874e-08,-2.5786663371009037e-08,-46.34821729851241
I1,11,N3,3.5755591662089965e-07,5.5648393946582406e-08,1.1040713496676438e-07,3.793126905390033e-07,2.6890555557223895e-07,46.72097604807685,1.2563530021085374e-05,3.6728986912932577e-06,-2.5786663186891318e-08,-2.5786663372919615e-08,-41.18767646320825
I1,12,N3,5.5648393946582406e-08,3.7179108582252103,3.9721270432835625,1.0290065608885626e-07,-3.9721269403829065,4.0113014935195363e-07,-1.593339872840714e-06,29.790953596381637,-4.6852668507895404e-08,-2.5786663184899507e-08,-8.012820968378445
I1,13,N3,3.7179108582252103,28.33745973178812,26.302936948183067,1.0290050743697764e-07,-26.30293684528256,1.875854240089892e-07,-4.934047560803994e-06,197.2720278831268,-1.3353591174953867e-07,-2.57866631848995e-08,-8.012820885094957
I1,14,N3,28.33745973178812,53.038209165107745,26.389689680879254,1.0107242590435275e-07,-26.389689579806827,6.353141797368497e-08,-1.6765743988905065e-06,197.9226733646376,-2.500697506894309e-07,-2.57866631848995e-08,-8.012820883658522
I1,15,N3,53.038209165107745,56.60762217004332,3.8134755500771087,1.0290065620676733e-07,-3.8134754471764527,4.4462531491027235e-07,-1.6955677216034219e-06,28.601067397333235,-4.172423939103505e-08,-2.5786663184899497e-08,-8.012820988471008
I1,16,N3,56.60762217004332,56.60762522366667,3.383647574634098e-06,1.0620864357272814e-07,-3.2774389310613697e-06,5.390244677241846,-1.766619775313875e-05,2.6173921636551194e-05,-2.578666361493384e-08,-2.578666319692862e-08,-11.087593032524525
I1,17,N3,56.60762522366667,56.607624788194215,9.894375342421086e-08,4.942864455640351e-07,3.953426921398243e-07,52.20000051045752,2.063688873150448e-05,4.449226492411845e-06,-2.5786663179285256e-08,-2.5786663449186214e-08,-45.32358224335114
I1,18,N3,56.607624788194215,49.790094043837335,7.748889830332389e-08,6.3812088446057285,6.3812087671168305,60.000000543658224,382.8725294962065,47.8590669157097,-2.5786663164712233e-08,-3.7373169391967174e-08,-49.14000054063753
I1,19,N3,49.790094043837335,44.79771863368674,7.748889864067776e-08,4.672863451788672,4.672863374299773,60.000000608114895,280.3718052996242,35.046476469581776,-2.5786663164712237e-08,-3.340392719518486e-08,-49.14000065859481
I1,20,N3,44.79771863368674,40.54515113823361,7.748889887273217e-08,3.9804032436318475,3.9804031661429486,60.00000063751595,238.82419250614743,29.853024908405597,-2.5786663164712233e-08,-3.2184964514440135e-08,-49.14000071723607
I1,21,N3,40.54515113823361,37.03423266056791,7.74888992518632e-08,3.286219762982804,3.2862196854939048,60.00000062081025,197.17318316975314,24.646648803537776,-2.578666316471223e-08,-3.084472784852001e-08,-49.14000075249615
