fleet,case,gamma,investor,node,hour,p_charge_mw,p_discharge_mw,net_injection_mw
final_gamma1e4,hard_min_norm,,I1,N1,1,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N1,1,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N1,1,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N1,1,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N1,2,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N1,2,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N1,2,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N1,2,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N1,3,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N1,3,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N1,3,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N1,3,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N1,4,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N1,4,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N1,4,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N1,4,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N1,5,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N1,5,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N1,5,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N1,5,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N1,6,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N1,6,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N1,6,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N1,6,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N1,7,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N1,7,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N1,7,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N1,7,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N1,8,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N1,8,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N1,8,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N1,8,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N1,9,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N1,9,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N1,9,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N1,9,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N1,10,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N1,10,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N1,10,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N1,10,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N1,11,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N1,11,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N1,11,0.0,0.0,0.0
