investor,hour,node,lambda_best_response_eur_per_mwh,lambda_joint_eur_per_mwh,difference_eur_per_mwh
I1,1,N1,60.000000488923675,59.99999999642171,4.925019680968035e-07
I1,1,N2,60.000000409173964,59.999999993562454,4.156115096520807e-07
I1,1,N3,60.00000050201288,59.99999999689962,5.05113263216117e-07
I1,1,N4,60.00000050370066,59.9999999969552,5.067454651452863e-07
I1,1,N5,60.00000051163137,59.99999999724182,5.143895478454397e-07
I1,1,N6,60.00000050741322,59.999999997091486,5.103217333157772e-07
I1,1,N7,60.00000046937148,59.99999999572477,4.7364670763272443e-07
I1,1,N8,60.00000049599353,59.99999999668283,4.993107012296605e-07
I1,1,N9,60.0000005020187,59.99999999689962,5.051190825611229e-07
I1,2,N1,59.99985219186243,59.99988748891655,-3.52970541186437e-05
I1,2,N2,59.99985209802256,59.99988748554361,-3.538752105214371e-05
I1,2,N3,59.99985217870988,59.999887488434055,-3.530972417564726e-05
I1,2,N4,59.999852201065906,59.99988748924698,-3.528818107412235e-05
I1,2,N5,59.99985220451545,59.99988748937085,-3.5284855400163906e-05
I1,2,N6,59.999852196204664,59.99988748906964,-3.529286497894191e-05
I1,2,N7,59.99985215822007,59.99988748770593,-3.532948585416307e-05
I1,2,N8,59.99985217906936,59.99988748845197,-3.5309382610648754e-05
I1,2,N9,59.9998521811097,59.999887488522006,-3.53074123040642e-05
I1,3,N1,59.99999397360892,59.99999983273213,-5.8591232061644405e-06
I1,3,N2,59.99999388158956,59.99999982943012,-5.9478405560753345e-06
I1,3,N3,59.999993974358134,59.999999832764225,-5.858406090908375e-06
I1,3,N4,59.99999398333906,59.99999983308337,-5.849744312058647e-06
I1,3,N5,59.99999398633855,59.99999983319229,-5.846853738944446e-06
I1,3,N6,59.99999398290963,59.99999983307012,-5.850160491149836e-06
I1,3,N7,59.999993941787075,59.99999983159243,-5.889805358094691e-06
I1,3,N8,59.99999396602651,59.99999983246377,-5.866437263080115e-06
I1,3,N9,59.9999939743634,59.999999832764225,-5.858400825786703e-06
I1,4,N1,59.99998112213674,59.99999972071066,-1.859857392361164e-05
I1,4,N2,59.99998103152696,59.9999997174605,-1.8685933540041333e-05
I1,4,N3,59.999981125894976,59.999999720852635,-1.8594957658990552e-05
I1,4,N4,59.99998113207504,59.99999972106977,-1.8588994727508634e-05
I1,4,N5,59.99998113506219,59.99999972117854,-1.858611634730778e-05
I1,4,N6,59.99998113275845,59.99999972109715,-1.858833869761156e-05
I1,4,N7,59.99998109172447,59.999999719622814,-1.862789834206069e-05
I1,4,N8,59.99998111872069,59.999999720594346,-1.86018736556548e-05
I1,4,N9,59.99998112590024,59.999999720852635,-1.859495239386888e-05
I1,5,N1,59.99985308809815,59.99988864190437,-3.555380622088933e-05
I1,5,N2,59.999852995993045,59.999888638594115,-3.564260106969641e-05
I1,5,N3,59.99985308198222,59.99988864167476,-3.5559692541653476e-05
I1,5,N4,59.99985309772006,59.99988864224983,-3.554452976572975e-05
I1,5,N5,59.99985310117086,59.99988864237384,-3.554120298332464e-05
I1,5,N6,59.999853095139215,59.99988864215439,-3.5547015173165164e-05
