investor,hour,node,lambda_best_response_eur_per_mwh,lambda_joint_eur_per_mwh,difference_eur_per_mwh
I1,1,N1,60.00000057934928,59.99999999542999,5.839192951384575e-07
I1,1,N2,60.00000057094453,59.99999999177826,5.791662687215648e-07
I1,1,N3,60.00000058072929,59.99999999604036,5.846889337135508e-07
I1,1,N4,60.00000058090674,59.999999996111335,5.847954085425044e-07
I1,1,N5,60.00000058174262,59.99999999647739,5.852652265048164e-07
I1,1,N6,60.00000058129818,59.9999999962854,5.850127777762282e-07
I1,1,N7,60.000000577288844,59.999999994539884,5.827489601983871e-07
I1,1,N8,60.00000058009474,59.99999999576349,5.843312536057965e-07
I1,1,N9,60.000000580729846,59.99999999604036,5.846894879368847e-07
I1,2,N1,60.00000056614478,59.999999989842415,5.763023622762375e-07
I1,2,N2,60.000000557150386,59.99999998593351,5.712168729132827e-07
I1,2,N3,60.000000567017935,59.999999990231736,5.76786199246726e-07
I1,2,N4,60.00000056743447,59.99999999040683,5.770276416683373e-07
I1,2,N5,60.000000568001724,59.99999999065577,5.773459506031031e-07
I1,2,N6,60.00000056766562,59.99999999051109,5.771545303900893e-07
I1,2,N7,60.00000056349471,59.99999998869514,5.747995714955323e-07
I1,2,N8,60.00000056632148,59.99999998992787,5.763936101743639e-07
I1,2,N9,60.00000056701849,59.999999990231736,5.767867534700599e-07
I1,3,N1,60.00000051721786,59.99999997003308,5.471847828175669e-07
I1,3,N2,60.000000507850174,59.99999996596138,5.418887951691431e-07
I1,3,N3,60.000000517770225,59.99999997028252,5.474877013966761e-07
I1,3,N4,60.000000518343626,59.99999997052592,5.478177058648726e-07
I1,3,N5,60.000000518741025,59.99999997070084,5.480401839008664e-07
I1,3,N6,60.000000518468646,59.99999997058396,5.478846887285727e-07
I1,3,N7,60.00000051419449,59.999999968723,5.454714866459653e-07
I1,3,N8,60.000000517033804,59.99999996996122,5.47072581014163e-07
I1,3,N9,60.00000051777078,59.99999997028252,5.4748825562001e-07
I1,4,N1,59.999998538364345,59.99999964330195,-1.1049376027472135e-06
I1,4,N2,59.99999852881483,59.999999639150985,-1.1103361572395443e-06
I1,4,N3,59.99999853876044,59.999999643483285,-1.1047228483107574e-06
I1,4,N4,59.999998539411756,59.99999964376059,-1.104348832825508e-06
I1,4,N5,59.99999853972657,59.99999964389952,-1.1041729521821253e-06
