investor,hour,node,installed_power_mw,charge_offer_mw,charge_bid_price_eur_per_mwh,accepted_charge_mw,discharge_offer_mw,discharge_offer_price_eur_per_mwh,accepted_discharge_mw,joint_lambda_eur_per_mwh
I1,1,N1,0.0,0.0,-7.5,-4.564877930671783e-09,0.0,7.5,-3.999967076541243e-09,59.99999999542999
I1,1,N2,0.0,0.0,-7.5,-4.564941356083103e-09,0.0,7.5,-3.999886042112318e-09,59.99999999177826
I1,1,N3,0.0,0.0,-7.5,-4.565181955161123e-09,0.0,7.5,-3.999580644866967e-09,59.99999999604036
I1,1,N4,0.0,0.0,-7.5,-4.564877957856224e-09,0.0,7.5,-3.99996705051919e-09,59.999999996111335
I1,1,N5,0.0,0.0,-7.5,-4.564899965295414e-09,0.0,7.5,-3.999939101938558e-09,59.99999999647739
I1,1,N6,0.0,0.0,-7.5,-4.5652254445018915e-09,0.0,7.5,-3.9995253916802186e-09,59.9999999962854
I1,1,N7,0.0,0.0,-7.5,-4.5649415027952156e-09,0.0,7.5,-3.999886125167164e-09,59.999999994539884
I1,1,N8,125.79999638797895,125.79999638459972,-349.01862533980847,-9.278315549684046e-09,125.79999638793683,102.96341627503246,1.2867874109959447e-06,59.99999999576349
I1,1,N9,0.0,0.0,-7.5,-4.565181955207123e-09,0.0,7.5,-3.999580644640873e-09,59.99999999604036
I1,2,N1,0.0,0.0,-7.5,-4.565179978304596e-09,0.0,7.5,-3.999584639804359e-09,59.999999989842415
I1,2,N2,0.0,0.0,-7.5,-4.565251001632136e-09,0.0,7.5,-3.999493805381094e-09,59.99999998593351
I1,2,N3,0.0,0.0,-7.5,-4.5654654458393495e-09,0.0,7.5,-3.99922177036376e-09,59.999999990231736
I1,2,N4,0.0,0.0,-7.5,-4.565179949968797e-09,0.0,7.5,-3.999584664019593e-09,59.99999999040683
I1,2,N5,0.0,0.0,-7.5,-4.5652046376134e-09,0.0,7.5,-3.999553275366659e-09,59.99999999065577
I1,2,N6,0.0,0.0,-7.5,-4.565514457575497e-09,0.0,7.5,-3.999159495853388e-09,59.99999999051109
I1,2,N7,0.0,0.0,-7.5,-4.565251281530977e-09,0.0,7.5,-3.9994937698381686e-09,59.99999998869514
I1,2,N8,125.79999638797895,125.79999638459972,-349.001023236956,-9.278287094327674e-09,125.79999638793768,102.96876506317682,1.259193668473168e-06,59.99999998992787
I1,2,N9,0.0,0.0,-7.5,-4.565465446386091e-09,0.0,7.5,-3.999221769642867e-09,59.999999990231736
I1,3,N1,0.0,0.0,-7.5,-4.565373900762719e-09,0.0,7.5,-3.999296294685804e-09,59.99999997003308
I1,3,N2,0.0,0.0,-7.5,-4.565529766463363e-09,0.0,7.5,-3.9990979673893454e-09,59.99999996596138
I1,3,N3,0.0,0.0,-7.5,-4.5659449878296395e-09,0.0,7.5,-3.998569560150596e-09,59.99999997028252
I1,3,N4,0.0,0.0,-7.5,-4.565374009891887e-09,0.0,7.5,-3.99929624183402e-09,59.99999997052592
I1,3,N5,0.0,0.0,-7.5,-4.565427810086711e-09,0.0,7.5,-3.999227816085893e-09,59.99999997070084
I1,3,N6,0.0,0.0,-7.5,-4.566051437557078e-09,0.0,7.5,-3.998433982741891e-09,59.99999997058396
I1,3,N7,0.0,0.0,-7.5,-4.56552954129802e-09,0.0,7.5,-3.9990982181100655e-09,59.999999968723
I1,3,N8,125.79999638797895,125.79999638459972,-348.9359618978977,-9.278181897530292e-09,125.79999638793569,102.85648856680051,2.261923037211481e-06,59.99999996996122
I1,3,N9,0.0,0.0,-7.5,-4.5659449857884035e-09,0.0,7.5,-3.998569560977776e-09,59.99999997028252
I1,4,N1,0.0,0.0,-7.5,-4.56592326157637e-09,0.0,7.5,-3.998637047883652e-09,59.99999964330195
I1,4,N2,0.0,0.0,-7.5,-4.566327265859694e-09,0.0,7.5,-3.998122025704168e-09,59.999999639150985
I1,4,N3,0.0,0.0,-7.5,-4.5673852960030195e-09,0.0,7.5,-3.99677447663143e-09,59.999999643483285
I1,4,N4,0.0,0.0,-7.5,-4.565923277355692e-09,0.0,7.5,-3.998637057711278e-09,59.99999964376059
I1,4,N5,0.0,0.0,-7.5,-4.5660629543141526e-09,0.0,7.5,-3.9984591032700844e-09,59.99999964389952
I1,4,N6,0.0,0.0,-7.5,-4.567662125319927e-09,0.0,7.5,-3.996421567307029e-09,59.99999964379557
I1,4,N7,0.0,0.0,-7.5,-4.566327292312086e-09,0.0,7.5,-3.998122124681708e-09,59.9999996419126
I1,4,N8,125.79999638797895,125.79999638459972,-348.9832087766305,-9.278258301956242e-09,125.79999638793367,102.93427334549601,1.4536855299789758e-06,59.999999643153394
I1,4,N9,0.0,0.0,-7.5,-4.5673852963173415e-09,0.0,7.5,-3.996774476014258e-09,59.999999643483285
I1,5,N1,0.0,0.0,-7.5,-4.567135924543836e-09,0.0,7.5,-3.997079398884708e-09,59.99999998249187
I1,5,N2,0.0,0.0,-7.5,-4.568214408265704e-09,0.0,7.5,-3.995702258589551e-09,59.99999997850081
I1,5,N3,0.0,0.0,-7.5,-4.5710330484388734e-09,0.0,7.5,-3.992105374475491e-09,59.9999999828106
I1,5,N4,0.0,0.0,-7.5,-4.5671358471168735e-09,0.0,7.5,-3.997079469109342e-09,59.999999983019926
I1,5,N5,0.0,0.0,-7.5,-4.567508774687706e-09,0.0,7.5,-3.99660349616505e-09,59.99999998323151
I1,5,N6,0.0,0.0,-7.5,-4.571772011178412e-09,0.0,7.5,-3.991161197448419e-09,59.99999998310106
I1,5,N7,0.0,0.0,-7.5,-4.56821467158488e-09,0.0,7.5,-3.995702255026273e-09,59.999999981262434
I1,5,N8,125.79999638797895,125.79999638459972,-336.3487302746024,-9.257236081566226e-09,125.79999638791355,102.99004100989671,1.1607506394773024e-06,59.999999982497975
I1,5,N9,0.0,0.0,-7.5,-4.571033048599849e-09,0.0,7.5,-3.992105374135917e-09,59.9999999828106
I1,6,N1,0.0,0.0,-7.5,-4.570380642675861e-09,0.0,7.5,-3.992917136773879e-09,59.99999999682904
