unit,soc_hour,node,soc_mwh,delta_soc_capacity_dual,rho_periodicity_dual
I2,0,N1,8.212416465159739e-06,-0.3752736158940507,-65.3255466349369
I2,1,N1,8.127167804602972e-06,-0.3713368164463722,-65.3255466349369
I2,2,N1,8.041908734297377e-06,-0.3674779322298228,-65.3255466349369
I2,3,N1,7.956401054612376e-06,-0.36368057443521146,-65.3255466349369
I2,4,N1,7.870405159398413e-06,-0.3599338301645615,-65.3255466349369
I2,5,N1,7.783678649865772e-06,-0.3562282123998919,-65.3255466349369
I2,6,N1,7.695974928403294e-06,-0.35255356033173624,-65.3255466349369
I2,7,N1,7.607041674021551e-06,-0.3489026164574014,-65.3255466349369
I2,8,N1,7.5166192099199064e-06,-0.34526611428417775,-65.3255466349369
I2,9,N1,7.424438717552227e-06,-0.3416352836407083,-65.3255466349369
I2,10,N1,7.602740818413751e-06,-0.34875332372485524,-65.3255466349369
I2,11,N1,7.778914549626655e-06,-0.35605707106245005,-65.3255466349369
I2,12,N1,7.953683011039202e-06,-0.36357999824341175,-65.3255466349369
I2,13,N1,8.12774790649302e-06,-0.371358252120029,-65.3255466349369
I2,14,N1,8.301800477207492e-06,-0.3794317425818307,-65.3255466349369
I2,15,N1,8.47653168550286e-06,-0.38784488899946257,-65.3255466349369
I2,16,N1,8.652642707254983e-06,-0.3966476805114787,-65.3255466349369
I2,17,N1,8.830855679442223e-06,-0.4058973486800016,-65.3255466349369
I2,18,N1,8.738593215312357e-06,-0.4010901273905965,-65.3255466349369
I2,19,N1,8.648070346908455e-06,-0.3964527844590328,-65.3255466349369
I2,20,N1,8.559018109979459e-06,-0.39197034188206986,-65.3255466349369
I2,21,N1,8.47117657735258e-06,-0.387624856204754,-65.3255466349369
I2,22,N1,8.3842931276168e-06,-0.3834009597875356,-65.3255466349369
I2,23,N1,8.298120731954415e-06,-0.3792847312193799,-65.3255466349369
I2,24,N1,8.212416465159739e-06,-0.37525446714677113,-65.3255466349369
I2,0,N2,5.370339978303297e-06,-0.5158914958099129,-72.44618332669046
I2,1,N2,5.555805943664486e-06,-0.5336566602292487,-72.44618332669046
I2,2,N2,5.741326050770354e-06,-0.5525736873161451,-72.44618332669046
I2,3,N2,5.9284232780312214e-06,-0.5729176103302337,-72.44618332669046
I2,4,N2,6.118674525762815e-06,-0.5950758678347404,-72.44618332669046
I2,5,N2,6.313768857593397e-06,-0.6196135783155451,-72.44618332669046
I2,6,N2,6.515579418131216e-06,-0.6474182738116282,-72.44618332669046
I2,7,N2,6.7262598250738805e-06,-0.6800394147111032,-72.44618332669046
I2,8,N2,6.948383025599951e-06,-0.7204857408698916,-72.44618332669046
I2,9,N2,7.185154786811923e-06,-0.7768645323058897,-72.44618332669046
I2,10,N2,1.0797049168490519e-05,-13.70626526671467,-72.44618332669046
I2,11,N2,9.302353547345795e-06,-1.1593150128020169,-72.44618332669046
I2,12,N2,7.407425041777277e-06,-0.7131118346139779,-72.44618332669046
I2,13,N2,5.863262375007285e-06,-0.5330543051864823,-72.44618332669046
I2,14,N2,3.6296980072466224e-06,-0.4251548324339922,-72.44618332669046
I2,15,N2,1.7776573502210818e-06,-0.345047480905741,-72.44618332669046
I2,16,N2,3.0132814607977664e-07,-0.26949425425656154,-72.44618332669046
I2,17,N2,3.918628177069866e-06,-0.40583995895003655,-72.44618332669046
I2,18,N2,4.156409660629147e-06,-0.4214013907196207,-72.44618332669046
I2,19,N2,4.3795578503066765e-06,-0.43645202596320987,-72.44618332669046
I2,20,N2,4.5912936352035635e-06,-0.4515274606597987,-72.44618332669046
I2,21,N2,4.794203439993165e-06,-0.466841547172653,-72.44618332669046
I2,22,N2,4.990453860522043e-06,-0.48256101359555637,-72.44618332669046
I2,23,N2,5.18193146862298e-06,-0.4988433365489386,-72.44618332669046
I2,24,N2,5.370339978303297e-06,-0.515839063526942,-72.44618332669046
I2,0,N3,11.49506881275989,-3.316395696583727e-07,-55.832403488262976
I2,1,N3,10.560085761684512,-3.021173504949498e-07,-55.832403488262976
I2,2,N3,9.63571828297775,-2.77466222610031e-07,-55.832403488262976
I2,3,N3,8.721109205527751,-2.5646817011638074e-07,-55.832403488262976
I2,4,N3,7.813465011796147,-2.3824626613030838e-07,-55.832403488262976
I2,5,N3,6.807686040454802,-2.2100540917062953e-07,-55.832403488262976
I2,6,N3,5.67552198143265,-2.0442649650480046e-07,-55.832403488262976
I2,7,N3,4.365913573579097,-1.8805657392041746e-07,-55.832403488262976
I2,8,N3,2.711498135655137,-1.7066057114257277e-07,-55.832403488262976
I2,9,N3,7.250785688984982e-07,-1.4770954830969848e-07,-55.832403488262976
I2,10,N3,1.1508463354005426e-07,-1.4770954193404514e-07,-55.832403488262976
I2,11,N3,2.727048900758554e-06,-1.5193550180825748e-07,-55.832403488262976
I2,12,N3,4.421729356432973,-2.019943324075396e-07,-55.832403488262976
I2,13,N3,10.017054446896172,-3.019870741632624e-07,-55.832403488262976
I2,14,N3,15.812030473062888,-5.826469717325161e-07,-55.832403488262976
I2,15,N3,21.404802302442068,-5.723824792426559e-06,-55.832403488262976
I2,16,N3,21.404804914407205,-26.58960019718814,-55.832403488262976
I2,17,N3,21.404804304413275,-3.419775646997672,-55.832403488262976
I2,18,N3,18.711232985723424,-1.2348687242489507e-06,-55.832403488262976
I2,19,N3,17.04515612799193,-7.633276940809863e-07,-55.832403488262976
I2,20,N3,15.70044683589568,-5.826930501532898e-07,-55.832403488262976
I2,21,N3,14.525682722626334,-4.821075272177093e-07,-55.832403488262976
I2,22,N3,13.462562779964781,-4.163467110794565e-07,-55.832403488262976
I2,23,N3,12.46089783822705,-3.685902852424435e-07,-55.832403488262976
I2,24,N3,11.49506881275989,-3.3163957051082566e-07,-55.832403488262976
I2,0,N4,8.212293074935645e-06,-0.375278309564807,-65.32555227880472
I2,1,N4,8.127044707559605e-06,-0.37134144731302177,-65.32555227880472
I2,2,N4,8.041785929731404e-06,-0.3674824656552517,-65.32555227880472
I2,3,N4,7.956278535806424e-06,-0.3636850473227346,-65.32555227880472
I2,4,N4,7.870282913756039e-06,-0.359938212140474,-65.32555227880472
I2,5,N4,7.783556659607334e-06,-0.3562325213451087,-65.32555227880472
I2,6,N4,7.695853169944655e-06,-0.3525577749542126,-65.32555227880472
I2,7,N4,7.606920117114251e-06,-0.3489067586111527,-65.32555227880472
I2,8,N4,7.516497816920527e-06,-0.345270153503934,-65.32555227880472
I2,9,N4,7.424317443138883e-06,-0.3416392770391649,-65.32555227880472
I2,10,N4,7.602619095660088e-06,-0.3487574851464834,-65.32555227880472
I2,11,N4,7.778792380479e-06,-0.35606137741095795,-65.32555227880472
I2,12,N4,7.953560387057641e-06,-0.363584472153097,-65.32555227880472
I2,13,N4,8.12762480022774e-06,-0.37136293939448217,-65.32555227880472
I2,14,N4,8.30167693474943e-06,-0.37943674253981224,-65.32555227880472
I2,15,N4,8.476407684071006e-06,-0.38785055740641156,-65.32555227880472
I2,16,N4,8.652518257836195e-06,-0.39665214986719405,-65.32555227880472
I2,17,N4,8.830730779957044e-06,-0.4059025158155939,-65.32555227880472
I2,18,N4,8.738468431805677e-06,-0.4010954053873004,-65.32555227880472
I2,19,N4,8.647945724375646e-06,-0.3964579768947036,-65.32555227880472
I2,20,N4,8.558893685833592e-06,-0.3919754335850108,-65.32555227880472
I2,21,N4,8.471052382146984e-06,-0.38762988891781486,-65.32555227880472
I2,22,N4,8.384169185237507e-06,-0.3834059179342702,-65.32555227880472
I2,23,N4,8.297997059911309e-06,-0.37928953937030463,-65.32555227880472
I2,24,N4,8.212293074935645e-06,-0.37525917163808975,-65.32555227880472
I2,0,N5,7.978910851464952e-06,-0.3770503502498928,-68.55016386114956
I2,1,N5,7.987046874570692e-06,-0.3781741489135127,-68.55016386114956
I2,2,N5,7.995183314239826e-06,-0.3792976004070333,-68.55016386114956
I2,3,N5,8.003341034998365e-06,-0.3804322058703399,-68.55016386114956
I2,4,N5,8.011540959000537e-06,-0.38158053175904655,-68.55016386114956
I2,5,N5,8.019804113046677e-06,-0.3827428963488971,-68.55016386114956
I2,6,N5,8.02815170560576e-06,-0.3839209631705487,-68.55016386114956
I2,7,N5,8.036605174398479e-06,-0.38512126639757366,-68.55016386114956
I2,8,N5,8.045186244297013e-06,-0.38635197711587604,-68.55016386114956
I2,9,N5,8.053916989865177e-06,-0.38764177936105787,-68.55016386114956
I2,10,N5,8.476786135900697e-06,-0.41400373157775117,-68.55016386114956
I2,11,N5,8.33012027378371e-06,-0.4011367213439779,-68.55016386114956
I2,12,N5,8.160897326436466e-06,-0.38932441825210046,-68.55016386114956
I2,13,N5,7.992323825564976e-06,-0.37810042660435145,-68.55016386114956
I2,14,N5,7.812979338956006e-06,-0.36758164139836075,-68.55016386114956
I2,15,N5,7.643776825378296e-06,-0.3573962502480847,-68.55016386114956
I2,16,N5,7.497130283698881e-06,-0.3474288984860919,-68.55016386114956
I2,17,N5,7.920057592206356e-06,-0.36908083441697853,-68.55016386114956
I2,18,N5,7.928803563941246e-06,-0.37027020788202697,-68.55016386114956
I2,19,N5,7.937400373346005e-06,-0.3714210869454493,-68.55016386114956
I2,20,N5,7.945870171867458e-06,-0.3725547391437414,-68.55016386114956
I2,21,N5,7.95423476222937e-06,-0.3736803914032224,-68.55016386114956
I2,22,N5,7.962515599938e-06,-0.37480174517032777,-68.55016386114956
I2,23,N5,7.970733935032496e-06,-0.3759208211805683,-68.55016386114956
I2,24,N5,7.978910851464952e-06,-0.37702995004461465,-68.55016386114956
