unit,hour,node,soc_start_mwh,soc_end_mwh,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_eur_per_mwh,spot_revenue_eur,degradation_cost_eur,rho_charge_dual,sigma_discharge_dual,gamma_soc_transition_dual
I3,1,N1,2.0275068563262582e-05,2.024954411941025e-05,3.692277610271751e-08,5.623877589826993e-08,1.9315999795552424e-08,67.15000063681514,1.2970693985720664e-06,6.987116400074058e-07,-0.026731131859702058,-0.026747468428258293,-65.09392732475933
I3,2,N1,2.024954411941025e-05,2.022401964120352e-05,3.6922765902355846e-08,5.6238799117488834e-08,1.9316033215132988e-08,67.15000062787091,1.2970716425241555e-06,6.987117376488351e-07,-0.02673109227860368,-0.026747508140292316,-65.09392557938969
I3,3,N1,2.022401964120352e-05,2.019849426704638e-05,3.692249977556567e-08,5.623940457445658e-08,1.9316904798890913e-08,67.150000614178,1.2971301691095426e-06,6.987142826251669e-07,-0.02673107394889644,-0.02674752524346364,-65.09388064387012
I3,4,N1,2.019849426704638e-05,2.0172967135282727e-05,3.692197772105446e-08,5.624059232428825e-08,1.931861460323379e-08,67.15000059859895,1.2972449821712514e-06,6.987192753400703e-07,-0.026731066932407267,-0.02674753130534081,-65.09379250997725
I3,5,N1,2.0172967135282727e-05,2.0147437383630896e-05,3.692119957068029e-08,5.62423628051845e-08,1.932116323450421e-08,67.15000061849074,1.297416123146918e-06,6.98726717818986e-07,-0.026731053280117198,-0.026747543785231566,-65.09366117404869
I3,6,N1,2.0147437383630896e-05,2.012190415055007e-05,3.69201656196787e-08,5.624471558239381e-08,1.932454996271511e-08,67.15000063849806,1.2976435423350073e-06,6.987366090155438e-07,-0.0267310443367963,-0.02674755192545977,-65.09348663487111
I3,7,N1,2.012190415055007e-05,2.0096366574813275e-05,3.6918876041562446e-08,5.6247650514144714e-08,1.9328774472582268e-08,67.15000065203549,1.2979272184369461e-06,6.987489491678038e-07,-0.02673103588091272,-0.026747559882561382,-65.09326888906216
I3,8,N1,2.0096366574813275e-05,2.0070823795431928e-05,3.691733100276265e-08,5.625116752313947e-08,1.9333836520376816e-08,67.15000065573692,1.2982671350212135e-06,6.987637389442659e-07,-0.02673103272062345,-0.026747562997051885,-65.09300793625803
I3,9,N1,2.0070823795431928e-05,2.0045274951703307e-05,3.691553070273636e-08,5.6255266516534835e-08,1.9339735813798476e-08,67.15000064550212,1.2986632723804081e-06,6.987809791445339e-07,-0.026731037027054295,-0.026747558772629076,-65.09270377047966
I3,10,N1,2.0045274951703307e-05,2.0096351487507918e-05,8.690640295411856e-08,2.8330714489376024e-08,-5.8575688464742534e-08,60.0000006120708,-3.5145413437370204e-06,8.642783808262093e-07,-0.026777452874906932,-0.026722738112509987,-65.09235637916395
I3,11,N1,2.0096351487507918e-05,2.0147420581945724e-05,8.689979907029654e-08,2.8331893972503853e-08,-5.8567905097792685e-08,60.00000058837553,-3.5140743403274833e-06,8.64237697821003e-07,-0.026777461461935097,-0.026722728034263482,-65.09209541991451
I3,12,N1,2.0147420581945724e-05,2.0198484699726975e-05,8.689538262882833e-08,2.8332682896333644e-08,-5.856269973249469e-08,60.00000058383646,-3.5137620181407208e-06,8.642104914387149e-07,-0.026777462438488567,-0.026722726165145323,-65.0919208758711
I3,13,N1,2.0198484699726975e-05,2.0249546304829613e-05,8.689315283673839e-08,2.8333081251584322e-08,-5.856007158515407e-08,60.00000058079517,-3.513604329120651e-06,8.641967556624203e-07,-0.02677746251630895,-0.026722725654882883,-65.09183274194747
I3,14,N1,2.0249546304829613e-05,2.0300607860792336e-05,8.689310923066365e-08,2.833308904343878e-08,-5.856002018722487e-08,60.00000057721532,-3.5136012450352326e-06,8.641964870557682e-07,-0.026777463984085658,-0.026722724239225122,-65.09183101556559
I3,15,N1,2.0300607860792336e-05,2.035167183114318e-05,8.689525179966462e-08,2.8332706272292305e-08,-5.856254552737232e-08,60.00000057323514,-3.5137527652124484e-06,8.64209685539677e-07,-0.026777460980811695,-0.026722727514438507,-65.09191569931522
I3,16,N1,2.035167183114318e-05,2.0402740679604945e-05,8.6899580782949e-08,2.8331932965406106e-08,-5.85676478175429e-08,60.00000058274436,-3.5140589031825407e-06,8.642363531126633e-07,-0.02677746551973056,-0.026722723919629696,-65.09208678310459
I3,17,N1,2.0402740679604945e-05,2.0453816871021138e-05,8.690609732298935e-08,2.833076907472459e-08,-5.857532824826476e-08,60.00000059662496,-3.5145197298433885e-06,8.642764979828546e-07,-0.026777464136763064,-0.02672272599298376,-65.09234428350489
I3,18,N1,2.0453816871021138e-05,2.0428267717085156e-05,3.6915438607071105e-08,5.625547618598231e-08,1.9340037578911208e-08,67.15000063525696,1.298683535709781e-06,6.987818609479006e-07,-0.026730977769969605,-0.02674761249786354,-65.09268820480754
I3,19,N1,2.0428267717085156e-05,2.0402724560000996e-05,3.691721889487553e-08,5.6251422835697774e-08,1.9334203940822247e-08,67.15000055941091,1.2982918054419786e-06,6.987648129792997e-07,-0.026730982123247815,-0.02674760701312664,-65.09298891468856
I3,20,N1,2.0402724560000996e-05,2.0377186537504883e-05,3.6918743409346084e-08,5.624795248231759e-08,1.932920907297151e-08,67.15000058970716,1.29795640064861e-06,6.987502191874775e-07,-0.026730978952388122,-0.026747608803116128,-65.09324642330138
I3,21,N1,2.0377186537504883e-05,2.035165278719975e-05,3.692001200203285e-08,5.6245065120539885e-08,1.9325053118507033e-08,67.15000066008426,1.2976773296639107e-06,6.987380784192955e-07,-0.026730963473847066,-0.026747622969905235,-65.0934606981996
I3,22,N1,2.035165278719975e-05,2.03261224490812e-05,3.692102536610323e-08,5.624275911810132e-08,1.932173375199809e-08,67.15000065320358,1.2974544340676974e-06,6.987283836315341e-07,-0.026730992731816484,-0.026747594249869465,-65.0936317342145
