hour,node,lambda_joint_eur_per_mwh
1,N1,67.14999962131533
1,N2,67.14999995841737
1,N3,67.149999883707
1,N4,67.14999986550595
1,N5,67.14999996315223
1,N6,67.14999988751165
1,N7,67.14999995841737
1,N8,67.14999993248307
1,N9,67.14999989129487
2,N1,67.14999947000047
2,N2,67.14999983399206
2,N3,67.14999977688016
2,N4,67.14999974619887
2,N5,67.14999983635015
2,N6,67.14999977343294
2,N7,67.14999983399206
2,N8,67.14999981422228
2,N9,67.14999978163877
3,N1,67.14999920294443
3,N2,67.14999960609505
3,N3,67.14999956035456
3,N4,67.14999952025701
3,N5,67.14999960671558
3,N6,67.14999955168172
3,N7,67.14999960609505
3,N8,67.14999959056335
3,N9,67.14999956321557
4,N1,67.14999885200265
4,N2,67.14999928938424
4,N3,67.14999924915178
4,N4,67.14999920390878
4,N5,67.14999928904047
4,N6,67.14999923773175
4,N7,67.14999928938424
4,N8,67.14999927611304
4,N9,67.14999925108557
5,N1,67.14999928812654
5,N2,67.14999969265847
5,N3,67.14999964297498
5,N4,67.14999960543913
5,N5,67.14999969424099
5,N6,67.14999963567998
5,N7,67.14999969265847
5,N8,67.14999967524535
5,N9,67.14999964638125
6,N1,67.14999964453072
6,N2,67.14999998585266
6,N3,67.14999990249284
6,N4,67.14999988872134
6,N5,67.14999999253514
6,N6,67.14999990885498
6,N7,67.14999998585266
6,N8,67.14999995561507
6,N9,67.1499999111864
7,N1,67.14999984537185
7,N2,67.15000016268105
7,N3,67.14999999507515
7,N4,67.15000002023238
7,N5,67.15000018102099
7,N6,67.15000002502124
7,N7,67.15000016268105
7,N8,67.15000009773092
7,N9,67.15000001473712
8,N1,67.14999989591826
8,N2,67.15000025398754
8,N3,67.15000000803757
8,N4,67.15000003082532
8,N5,67.15000029722425
8,N6,67.15000003117979
8,N7,67.15000025398754
8,N8,67.15000012425544
8,N9,67.15000003097585
9,N1,67.14999972121147
9,N2,67.15000005451031
9,N3,67.14999982922689
9,N4,67.14999983008893
9,N5,67.15000009968236
9,N6,67.14999982314534
9,N7,67.15000005451031
9,N8,67.14999987153675
9,N9,67.14999983661164
10,N1,60.00000021405271
10,N2,60.00000042298475
10,N3,60.000000237790324
