hour,lambda_system,system_net_injection_residual_mw
1,67.15000053003259,1.379049447162478e-14
2,67.15000047790015,-1.8037568782302253e-14
3,67.15000038582974,-6.4700344331245754e-15
4,67.15000026333779,-1.8721509651613466e-14
5,67.1500004152782,1.2881746915591768e-14
6,67.1500005381203,-6.747082440674589e-14
7,67.15000060777952,1.1121650793996574e-13
8,67.1500006253314,-1.8985857900955905e-14
9,67.15000056577257,3.6650829859952996e-14
10,60.00000066457098,-1.692221120276952e-14
11,60.00000058109042,-2.4848304086660844e-14
12,60.00000056052624,-8.656279859533381e-15
13,60.00000054505925,-2.0842967658704048e-14
14,60.00000052147196,2.050208234604577e-14
15,60.00000050419038,4.53457246545325e-14
16,60.00000055232475,-9.546697225541116e-15
17,60.00000061367024,-6.409173564735269e-14
18,67.15000051017984,2.4513191210893873e-14
19,67.14999990085758,-7.076652735175377e-15
20,67.14999996355499,-2.1483834123320522e-14
21,67.1500006122944,-2.6705876390572637e-14
22,67.15000060605645,1.4846506593532274e-14
23,67.15000057343694,3.219381673923265e-14
24,67.15000054789505,-1.2277336550501773e-14
