hour,generator,dispatch_mw,capacity_mw,marginal_cost_eur_per_mwh,nu_gen_dual
1,G_IEEE1,270.0000026160469,270.0,60.0,-7.150000042003857
1,G_IEEE3,58.383802503814685,290.0,67.15,0.0
1,RES_Wind_N1,94.50000093650934,94.5,0.0,-67.15000063613266
1,RES_PV_N6,0.0,0.0,0.0,
1,RES_PV_N8,0.0,0.0,0.0,
1,G_PEAKER_N5,1.1553478074387796e-08,200.0,95.0,0.0
2,G_IEEE1,270.0000026160469,270.0,60.0,-7.150000034026528
2,G_IEEE3,34.99969837231114,290.0,67.15,0.0
2,RES_Wind_N1,98.43750097588435,98.4375,0.0,-67.15000062790125
2,RES_PV_N6,0.0,0.0,0.0,
2,RES_PV_N8,0.0,0.0,0.0,
2,G_PEAKER_N5,1.155347806806479e-08,200.0,95.0,0.0
3,G_IEEE1,270.0000026160469,270.0,60.0,-7.150000021476344
3,G_IEEE3,18.97337277421889,290.0,67.15,0.0
3,RES_Wind_N1,102.37500101525934,102.375,0.0,-67.15000061511653
3,RES_PV_N6,0.0,0.0,0.0,
3,RES_PV_N8,0.0,0.0,0.0,
3,G_PEAKER_N5,1.1553478056952025e-08,200.0,95.0,0.0
4,G_IEEE1,270.0000026160469,270.0,60.0,-7.150000006690886
4,G_IEEE3,11.29028897581168,290.0,67.15,0.0
4,RES_Wind_N1,105.00000104150934,105.0,0.0,-67.15000060018448
4,RES_PV_N6,0.0,0.0,0.0,
4,RES_PV_N8,0.0,0.0,0.0,
4,G_PEAKER_N5,1.1553478041478675e-08,200.0,95.0,0.0
5,G_IEEE1,270.0000026160469,270.0,60.0,-7.150000025453762
5,G_IEEE3,23.020097441225744,290.0,67.15,0.0
5,RES_Wind_N1,102.37500101525934,102.375,0.0,-67.15000061909394
5,RES_PV_N6,0.0,0.0,0.0,
5,RES_PV_N8,0.0,0.0,0.0,
5,G_PEAKER_N5,1.1553478065040134e-08,200.0,95.0,0.0
6,G_IEEE1,270.0000026160469,270.0,60.0,-7.150000043459241
6,G_IEEE3,65.82645210578919,290.0,67.15,0.0
6,RES_Wind_N1,94.50000093650934,94.5,0.0,-67.15000063758805
6,RES_PV_N6,0.0,0.0,0.0,
6,RES_PV_N8,0.0,0.0,0.0,
6,G_PEAKER_N5,1.1553478083221757e-08,200.0,95.0,0.0
7,G_IEEE1,270.0000026160469,270.0,60.0,-7.150000055238203
7,G_IEEE3,139.44919575316175,290.0,67.15,0.0
7,RES_Wind_N1,81.37500080525935,81.375,0.0,-67.15000065039152
7,RES_PV_N6,4.795875039136103,4.795875,0.0,-67.15000077888264
7,RES_PV_N8,8.906625080243604,8.906625,0.0,-67.15000072583227
7,G_PEAKER_N5,1.1553478096527282e-08,200.0,95.0,0.0
8,G_IEEE1,270.0000026160469,270.0,60.0,-7.150000058403962
8,G_IEEE3,154.50258964601375,290.0,67.15,0.0
8,RES_Wind_N1,68.25000067400934,68.25,0.0,-67.15000065497584
8,RES_PV_N6,23.979375230971105,23.979375,0.0,-67.15000067938942
8,RES_PV_N8,44.533125436508605,44.533125,0.0,-67.1500006737382
8,G_PEAKER_N5,1.155347810714753e-08,200.0,95.0,0.0
9,G_IEEE1,270.0000026160469,270.0,60.0,-7.150000049442458
9,G_IEEE3,43.72363174348106,290.0,67.15,0.0
9,RES_Wind_N1,55.125000542759345,55.125,0.0,-67.1500006481084
9,RES_PV_N6,67.14225066259985,67.14225,0.0,-67.15000065240757
9,RES_PV_N8,124.69275123810485,124.69275,0.0,-67.1500006511955
9,G_PEAKER_N5,1.1553478111585083e-08,200.0,95.0,0.0
10,G_IEEE1,234.05249625545974,270.0,60.0,-1.0572443734048514e-08
10,G_IEEE3,7.395305816460566e-08,290.0,67.15,0.0
10,RES_Wind_N1,45.937500449872545,45.9375,0.0,-60.00000061114686
10,RES_PV_N6,115.10100114113598,115.101,0.0,-60.00000060543414
10,RES_PV_N8,213.75900212771597,213.759,0.0,-60.00000060313104
10,G_PEAKER_N5,7.150410433796873e-09,200.0,95.0,0.0
11,G_IEEE1,110.05397987513317,270.0,60.0,0.0
11,G_IEEE3,2.257923364131746e-08,290.0,67.15,0.0
11,RES_Wind_N1,39.37500038424754,39.375,0.0,-60.00000059380883
11,RES_PV_N6,163.05975162002616,163.05975,0.0,-56.135170178015564
11,RES_PV_N8,302.8252530149069,302.82525,0.0,-44.759125920142814
11,G_PEAKER_N5,9.151978207474595e-09,200.0,95.0,0.0
12,G_IEEE1,69.4353173865681,270.0,60.0,0.0
12,G_IEEE3,1.666440797044961e-08,290.0,67.15,0.0
12,RES_Wind_N1,36.75000035799754,36.75,0.0,-60.00000059096335
12,RES_PV_N6,203.82468952739757,203.8246875,0.0,-54.64868705991347
12,RES_PV_N8,378.531566270019,378.5315625,0.0,-38.897212121929236
12,G_PEAKER_N5,9.998012400143162e-09,200.0,95.0,0.0
13,G_IEEE1,53.24564275773442,270.0,60.0,0.0
13,G_IEEE3,1.6664414010854194e-08,290.0,67.15,0.0
13,RES_Wind_N1,39.37500038424754,39.375,0.0,-60.00000058721418
13,RES_PV_N6,227.8040647671913,227.8040625,0.0,-54.64824317210061
13,RES_PV_N8,423.06469171535025,423.0646875,0.0,-38.895461677375266
13,G_PEAKER_N5,9.998009073343351e-09,200.0,95.0,0.0
14,G_IEEE1,40.89846161194031,270.0,60.0,0.0
14,G_IEEE3,1.5888031559548618e-08,290.0,67.15,0.0
14,RES_Wind_N1,44.62500043674754,44.625,0.0,-60.00000058225581
14,RES_PV_N6,234.99787733908275,234.997875,0.0,-54.648243073404046
14,RES_PV_N8,436.42462934857633,436.424625,0.0,-38.895461304390324
14,G_PEAKER_N5,1.0145009644741867e-08,200.0,95.0,0.0
15,G_IEEE1,31.764086798004758,270.0,60.0,0.0
15,G_IEEE3,1.666441574723147e-08,290.0,67.15,0.0
15,RES_Wind_N1,52.50000051549754,52.5,0.0,-60.00000057666423
15,RES_PV_N6,215.81437714729446,215.814375,0.0,-54.648243193785824
15,RES_PV_N8,400.79812899268467,400.798125,0.0,-38.895461796451904
15,G_PEAKER_N5,9.998009071158564e-09,200.0,95.0,0.0
16,G_IEEE1,59.85671691434011,270.0,60.0,0.0
16,G_IEEE3,2.2579233456122932e-08,290.0,67.15,0.0
16,RES_Wind_N1,60.375000594247545,60.375,0.0,-60.00000058359597
16,RES_PV_N6,172.65150171594365,172.6515,0.0,-56.13517013111895
16,RES_PV_N8,320.6385031930394,320.6385,0.0,-44.759125760181675
16,G_PEAKER_N5,9.15197822240277e-09,200.0,95.0,0.0
17,G_IEEE1,191.27249589527588,270.0,60.0,0.0
17,G_IEEE3,7.395305802061992e-08,290.0,67.15,0.0
17,RES_Wind_N1,68.25000067299754,68.25,0.0,-60.00000059428726
17,RES_PV_N6,119.89687618909473,119.896875,0.0,-60.00000059096501
17,RES_PV_N8,222.66562721678224,222.665625,0.0,-60.00000058718929
17,G_PEAKER_N5,7.1504104278986775e-09,200.0,95.0,0.0
18,G_IEEE1,270.0000026160469,270.0,60.0,-7.15000004040878
18,G_IEEE3,39.25316258246046,290.0,67.15,0.0
18,RES_Wind_N1,76.12500075275935,76.125,0.0,-67.15000063607083
18,RES_PV_N6,67.14225066259985,67.14225,0.0,-67.15000064790723
18,RES_PV_N8,124.69275123810485,124.69275,0.0,-67.15000065163625
18,G_PEAKER_N5,1.1553478112765173e-08,200.0,95.0,0.0
19,G_IEEE1,270.0000026160469,270.0,60.0,-7.149999968553277
19,G_IEEE3,204.65938682017864,290.0,67.15,0.0
19,RES_Wind_N1,81.37500080525935,81.375,0.0,-67.1500005637066
19,RES_PV_N6,19.183500183012352,19.1835,0.0,-67.15000063073542
19,RES_PV_N8,35.62650034744235,35.6265,0.0,-67.15000072316215
19,G_PEAKER_N5,1.1553478257678551e-08,200.0,95.0,0.0
20,G_IEEE1,270.0000026160469,270.0,60.0,-7.149999992969246
20,G_IEEE3,244.91256497465392,290.0,67.15,-7.764556106049936e-09
20,RES_Wind_N1,86.62500085775935,86.625,0.0,-67.1500005876755
20,RES_PV_N6,2.3979375151567286,2.3979375,0.0,-67.15000087048735
20,RES_PV_N8,4.453312535710478,4.4533125,0.0,-67.15000085629798
20,G_PEAKER_N5,1.1553478259148745e-08,200.0,95.0,0.0
21,G_IEEE1,270.0000026160469,270.0,60.0,-7.150000061276689
21,G_IEEE3,241.9031515514633,290.0,67.15,-3.812473890603213e-09
21,RES_Wind_N1,89.25000088400934,89.25,0.0,-67.15000065577914
21,RES_PV_N6,0.0,0.0,0.0,
21,RES_PV_N8,0.0,0.0,0.0,
21,G_PEAKER_N5,1.1553478127267214e-08,200.0,95.0,0.0
22,G_IEEE1,270.0000026160469,270.0,60.0,-7.150000056043861
