hour,node,demand_mw,generation_mw,p_charge_mw,p_discharge_mw,storage_net_injection_mw,load_shed_mw,net_injection_mw,lambda_eur_per_mwh
1,N1,0.0,364.50000321038954,1.441314428057403e-07,1.9885837761733051e-07,5.472693481159021e-08,0.0,364.50000326511645,67.15000054704821
1,N2,0.0,0,1.155456502858409e-05,3.205523286701307e-07,-1.123401269991396e-05,0.0,-1.123401269991396e-05,67.15000065134592
1,N3,0.0,58.49515311838524,4.3222141057478356e-07,4.220781139338431,4.2207807071170205,0.0,62.71593382550226,67.1500006279867
1,N4,0.0,0,1.4413047705542194e-07,1.9885546689994025e-07,5.4724989844518313e-08,0.0,5.4724989844518313e-08,67.15000062248536
1,N5,371.25,9.08412974924647e-08,1.8106316429752024e-07,1.5076245616547132e-07,-3.030070813204892e-08,0.0,-371.24999993945937,67.15000065277464
1,N6,35.64,0,1.0884412661801273e-07,3.198366927785604e-07,2.1099256616054766e-07,0.0,-35.63999978900743,67.15000062922513
1,N7,0.0,0,2.740860391617133e-05,3.097186413417856e-07,-2.709888527482954e-05,0.0,-2.7098885274829545e-05,67.15000065134592
1,N8,39.6,0,4.3210411603543177e-07,15.313954793629163,15.313954361525047,0.0,-24.286045638474953,67.15000064339185
1,N9,0.0,0,4.3222969926142906e-07,3.960146986725779,3.9601465544960797,0.0,3.960146554496079,67.15000063033047
2,N1,0.0,368.4375032497645,1.441297591340412e-07,1.9886190718355938e-07,5.473214804951818e-08,0.0,368.4375033044967,67.15000050320047
2,N2,0.0,0,1.1554635750184705e-05,3.205378435184617e-07,-1.1234097906666242e-05,0.0,-1.1234097906666243e-05,67.1500006157611
2,N3,0.0,35.05751973503588,4.322213100342629e-07,4.144454978920023,4.1444545466987135,0.0,39.20197428173459,67.15000059791173
2,N4,0.0,0,1.4412879298486058e-07,1.9885899722111836e-07,5.473020423625778e-08,0.0,5.4730204236257785e-08,67.1500005885257
2,N5,354.375,9.084129734298919e-08,1.810633462312058e-07,1.507623092906923e-07,-3.030103694051349e-08,0.0,-354.37499993945977,67.15000061646654
2,N6,34.02,0,1.0882544500812152e-07,3.200062025920387e-07,2.111807575839172e-07,0.0,-34.01999978881925,67.15000059688857
2,N7,0.0,0,2.7408679895466857e-05,3.0970416728091853e-07,-2.7098975728185938e-05,0.0,-2.7098975728185935e-05,67.1500006157611
2,N8,37.8,0,4.321041166340069e-07,14.684586809396377,14.68458637729226,0.0,-23.11541362270774,67.15000060969797
2,N9,0.0,0,4.322295708645896e-07,3.870974475328413,3.870974043098842,0.0,3.870974043098842,67.15000059937411
3,N1,0.0,372.3750032891395,1.4408797608322502e-07,1.9894956417270226e-07,5.4861588089477245e-08,0.0,372.37500334400113,67.15000042743176
3,N2,0.0,0,1.1557793039280149e-05,3.2019825161580585e-07,-1.1237594787664343e-05,0.0,-1.1237594787664343e-05,67.15000055205155
3,N3,0.0,18.940742586739116,4.322190704405231e-07,4.0396787591818795,4.039678326962808,0.0,22.980420913701924,67.15000053779238
3,N4,0.0,0,1.4408700304713804e-07,1.989466673253922e-07,5.485966427825416e-08,0.0,5.485966427825416e-08,67.15000052545828
3,N5,343.125,9.084129726466082e-08,1.8107028907026457e-07,1.5075670206608925e-07,-3.0313587004175317e-08,0.0,-343.1249999394723,67.150000552229
3,N6,32.94,0,1.0843736148846253e-07,3.2353578752527347e-07,2.1509842603681094e-07,0.0,-32.93999978490157,67.15000053512776
3,N7,0.0,0,2.741376839751631e-05,3.0936775012453376e-07,-2.710440064739178e-05,0.0,-2.710440064739178e-05,67.15000055205155
3,N8,36.6,0,4.3210411751244023e-07,13.570586322543097,13.570585890438979,0.0,-23.02941410956102,67.15000054728385
3,N9,0.0,0,4.3222665973421515e-07,3.73902829559432,3.73902786336766,0.0,3.739027863367661,67.15000053865607
