hour,node,lambda_joint_eur_per_mwh
1,N1,67.14999957027804
1,N2,67.14999991107261
1,N3,67.14999983008664
1,N4,67.14999981446867
1,N5,67.1499999149524
1,N6,67.14999983512872
1,N7,67.14999991107261
1,N8,67.14999988645742
1,N9,67.14999983740026
2,N1,67.1499994995241
2,N2,67.14999986707889
2,N3,67.14999980248507
2,N4,67.14999977572252
2,N5,67.14999986864908
2,N6,67.1499998014194
2,N7,67.14999986707889
2,N8,67.14999984865355
2,N9,67.14999980805693
3,N1,67.14999922844183
3,N2,67.14999963047627
3,N3,67.14999958744309
3,N4,67.14999954575441
3,N5,67.14999963129891
3,N6,67.14999957775625
3,N7,67.14999963047627
3,N8,67.14999961448761
3,N9,67.14999958980454
4,N1,67.14999850745389
4,N2,67.14999894350544
4,N3,67.14999890692866
4,N4,67.14999885936002
4,N5,67.14999894338659
4,N6,67.14999889392891
4,N7,67.14999894350544
4,N8,67.14999892967889
4,N9,67.14999890791636
5,N1,67.14999879086756
5,N2,67.14999919376457
5,N3,67.14999914835849
5,N4,67.14999910818015
5,N5,67.14999919562817
5,N6,67.1499991392214
5,N7,67.14999919376457
5,N8,67.14999917569307
5,N9,67.14999915063933
6,N1,67.14999932326876
6,N2,67.14999966975772
6,N3,67.14999958151193
6,N4,67.14999956745937
6,N5,67.14999967528922
6,N6,67.14999958590448
6,N7,67.14999966975772
6,N8,67.14999964127958
6,N9,67.14999958626903
7,N1,67.14999984696993
7,N2,67.15000017266428
7,N3,67.14999999366441
7,N4,67.15000002183046
7,N5,67.15000018944754
7,N6,67.15000002508056
7,N7,67.15000017266428
7,N8,67.1500001100699
7,N9,67.15000001253689
8,N1,67.14999990929736
8,N2,67.15000027318881
8,N3,67.15000002097788
8,N4,67.15000004420443
8,N5,67.15000031720179
8,N6,67.15000004471156
8,N7,67.15000027318881
8,N8,67.1500001448023
8,N9,67.15000004503085
9,N1,67.14999979307365
9,N2,67.15000013724884
9,N3,67.14999990724752
9,N4,67.1499999019511
9,N5,67.1500001875862
9,N6,67.14999989716257
9,N7,67.15000013724884
9,N8,67.14999995965289
9,N9,67.14999991553606
10,N1,60.00000021405268
10,N2,60.00000042298469
10,N3,60.000000237790296
10,N4,60.00000027643476
10,N5,60.000000442915635
10,N6,60.0000002401824
10,N7,60.00000042298469
10,N8,60.000000235922336
10,N9,60.0000002377903
11,N1,59.99999997423326
11,N2,65.59144228945027
11,N3,54.04488654620128
11,N4,59.99999999396793
11,N5,61.93200247171264
11,N6,57.908891368656896
11,N7,65.59144228945027
11,N8,51.75375897520173
11,N9,54.0448865462013
12,N1,59.999999916061064
12,N2,65.63215354726402
12,N3,54.00152703836079
12,N4,59.999999929154335
12,N5,61.94606932169461
12,N6,57.8936657014325
12,N7,65.63215354726402
12,N8,51.69371775056334
12,N9,54.00152703726814
13,N1,59.99999987120604
13,N2,65.6787765387523
13,N3,53.951871505217326
13,N4,59.99999988232741
13,N5,61.96217885661588
13,N6,57.87622933304612
13,N7,65.6787765387523
13,N8,51.62495811275205
13,N9,53.951871501201516
14,N1,59.99999981740075
14,N2,68.39885632603274
14,N3,51.05487581127939
14,N4,59.9999998275849
14,N5,62.90204378589181
14,N6,56.85896360939593
14,N7,68.39885632603269
14,N8,47.61339310484803
14,N9,51.05487580611472
15,N1,59.99999975218235
15,N2,65.67496543760177
15,N3,53.95593015077419
15,N4,59.999999762205654
15,N5,61.960861932059764
15,N6,57.8776543862814
15,N7,65.67496543760177
15,N8,51.630578346807084
15,N9,53.95593015059912
16,N1,59.9999998913827
16,N2,65.59144209742662
16,N3,54.04488650644783
16,N4,59.999999906402394
16,N5,61.93200233999501
16,N6,57.90889126576789
16,N7,65.59144209742662
16,N8,51.75375897266341
16,N9,54.04488650644783
17,N1,60.000000067944534
17,N2,60.00000025164966
17,N3,60.00000005207226
17,N4,60.000000118874794
17,N5,60.000000260619395
17,N6,60.00000006905401
17,N7,60.00000025164966
17,N8,60.00000004073392
17,N9,60.00000005207226
18,N1,67.14999961614288
18,N2,67.15000007915364
18,N3,67.14999984077343
18,N4,67.14999977269947
18,N5,67.15000015801739
18,N6,67.14999979119075
18,N7,67.15000007915364
18,N8,67.14999989694553
18,N9,67.14999984608414
19,N1,67.14983832799389
19,N2,67.15010714574788
19,N3,67.15000009598698
19,N4,67.14983850285442
19,N5,67.15020653410977
19,N6,67.14989526008495
19,N7,67.15010714574788
19,N8,67.15006249118468
19,N9,67.1500001350572
20,N1,67.14996449613753
20,N2,67.15002453664411
20,N3,67.1500003682004
20,N4,67.14996469371113
20,N5,67.15004656016451
20,N6,67.14997724589084
20,N7,67.15002453664411
20,N8,67.15001451125994
20,N9,67.15000042311837
21,N1,67.14999984770115
21,N2,67.15000056323223
21,N3,67.15000011845547
21,N4,67.1500000588174
21,N5,67.15000067638492
21,N6,67.15000010023743
21,N7,67.15000056323223
21,N8,67.15000039035796
21,N9,67.15000015829149
22,N1,67.14999980413955
22,N2,67.15000021781512
22,N3,67.15000001597288
22,N4,67.15000003065734
22,N5,67.15000025065521
22,N6,67.15000004099166
22,N7,67.15000021781512
22,N8,67.15000013043623
22,N9,67.15000003821729
23,N1,67.14999973384647
23,N2,67.15000010249943
23,N3,67.14999997486755
23,N4,67.14999997803709
23,N5,67.15000011830466
23,N6,67.14999999179267
23,N7,67.15000010249943
23,N8,67.15000005208789
23,N9,67.14999998938335
24,N1,67.14999971003824
24,N2,67.1500000760116
24,N3,67.14999996545173
24,N4,67.14999996408055
24,N5,67.15000008289947
24,N6,67.14999998032403
24,N7,67.1500000760116
24,N8,67.15000004434542
24,N9,67.14999997864608
