hour,lambda_system,system_net_injection_residual_mw
1,67.15000034736256,-8.020493653689078e-14
2,67.15000050923952,-2.226027791231927e-14
3,67.15000045619531,1.8913067423184447e-14
4,67.14988995302252,-5.3958008272826733e-14
5,67.15000043732873,-2.6392096899850103e-14
6,67.15000050490798,1.5728777117243978e-14
7,67.1500005339591,-3.1859422451807417e-16
8,67.15000060813232,-2.272568524738583e-14
9,67.15000009911995,-3.2145062660989215e-14
10,60.000000667267436,-1.837897567535014e-14
11,60.00000058069889,-1.7684238517475778e-14
12,60.000000559102865,-1.341637830944026e-14
13,60.000000543509906,3.620361022808812e-14
14,60.000000524086595,2.501489378863627e-14
15,60.00000050046652,-2.0993989821551227e-14
16,60.000000550792016,-2.6913296323153723e-14
17,60.0000006145262,1.4135950506415342e-14
18,67.1500005334872,-7.616420243001466e-14
19,65.81069441631003,-1.2192906472870925e-13
20,67.14803927159606,-5.6538883093578427e-14
21,67.15000084388139,8.875361581590097e-14
22,67.15000062482014,-2.2506677295281374e-14
23,67.15000058140781,1.9231124443525505e-15
24,67.15000055685496,-7.296458073508466e-14
