hour,generator,dispatch_mw,capacity_mw,marginal_cost_eur_per_mwh,nu_gen_dual
1,G_IEEE1,270.00000246247663,270.0,60.0,-7.149999990690223
1,G_IEEE3,10.425846900054744,290.0,67.15,0.0
1,RES_Wind_N1,94.50000092299729,94.5,0.0,-67.1500005923716
1,RES_PV_N6,0.0,0.0,0.0,
1,RES_PV_N8,0.0,0.0,0.0,
1,G_PEAKER_N5,5.097993288085774e-08,200.0,95.0,0.0
2,G_IEEE1,270.0000024624765,270.0,60.0,-7.149998734534248
2,G_IEEE3,0.4830239942941475,290.0,67.15,0.0
2,RES_Wind_N1,98.4375009623723,98.4375,0.0,-67.14999933549676
2,RES_PV_N6,0.0,0.0,0.0,
2,RES_PV_N8,0.0,0.0,0.0,
2,G_PEAKER_N5,5.0979925762074394e-08,200.0,95.0,0.0
3,G_IEEE1,270.00000246247663,270.0,60.0,-7.149999365910381
3,G_IEEE3,0.6892491140361209,290.0,67.15,0.0
3,RES_Wind_N1,102.3750010017473,102.375,0.0,-67.14999996620934
3,RES_PV_N6,0.0,0.0,0.0,
3,RES_PV_N8,0.0,0.0,0.0,
3,G_PEAKER_N5,5.0979934471404814e-08,200.0,95.0,0.0
4,G_IEEE1,270.0000024624767,270.0,60.0,-7.149999963841527
4,G_IEEE3,5.983680652641907,290.0,67.15,0.0
4,RES_Wind_N1,105.00000102799729,105.0,0.0,-67.15000056372575
4,RES_PV_N6,0.0,0.0,0.0,
4,RES_PV_N8,0.0,0.0,0.0,
4,G_PEAKER_N5,5.097993881270495e-08,200.0,95.0,0.0
5,G_IEEE1,270.00000246247663,270.0,60.0,-7.149999904050639
5,G_IEEE3,0.7299352669332629,290.0,67.15,0.0
5,RES_Wind_N1,102.3750010017473,102.375,0.0,-67.15000050434959
5,RES_PV_N6,0.0,0.0,0.0,
5,RES_PV_N8,0.0,0.0,0.0,
5,G_PEAKER_N5,5.097993330124401e-08,200.0,95.0,0.0
6,G_IEEE1,270.0000024624766,270.0,60.0,-7.14999928251361
6,G_IEEE3,0.7223634267381533,290.0,67.15,0.0
6,RES_Wind_N1,94.50000092299729,94.5,0.0,-67.14999988419497
6,RES_PV_N6,0.0,0.0,0.0,
6,RES_PV_N8,0.0,0.0,0.0,
6,G_PEAKER_N5,5.097992946051743e-08,200.0,95.0,0.0
7,G_IEEE1,270.00000246247663,270.0,60.0,-7.150000037719243
7,G_IEEE3,58.48899411205841,290.0,67.15,0.0
7,RES_Wind_N1,81.3750007917473,81.375,0.0,-67.15000064229922
7,RES_PV_N6,4.795875023578638,4.795875,0.0,-67.15000100136831
7,RES_PV_N8,8.90662506468614,8.906625,0.0,-67.15000084727113
7,G_PEAKER_N5,5.0979934984252956e-08,200.0,95.0,0.0
8,G_IEEE1,270.00000246247674,270.0,60.0,-7.15000007141301
8,G_IEEE3,195.22252842908986,290.0,67.15,-1.1393639128884889e-08
8,RES_Wind_N1,68.25000066049729,68.25,0.0,-67.15000068000643
8,RES_PV_N6,23.97937521541364,23.979375,0.0,-67.15000074519837
8,RES_PV_N8,44.533125420951144,44.533125,0.0,-67.15000073654625
8,G_PEAKER_N5,5.097994154007169e-08,200.0,95.0,0.0
9,G_IEEE1,270.00000246247674,270.0,60.0,-7.1500000480008525
9,G_IEEE3,101.56408541298079,290.0,67.15,-1.2949279140054556e-10
9,RES_Wind_N1,55.12500052924729,55.125,0.0,-67.15000066251889
9,RES_PV_N6,67.14225064704239,67.14225,0.0,-67.15000067334815
9,RES_PV_N8,124.69275122254739,124.69275,0.0,-67.1500006763491
9,G_PEAKER_N5,5.0979941950103696e-08,200.0,95.0,0.0
10,G_IEEE1,234.05249931280852,270.0,60.0,-9.111796650608473e-08
10,G_IEEE3,2.275232630422227e-07,290.0,67.15,0.0
10,RES_Wind_N1,45.9375004347503,45.9375,0.0,-60.00000071138039
10,RES_PV_N6,115.10100112372459,115.101,0.0,-60.00000069744185
10,RES_PV_N8,213.75900211030458,213.759,0.0,-60.00000069290158
10,G_PEAKER_N5,3.852260929154346e-08,200.0,95.0,0.0
11,G_IEEE1,110.05398678833893,270.0,60.0,-1.584532712182899e-09
11,G_IEEE3,1.6041758896901598e-07,290.0,67.15,0.0
11,RES_Wind_N1,39.375000369125296,39.375,0.0,-60.000000620953266
11,RES_PV_N6,163.0597516028717,163.05975,0.0,-60.00000042679142
11,RES_PV_N8,302.82525299914374,302.82525,0.0,-59.99999999806661
11,G_PEAKER_N5,3.982286603726333e-08,200.0,95.0,0.0
12,G_IEEE1,69.43544188132086,270.0,60.0,0.0
12,G_IEEE3,1.5981253970127012e-07,290.0,67.15,0.0
12,RES_Wind_N1,36.750000342875296,36.75,0.0,-60.00000061485201
12,RES_PV_N6,203.82468951051544,203.8246875,0.0,-60.00000041495195
12,RES_PV_N8,378.5315662561824,378.5315625,0.0,-60.000000083495856
12,G_PEAKER_N5,3.983970912405241e-08,200.0,95.0,0.0
13,G_IEEE1,53.2457672798016,270.0,60.0,0.0
13,G_IEEE3,1.5981102887706069e-07,290.0,67.15,0.0
13,RES_Wind_N1,39.375000369125296,39.375,0.0,-60.00000060401596
13,RES_PV_N6,227.80406475030915,227.8040625,0.0,-59.999967388425866
13,RES_PV_N8,423.06469170151354,423.0646875,0.0,-59.99986990976309
13,G_PEAKER_N5,3.9839751985372825e-08,200.0,95.0,0.0
14,G_IEEE1,40.89857465499523,270.0,60.0,0.0
14,G_IEEE3,1.4715317847926398e-07,290.0,67.15,0.0
14,RES_Wind_N1,44.625000421625295,44.625,0.0,-60.000000592258736
14,RES_PV_N6,234.9978773221138,234.997875,0.0,-59.71712441765604
14,RES_PV_N8,436.42462933452293,436.424625,0.0,-58.884484837976885
14,G_PEAKER_N5,4.0224949402940255e-08,200.0,95.0,0.0
15,G_IEEE1,31.764211303982673,270.0,60.0,0.0
15,G_IEEE3,1.5981257709324541e-07,290.0,67.15,0.0
15,RES_Wind_N1,52.50000050037529,52.5,0.0,-60.000000600557314
15,RES_PV_N6,215.81437713041234,215.814375,0.0,-60.000000537004276
15,RES_PV_N8,400.798128978848,400.798125,0.0,-60.00000050301772
15,G_PEAKER_N5,3.983970799612117e-08,200.0,95.0,0.0
16,G_IEEE1,59.85672278456175,270.0,60.0,0.0
16,G_IEEE3,1.6041760050031203e-07,290.0,67.15,0.0
16,RES_Wind_N1,60.3750005791253,60.375,0.0,-60.00000060026562
16,RES_PV_N6,172.6515016987892,172.6515,0.0,-60.00000054743563
16,RES_PV_N8,320.6385031772763,320.6385,0.0,-60.00000049912128
16,G_PEAKER_N5,3.9822865678044883e-08,200.0,95.0,0.0
17,G_IEEE1,191.27250020096798,270.0,60.0,-2.047432835235035e-08
17,G_IEEE3,2.2752326188956823e-07,290.0,67.15,0.0
17,RES_Wind_N1,68.2500006578753,68.25,0.0,-60.00000062743183
17,RES_PV_N6,119.89687617168333,119.896875,0.0,-60.00000062007104
17,RES_PV_N8,222.66562719937085,222.665625,0.0,-60.00000061137274
17,G_PEAKER_N5,3.8522609244325765e-08,200.0,95.0,0.0
18,G_IEEE1,270.0000024624756,270.0,60.0,-7.15000002588861
18,G_IEEE3,72.62677934367237,290.0,67.15,0.0
18,RES_Wind_N1,76.12500073924728,76.125,0.0,-67.15000063190789
18,RES_PV_N6,67.14225064704237,67.14225,0.0,-67.15000066096756
18,RES_PV_N8,124.69275122254737,124.69275,0.0,-67.15000067146839
18,G_PEAKER_N5,5.0979861164926754e-08,200.0,95.0,0.0
19,G_IEEE1,270.0000024624761,270.0,60.0,-7.149999978570758
19,G_IEEE3,222.3713966825778,290.0,67.15,-2.8195729371352382e-08
19,RES_Wind_N1,81.37500079174728,81.375,0.0,-67.15000058315073
19,RES_PV_N6,19.18350016745488,19.1835,0.0,-67.15000071279731
19,RES_PV_N8,35.62650033188488,35.6265,0.0,-67.15000081621494
19,G_PEAKER_N5,5.097990071023569e-08,200.0,95.0,0.0
20,G_IEEE1,270.00000246247777,270.0,60.0,-7.150006640944609
20,G_IEEE3,258.27417860508405,290.0,67.15,-6.687570515691554e-06
