investor,hour,node,installed_power_mw,charge_offer_mw,charge_bid_price_eur_per_mwh,accepted_charge_mw,discharge_offer_mw,discharge_offer_price_eur_per_mwh,accepted_discharge_mw,joint_lambda_eur_per_mwh
I3,1,N1,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999867351418
I3,1,N2,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.1499990098844
I3,1,N3,6.26894497668839e-05,3.075005824242025e-05,-7.5,6.021813044248324e-07,3.089403911979614e-05,7.5,1.1582813744373163e-06,67.1499989372845
I3,1,N4,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999891770499
I3,1,N5,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999901480344
I3,1,N6,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999893997164
I3,1,N7,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.1499990098844
I3,1,N8,35.99004631214164,35.99004631214164,33.2624183936278,4.214499606306962e-07,35.99004631214164,55.72237192321316,2.829109501675387e-06,67.14999898369753
I3,1,N9,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999894406081
I3,2,N1,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999832494163
I3,2,N2,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.1499986820742
I3,2,N3,6.26894497668839e-05,3.0747207063035204e-05,-7.5,6.02010478420126e-07,3.089994330801687e-05,7.5,1.1580399621085884e-06,67.14999864205753
I3,2,N4,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999860114045
I3,2,N5,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999868553028
I3,2,N6,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999863169102
I3,2,N7,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.1499986820742
I3,2,N8,35.99004631214164,35.99004631214164,35.165391532282634,4.6428457964146516e-07,35.99004631214164,52.47005839110531,35.989685099241655,67.14999865938225
I3,2,N9,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999864284113
I3,3,N1,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999855477119
I3,3,N2,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999895689908
I3,3,N3,6.26894497668839e-05,3.074610266145164e-05,-7.5,5.99375559500792e-07,3.0902039457335053e-05,7.5,1.1546797811241e-06,67.14999891504266
I3,3,N4,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999887208378
I3,3,N5,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.1499989577034
I3,3,N6,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999890403857
I3,3,N7,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999895689908
I3,3,N8,35.99004631214164,35.99004631214164,33.911288176010935,4.351586358767727e-07,35.99004631214163,55.61418184705457,2.9283918107089906e-06,67.14999894094602
I3,3,N9,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999891604567
I3,4,N1,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999861999367
I3,4,N2,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999905561861
I3,4,N3,6.26894497668839e-05,3.074538330737081e-05,-7.5,5.945840894567818e-07,3.090320669101105e-05,7.5,1.1480325140606076e-06,67.14999901986681
I3,4,N4,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999897189979
I3,4,N5,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999905556498
I3,4,N6,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999900671766
I3,4,N7,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999905561861
I3,4,N8,35.99004631214164,35.99004631214164,37.49040563839844,5.29756486135447e-07,35.99004631214164,60.71901660398257,1.0988269366560398e-06,67.14999904160452
I3,4,N9,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999902090797
I3,5,N1,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999885407978
I3,5,N2,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999925847853
I3,5,N3,6.26894497668839e-05,3.0744738812660385e-05,-7.5,5.881919098264203e-07,3.0904077539591475e-05,7.5,1.1378138567781103e-06,67.14999921112386
I3,5,N4,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999917138951
I3,5,N5,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999926007818
I3,5,N6,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999920169187
I3,5,N7,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.1499992584734
I3,5,N8,35.99004631214164,35.99004631214164,36.70578063731835,5.057307886391342e-07,35.99004631214164,59.59246476776398,1.2754573526641808e-06,67.14999924100168
