unit,soc_hour,node,soc_mwh,delta_soc_capacity_dual,rho_periodicity_dual
I3,0,N1,6.749626211906295e-05,-0.0023840885435656113,-71.49420559839703
I3,1,N1,6.750647869030952e-05,-0.002389204504692746,-71.49420559839703
I3,2,N1,6.751669626284245e-05,-0.0023925999735735243,-71.49420559839703
I3,3,N1,6.752691386090349e-05,-0.002394779439824793,-71.49420559839703
I3,4,N1,6.753713137464074e-05,-0.002395991261424626,-71.49420559839703
I3,5,N1,6.754734879320203e-05,-0.00239629766758405,-71.49420559839703
I3,6,N1,6.755756602967313e-05,-0.0023955270400073747,-71.49420559839703
I3,7,N1,6.756778286371857e-05,-0.0023932600930105462,-71.49420559839703
I3,8,N1,6.757800082132105e-05,-0.002388599920652667,-71.49420559839703
I3,9,N1,6.758821780083073e-05,-0.0023814711108117973,-71.49420559839703
I3,10,N1,6.77842242706488e-05,-0.002391153355599934,-71.49420559839703
I3,11,N1,6.798086495480312e-05,-0.002394154828734274,-71.49420559839703
I3,12,N1,6.817684020917146e-05,-0.0023987191682639576,-71.49420559839703
I3,13,N1,6.837278826855078e-05,-0.0024048846430513716,-71.49420559839703
I3,14,N1,6.856870666179119e-05,-0.002412955883473943,-71.49420559839703
I3,15,N1,6.876458871617445e-05,-0.0024233720347108475,-71.49420559839703
I3,16,N1,6.896019223703535e-05,-0.0024371063727962527,-71.49420559839703
I3,17,N1,6.91564092280258e-05,-0.0024541766592669095,-71.49420559839703
I3,18,N1,6.916662630730384e-05,-0.0024613127524917237,-71.49420559839703
I3,19,N1,6.921540617434132e-05,-0.0024839632614412645,-71.49420559839703
I3,20,N1,6.745539480172306e-05,-0.002340004983710405,-71.49420559839703
I3,21,N1,6.746561128501354e-05,-0.0023544426509114523,-71.49420559839703
I3,22,N1,6.747582802619191e-05,-0.00236697611724073,-71.49420559839703
I3,23,N1,6.74860447994603e-05,-0.0023777239808907926,-71.49420559839703
I3,24,N1,6.749626211906295e-05,-0.002386498125005949,-71.49420559839703
I3,0,N2,6.760107946272459e-05,-0.0023832938717393334,-71.31967673750943
I3,1,N2,6.761097607731271e-05,-0.0023885332346673463,-71.31967673750943
I3,2,N2,6.762087379517866e-05,-0.002391984061872246,-71.31967673750943
I3,3,N2,6.763077156917421e-05,-0.0023942872153071685,-71.31967673750943
I3,4,N2,6.764066927123451e-05,-0.002395714202297899,-71.31967673750943
I3,5,N2,6.765056689339853e-05,-0.002396307890323543,-71.31967673750943
I3,6,N2,6.766046435032921e-05,-0.002395865079821493,-71.31967673750943
I3,7,N2,6.767036139408349e-05,-0.002393948240546937,-71.31967673750943
I3,8,N2,6.768025961646047e-05,-0.002389650596918163,-71.31967673750943
I3,9,N2,6.769015689894257e-05,-0.0023828956396581375,-71.31967673750943
I3,10,N2,6.786221581684059e-05,-0.0023916153301461506,-71.31967673750943
I3,11,N2,6.799295567876057e-05,-0.0023951640289139593,-71.31967673750943
I3,12,N2,6.81190239475177e-05,-0.002399287083881109,-71.31967673750943
I3,13,N2,6.824962688423864e-05,-0.0024051497326171324,-71.31967673750943
I3,14,N2,6.838022512409733e-05,-0.002412972090116142,-71.31967673750943
I3,15,N2,6.85108122076318e-05,-0.002423884218370383,-71.31967673750943
I3,16,N2,6.864124807393308e-05,-0.0024400923594242127,-71.31967673750943
I3,17,N2,6.881322929885857e-05,-0.002462356814069057,-71.31967673750943
I3,18,N2,6.88231264115292e-05,-0.0024797763985532923,-71.31967673750943
I3,19,N2,6.882461577645105e-05,-0.002506380553799285,-71.31967673750943
I3,20,N2,6.756149285326703e-05,-0.002319429165814917,-71.31967673750943
I3,21,N2,6.757138908425428e-05,-0.002343444081309873,-71.31967673750943
I3,22,N2,6.758128561908274e-05,-0.0023618117473230746,-71.31967673750943
I3,23,N2,6.759118222533053e-05,-0.002375451870104676,-71.31967673750943
I3,24,N2,6.760107946272459e-05,-0.002385442120956214,-71.31967673750943
I3,0,N3,5.8648912296728916e-05,-0.0022488690728683985,-72.01350461503233
I3,1,N3,5.866018872712483e-05,-0.002277756237635682,-72.01350461503233
I3,2,N3,5.867146487526841e-05,-0.002294296714390413,-72.01350461503233
I3,3,N3,5.8682738988848106e-05,-0.0023003892564434567,-72.01350461503233
I3,4,N3,5.869401087439351e-05,-0.002296871192349209,-72.01350461503233
I3,5,N3,5.870528050578664e-05,-0.0022835771621515957,-72.01350461503233
I3,6,N3,5.871654787680081e-05,-0.002259557246352272,-72.01350461503233
I3,7,N3,5.8727812752216774e-05,-0.0022237544873374817,-72.01350461503233
I3,8,N3,5.873907759961125e-05,-0.0021756245549219627,-72.01350461503233
I3,9,N3,5.875033910397025e-05,-0.002118422209888282,-72.01350461503233
I3,10,N3,5.9117132388414904e-05,-0.002077282111461098,-72.01350461503233
I3,11,N3,7.767718715089837e-05,-0.002517379470787171,-72.01350461503233
I3,12,N3,8.576485576306569e-05,-0.00264874994334321,-72.01350461503233
I3,13,N3,8.710634998218416e-05,-0.002578714472398864,-72.01350461503233
I3,14,N3,8.843526013904263e-05,-0.002547035937148786,-72.01350461503233
I3,15,N3,8.975039725292167e-05,-0.00255149070521648,-72.01350461503233
I3,16,N3,9.116804477920682e-05,-0.0025968234727572234,-72.01350461503233
I3,17,N3,9.153967829602752e-05,-0.0026770436598710593,-72.01350461503233
I3,18,N3,9.155095860232552e-05,-0.002804443166327564,-72.01350461503233
I3,19,N3,9.15622403612113e-05,-0.00307906767337998,-72.01350461503233
I3,20,N3,5.860378948024208e-05,-0.0019800518797792378,-72.01350461503233
I3,21,N3,5.8615071656656005e-05,-0.002044192681344252,-72.01350461503233
I3,22,N3,5.8626353186960774e-05,-0.002111505543326734,-72.01350461503233
I3,23,N3,5.863763316552836e-05,-0.002176945186509628,-72.01350461503233
I3,24,N3,5.8648912296728916e-05,-0.0022328310178451106,-72.01350461503233
I3,0,N4,6.749639968991953e-05,-0.0023840959849760154,-71.49399439021393
I3,1,N4,6.750661551664397e-05,-0.002389210481402114,-71.49399439021393
I3,2,N4,6.751683234291881e-05,-0.002392604816250712,-71.49399439021393
I3,3,N4,6.752704919812014e-05,-0.002394783253907719,-71.49399439021393
I3,4,N4,6.753726596484691e-05,-0.002395995930090487,-71.49399439021393
I3,5,N4,6.754748263864648e-05,-0.002396304665126426,-71.49399439021393
I3,6,N4,6.755769913078043e-05,-0.0023955385363233273,-71.49399439021393
I3,7,N4,6.756791521930472e-05,-0.0023932784211135945,-71.49399439021393
I3,8,N4,6.757813243278271e-05,-0.0023886258379593457,-71.49399439021393
I3,9,N4,6.758834866848516e-05,-0.0023815035224835144,-71.49399439021393
I3,10,N4,6.778431666517969e-05,-0.0023911453125310352,-71.49399439021393
I3,11,N4,6.798091098595771e-05,-0.00239413267721448,-71.49399439021393
I3,12,N4,6.817683890181075e-05,-0.002398690576453935,-71.49399439021393
I3,13,N4,6.837273022344037e-05,-0.002404861536394312,-71.49399439021393
I3,14,N4,6.856858969960009e-05,-0.00241293961897437,-71.49399439021393
I3,15,N4,6.876442160281823e-05,-0.0024233504786405308,-71.49399439021393
I3,16,N4,6.895995678535133e-05,-0.0024370956953298083,-71.49399439021393
I3,17,N4,6.915612666091564e-05,-0.0024541461042390583,-71.49399439021393
I3,18,N4,6.916634299871767e-05,-0.002461272078581137,-71.49399439021393
I3,19,N4,6.921511856933733e-05,-0.0024838579651672264,-71.49399439021393
I3,20,N4,6.745553528177391e-05,-0.002340070902038392,-71.49399439021393
I3,21,N4,6.746575104023946e-05,-0.0023544799621251994,-71.49399439021393
I3,22,N4,6.747596704736988e-05,-0.0023669979537762295,-71.49399439021393
I3,23,N4,6.748618309501614e-05,-0.00237773709091255,-71.49399439021393
I3,24,N4,6.749639968991953e-05,-0.0023865058125453684,-71.49399439021393
I3,0,N5,6.756471951606018e-05,-0.0023763382694446675,-71.29467024557512
I3,1,N5,6.757448596176776e-05,-0.0023847396390844506,-71.29467024557512
I3,2,N5,6.758425347708116e-05,-0.0023903611588673157,-71.29467024557512
I3,3,N5,6.759402105251623e-05,-0.002393998812563768,-71.29467024557512
I3,4,N5,6.760378856109031e-05,-0.0023961530969804257,-71.29467024557512
I3,5,N5,6.761355599326696e-05,-0.002397088473451685,-71.29467024557512
I3,6,N5,6.762332325966452e-05,-0.002396794938904803,-71.29467024557512
I3,7,N5,6.763309012069576e-05,-0.002394985890645587,-71.29467024557512
I3,8,N5,6.764285816005243e-05,-0.0023908627289094936,-71.29467024557512
I3,9,N5,6.765262521764996e-05,-0.002384438333875736,-71.29467024557512
I3,10,N5,6.781632638955564e-05,-0.0023935026955466585,-71.29467024557512
I3,11,N5,6.796489651289142e-05,-0.0023969002426763395,-71.29467024557512
I3,12,N5,6.81111186789857e-05,-0.0024019800036074244,-71.29467024557512
I3,13,N5,6.825936210222948e-05,-0.002409315993394313,-71.29467024557512
I3,14,N5,6.840759049441213e-05,-0.002419457482527505,-71.29467024557512
I3,15,N5,6.855581224567103e-05,-0.002433529145914342,-71.29467024557512
I3,16,N5,6.870384276765338e-05,-0.002453667909636545,-71.29467024557512
I3,17,N5,6.88676237184365e-05,-0.002480896704102013,-71.29467024557512
I3,18,N5,6.887739057487951e-05,-0.0025046064993647743,-71.29467024557512
I3,19,N5,6.887164289916558e-05,-0.002538596710509107,-71.29467024557512
I3,20,N5,6.752565323072765e-05,-0.0022968776701334484,-71.29467024557512
I3,21,N5,6.753541929962858e-05,-0.0023221953275387903,-71.29467024557512
I3,22,N5,6.754518573466566e-05,-0.002343423105362034,-71.29467024557512
I3,23,N5,6.755495230181554e-05,-0.002361532638341528,-71.29467024557512
I3,24,N5,6.756471951606018e-05,-0.002376303903993034,-71.29467024557512
I3,0,N6,6.738221260001901e-05,-0.0023757846900506092,-71.60131734941629
I3,1,N6,6.73926838559239e-05,-0.002383764347421005,-71.60131734941629
I3,2,N6,6.740315612734807e-05,-0.002389069245184382,-71.60131734941629
I3,3,N6,6.74136284223046e-05,-0.0023924975008517324,-71.60131734941629
I3,4,N6,6.742410061660256e-05,-0.0023945141690838727,-71.60131734941629
I3,5,N6,6.743457270714304e-05,-0.002395332998602969,-71.60131734941629
I3,6,N6,6.744504459919882e-05,-0.0023948773189915785,-71.60131734941629
I3,7,N6,6.745551608093456e-05,-0.0023927707805967923,-71.60131734941629
I3,8,N6,6.74659887094801e-05,-0.002388107663872313,-71.60131734941629
I3,9,N6,6.747646031678045e-05,-0.0023807679953279917,-71.60131734941629
I3,10,N6,6.769572122212436e-05,-0.0023910190300660667,-71.60131734941629
I3,11,N6,6.795400261436022e-05,-0.002395136299400338,-71.60131734941629
I3,12,N6,6.82178048279063e-05,-0.002401537705074676,-71.60131734941629
I3,13,N6,6.847492982367766e-05,-0.002409869196717211,-71.60131734941629
I3,14,N6,6.873198971786272e-05,-0.0024210526914524707,-71.60131734941629
I3,15,N6,6.898896202404273e-05,-0.0024360627928038006,-71.60131734941629
I3,16,N6,6.924544246267282e-05,-0.002456637798978029,-71.60131734941629
I3,17,N6,6.946476107519883e-05,-0.0024841496638124895,-71.60131734941629
I3,18,N6,6.947523263965497e-05,-0.0025037005660320496,-71.60131734941629
I3,19,N6,6.950198955518334e-05,-0.002537408073042952,-71.60131734941629
I3,20,N6,6.734032803879363e-05,-0.0022926615808672936,-71.60131734941629
I3,21,N6,6.735079872931042e-05,-0.002320143014517885,-71.60131734941629
I3,22,N6,6.736126976646516e-05,-0.0023429169663784647,-71.60131734941629
I3,23,N6,6.737174089933281e-05,-0.0023614671800675294,-71.60131734941629
I3,24,N6,6.738221260001901e-05,-0.0023760520504983286,-71.60131734941629
I3,0,N7,6.760110907094641e-05,-0.0023832963316934054,-71.31957076296918
