unit,hour,node,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_joint_eur_per_mwh,spot_revenue_eur
I3,1,N1,0.0,0.0,0.0,67.14999966362602,0.0
I3,1,N2,0.0,0.0,0.0,67.15000000531725,0.0
I3,1,N3,0.0,0.0,0.0,67.14999992072497,0.0
I3,1,N4,0.0,0.0,0.0,67.14999990781665,0.0
I3,1,N5,0.0,0.0,0.0,67.15000000896262,0.0
I3,1,N6,0.0,0.0,0.0,67.14999992815828,0.0
I3,1,N7,0.0,0.0,0.0,67.15000000531725,0.0
I3,1,N8,4.1313986374571985e-07,0.3578508331505008,0.35785042001063705,67.1499999810082,24.029655696918052
I3,1,N9,0.0,0.0,0.0,67.14999993005003,0.0
I3,2,N1,0.0,0.0,0.0,67.14994880542517,0.0
I3,2,N2,0.0,0.0,0.0,67.14994916103866,0.0
I3,2,N3,0.0,0.0,0.0,67.14994912477633,0.0
I3,2,N4,0.0,0.0,0.0,67.14994908162357,0.0
I3,2,N5,0.0,0.0,0.0,67.14994916467256,0.0
I3,2,N6,0.0,0.0,0.0,67.14994911299202,0.0
I3,2,N7,0.0,0.0,0.0,67.14994916103866,0.0
I3,2,N8,4.3735875579281874e-07,1.8145372206698253e-05,1.7708013450905432e-05,67.14994913762561,0.00118909220255669
I3,2,N9,0.0,0.0,0.0,67.1499491247974,0.0
I3,3,N1,0.0,0.0,0.0,67.1499993225476,0.0
I3,3,N2,0.0,0.0,0.0,67.14999972542878,0.0
I3,3,N3,0.0,0.0,0.0,67.14999968019063,0.0
I3,3,N4,0.0,0.0,0.0,67.1499996398602,0.0
I3,3,N5,0.0,0.0,0.0,67.1499997261021,0.0
I3,3,N6,0.0,0.0,0.0,67.14999967141974,0.0
I3,3,N7,0.0,0.0,0.0,67.14999972542878,0.0
I3,3,N8,4.145691310273151e-07,15.291714640800905,15.291714226231774,67.14999970978997,1026.8386058536546
I3,3,N9,0.0,0.0,0.0,67.14999968307791,0.0
I3,4,N1,0.0,0.0,0.0,67.14999891682115,0.0
I3,4,N2,0.0,0.0,0.0,67.14999935331402,0.0
I3,4,N3,0.0,0.0,0.0,67.14999931538343,0.0
I3,4,N4,0.0,0.0,0.0,67.14999926872729,0.0
I3,4,N5,0.0,0.0,0.0,67.1499993531206,0.0
I3,4,N6,0.0,0.0,0.0,67.1499993030486,0.0
I3,4,N7,0.0,0.0,0.0,67.14999935331402,0.0
I3,4,N8,4.16712741257795e-07,16.606807824500258,16.606807407787517,67.14999933967042,1115.1471064669656
I3,4,N9,0.0,0.0,0.0,67.14999931682583,0.0
I3,5,N1,0.0,0.0,0.0,67.14999789437503,0.0
I3,5,N2,0.0,0.0,0.0,67.1499983010759,0.0
I3,5,N3,0.0,0.0,0.0,67.14999825004074,0.0
I3,5,N4,0.0,0.0,0.0,67.14999821168763,0.0
I3,5,N5,0.0,0.0,0.0,67.14999830223469,0.0
I3,5,N6,0.0,0.0,0.0,67.14999824091392,0.0
I3,5,N7,0.0,0.0,0.0,67.1499983010759,0.0
I3,5,N8,4.1447865426749145e-07,6.289535763203128,6.289535348724474,67.14999828449912,422.342287877145
I3,5,N9,0.0,0.0,0.0,67.14999825065725,0.0
I3,6,N1,0.0,0.0,0.0,67.14999833733596,0.0
I3,6,N2,0.0,0.0,0.0,67.14999867385008,0.0
I3,6,N3,0.0,0.0,0.0,67.14999860657971,0.0
I3,6,N4,0.0,0.0,0.0,67.14999858152659,0.0
I3,6,N5,0.0,0.0,0.0,67.14999868135918,0.0
I3,6,N6,0.0,0.0,0.0,67.14999860329542,0.0
I3,6,N7,0.0,0.0,0.0,67.14999867385008,0.0
I3,6,N8,4.139862069253637e-07,36.89873688537336,36.89873647138715,67.14999864182843,2477.7501039388326
I3,6,N9,0.0,0.0,0.0,67.14999860733363,0.0
I3,7,N1,0.0,0.0,0.0,67.14999977748995,0.0
I3,7,N2,0.0,0.0,0.0,67.15000009518855,0.0
I3,7,N3,0.0,0.0,0.0,67.1499999363506,0.0
I3,7,N4,0.0,0.0,0.0,67.14999995235048,0.0
I3,7,N5,0.0,0.0,0.0,67.1500001134535,0.0
I3,7,N6,0.0,0.0,0.0,67.14999995706714,0.0
