unit,hour,node,soc_start_mwh,soc_end_mwh,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_eur_per_mwh,spot_revenue_eur,degradation_cost_eur,rho_charge_dual,sigma_discharge_dual,gamma_soc_transition_dual
I1,1,N1,6.290965586568905e-05,6.308092167368296e-05,0.0,0.0,0.0,67.14999983940854,0.0,0.0,-0.0006256673544479175,-0.0006239481920733155,-69.42528182238732
I1,2,N1,6.308092167368296e-05,6.325218747959843e-05,0.0,0.0,0.0,67.1499994428262,0.0,0.0,-0.000625670978954551,-0.0006239438077636592,-69.4252770286668
I1,3,N1,6.325218747959843e-05,6.342345328371152e-05,0.0,0.0,0.0,67.14999985067062,0.0,0.0,-0.0006256762980461403,-0.0006239380707386378,-69.4252727561217
I1,4,N1,6.342345328371152e-05,6.359471908628528e-05,0.0,0.0,0.0,67.14999979210418,0.0,0.0,-0.0006256795363136801,-0.0006239344411660575,-69.42526901168078
I1,5,N1,6.359471908628528e-05,6.376598488877733e-05,0.0,0.0,0.0,67.1499950686466,0.0,0.0,-0.0006256815915167675,-0.0006239320450438547,-69.42526580018654
I1,6,N1,6.376598488877733e-05,6.393725068915111e-05,0.0,0.0,0.0,67.15000011021476,0.0,0.0,-0.0006256838253643049,-0.0006239295802366069,-69.42526312511984
I1,7,N1,6.393725068915111e-05,6.410851648878343e-05,0.0,0.0,0.0,67.15000044474283,0.0,0.0,-0.0006256854313013517,-0.0006239277728644673,-69.42526098966258
I1,8,N1,6.410851648878343e-05,6.427978228795398e-05,0.0,0.0,0.0,67.1500006053768,0.0,0.0,-0.0006256866012732856,-0.000623926420953037,-69.42525939626111
I1,9,N1,6.427978228795398e-05,6.445104808712983e-05,0.0,0.0,0.0,67.14999976532556,0.0,0.0,-0.0006256876689650613,-0.0006239251810534998,-69.42525834687311
I1,10,N1,6.445104808712983e-05,6.462512948365746e-05,0.0,0.0,0.0,60.000001188790996,0.0,0.0,-0.0006266162655057625,-0.0006236264286950748,-69.42525784367798
I1,11,N1,6.462512948365746e-05,6.479921085635405e-05,0.0,0.0,0.0,60.000000872539076,0.0,0.0,-0.0006266173267633098,-0.000623625944523975,-69.4252582736849
I1,12,N1,6.479921085635405e-05,6.497329220224771e-05,0.0,0.0,0.0,60.00000076702064,0.0,0.0,-0.00062661757990916,-0.0006236264740503165,-69.4252596378701
I1,13,N1,6.497329220224771e-05,6.514737351439879e-05,0.0,0.0,0.0,60.00000072548407,0.0,0.0,-0.0006266173056176188,-0.00062362790554608,-69.42526193581496
I1,14,N1,6.514737351439879e-05,6.532145478990443e-05,0.0,0.0,0.0,60.00000069389795,0.0,0.0,-0.0006266162344110122,-0.0006236303155562217,-69.42526516587593
I1,15,N1,6.532145478990443e-05,6.549553602020329e-05,0.0,0.0,0.0,60.000000683556266,0.0,0.0,-0.0006266144792030124,-0.0006236337879083748,-69.4252693250433
I1,16,N1,6.549553602020329e-05,6.566961719819397e-05,0.0,0.0,0.0,60.00000074232214,0.0,0.0,-0.0006266117871264899,-0.000623638570943284,-69.4252744088306
I1,17,N1,6.566961719819397e-05,6.584369830576933e-05,0.0,0.0,0.0,60.00000108606168,0.0,0.0,-0.0006266081273378911,-0.0006236449979592363,-69.42528041090148
I1,18,N1,6.584369830576933e-05,6.601496411583579e-05,0.0,0.0,0.0,67.14999800471578,0.0,0.0,-0.0006256637765629496,-0.0006239525576720144,-69.42528732262976
I1,19,N1,6.601496411583579e-05,6.61862299290795e-05,0.0,0.0,0.0,67.1500008451612,0.0,0.0,-0.0006256538788979217,-0.00062396372023115,-69.42529474301897
I1,20,N1,6.61862299290795e-05,6.636031098200539e-05,0.0,0.0,0.0,60.00000126570487,0.0,0.0,-0.0006265810366274509,-0.0006236780308112051,-69.42530265684044
I1,21,N1,6.636031098200539e-05,6.222563058336547e-05,0.0,4.021363336770058e-06,4.021363336770058e-06,78.50064917311327,0.0003156796324974065,3.0160225025775434e-05,-0.0006146902008341795,-0.0006188102336593007,-69.42531143529017
I1,22,N1,6.222563058336547e-05,6.239689639917123e-05,0.0,0.0,0.0,67.15000082548065,0.0,0.0,-0.0006256393455728894,-0.0006239803162887522,-69.42530463911044
I1,23,N1,6.239689639917123e-05,6.256816221179872e-05,0.0,0.0,0.0,67.15000049479194,0.0,0.0,-0.0006256493727129951,-0.0006239689636370264,-69.42529831351608
I1,24,N1,6.256816221179872e-05,6.273942802144355e-05,0.0,0.0,0.0,67.1500002777044,0.0,0.0,-0.0006256565439775818,-0.0006239608569972714,-69.42529247356295
I1,1,N2,0.9616198752093719,0.9616200633576469,0.0,0.0,0.0,67.15000076913127,0.0,0.0,-2.118010045462605e-09,-2.1180098277138424e-09,-72.6534378665362
I1,2,N2,0.9616200633576469,0.9616202515056744,0.0,0.0,0.0,67.1500003826388,0.0,0.0,-2.11801004716831e-09,-2.1180098256777274e-09,-72.6534378580677
I1,3,N2,0.9616202515056744,0.9616204396534587,0.0,0.0,0.0,67.15000080062838,0.0,0.0,-2.1180100479435945e-09,-2.1180098248165253e-09,-72.65343784959923
I1,4,N2,0.9616204396534587,0.9616206278010034,0.0,0.0,0.0,67.15000074882043,0.0,0.0,-2.1180100479125066e-09,-2.118009824815678e-09,-72.65343784113075
I1,5,N2,0.9616206278010034,0.9616208159483377,0.0,0.0,0.0,67.14999601860116,0.0,0.0,-2.118010047849172e-09,-2.118009824896357e-09,-72.65343783266228
I1,6,N2,0.9616208159483377,0.9616210040954588,0.0,0.0,0.0,67.15000103994929,0.0,0.0,-2.1180100479375333e-09,-2.118009824859659e-09,-72.6534378241938
I1,7,N2,0.9616210040954588,0.9616211922423679,0.0,0.0,0.0,67.15000134096475,0.0,0.0,-2.1180100478039718e-09,-2.11800982503586e-09,-72.65343781572533
I1,8,N2,0.9616211922423679,0.9616213803890661,0.0,0.0,0.0,67.15000146832601,0.0,0.0,-2.1180100474276315e-09,-2.1180098254573475e-09,-72.65343780725686
I1,9,N2,0.9616213803890661,0.9616215685355477,0.0,0.0,0.0,67.15000059466651,0.0,0.0,-2.118010046804541e-09,-2.118009826163651e-09,-72.65343779878839
I1,10,N2,0.9616215685355477,1.1968123879390793,0.25127203460377995,0.0,-0.25127203460377995,60.00000190574328,-15.076322555086788,1.8845402595283496,-4.333811922758171e-09,-2.1180098853908156e-09,-72.65343779031993
I1,11,N2,1.1968123879390793,1.1968127059176328,1.3137160134298508e-07,0.0,-1.3137160134298508e-07,60.0000012786755,-7.882296248560753e-06,9.85287010072388e-07,-2.118013568826233e-09,-2.1180090110480843e-09,-72.6534377877938
I1,12,N2,1.1968127059176328,1.196813013354314,1.201090106109956e-07,0.0,-1.201090106109956e-07,60.01586611908976,-7.208446300525844e-06,9.008175795824671e-07,-2.1180134493185807e-09,-2.1180090076898563e-09,-72.6534377852677
I1,13,N2,1.196813013354314,1.196813321228742,1.2057599091071296e-07,0.0,-1.2057599091071296e-07,60.00704759248442,-7.235409225090121e-06,9.043199318303472e-07,-2.1180134596464944e-09,-2.1180090044401644e-09,-72.65343778274162
I1,14,N2,1.196813321228742,1.196813626778928,1.1809514924564342e-07,0.0,-1.1809514924564342e-07,60.09008991076451,-7.0963481361958665e-06,8.857136193423256e-07,-2.1180134851568292e-09,-2.1180089408873498e-09,-72.65343778021554
I1,15,N2,1.196813626778928,1.1968139346480067,1.2056976827229593e-07,0.0,-1.2056976827229593e-07,60.006965683756015,-7.235025947214076e-06,9.042732620422195e-07,-2.1180134615246998e-09,-2.1180090048772462e-09,-72.65343777768946
I1,16,N2,1.1968139346480067,1.1968142508988553,1.2952404335077073e-07,0.0,-1.2952404335077073e-07,60.00002595781004,-7.771445963206756e-06,9.714303251307805e-07,-2.118013549717576e-09,-2.1180090099645137e-09,-72.65343777516341
I1,17,N2,1.1968142508988553,2.709584957168935,1.616207811168754,0.0,-1.616207811168754,60.0000017606071,-96.97247151563218,12.121558583765655,-0.18968945466055745,-2.118009600961054e-09,-72.65343777263736
I1,18,N2,2.709584957168935,2.7095851453160957,0.0,0.0,0.0,67.14999888793545,0.0,0.0,-2.1180100469974417e-09,-2.118009825779018e-09,-72.65343780669768
I1,19,N2,2.7095851453160957,2.7095853334639313,0.0,0.0,0.0,67.15000174598673,0.0,0.0,-2.1180100479242153e-09,-2.118009824813715e-09,-72.653437840758
I1,20,N2,2.7095853334639313,2.7095855177126467,0.0,0.0,0.0,78.6988948425632,0.0,0.0,-2.118009975897612e-09,-2.1180102192585587e-09,-72.65343787481832
I1,21,N2,2.7095855177126467,0.9616191255995405,0.0,1.6360967081806497,1.6360967081806497,89.1581287131972,145.8713208952086,12.270725311354873,-2.1180099210368852e-09,-4.078637322518291,-72.65343790887866
I1,22,N2,0.9616191255995405,0.9616193137465557,0.0,0.0,0.0,67.15000174885564,0.0,0.0,-2.1180100460768112e-09,-2.11800982685728e-09,-72.65343790041015
I1,23,N2,0.9616193137465557,0.9616195018933708,0.0,0.0,0.0,67.15000142464014,0.0,0.0,-2.118010045425533e-09,-2.118009827576416e-09,-72.65343789194165
I1,24,N2,0.9616195018933708,0.9616196900399586,0.0,0.0,0.0,67.15000121084908,0.0,0.0,-2.118010044933925e-09,-2.118009828104988e-09,-72.65343788347316
I1,1,N3,6.320851087550323e-05,6.336336856794908e-05,0.0,0.0,0.0,67.15000066669904,0.0,0.0,-0.0006247215430579181,-0.000624750041048173,-64.07996800521467
I1,2,N3,6.336336856794908e-05,6.351822624341473e-05,0.0,0.0,0.0,67.15000038154912,0.0,0.0,-0.0006247204922977821,-0.0006247504897003937,-64.0799681860244
I1,3,N3,6.351822624341473e-05,6.367308390516415e-05,0.0,0.0,0.0,67.15000072871621,0.0,0.0,-0.0006247225434701486,-0.0006247481066091905,-64.07996831601069
I1,4,N3,6.367308390516415e-05,6.382794155570864e-05,0.0,0.0,0.0,67.1500007046798,0.0,0.0,-0.0006247232114889998,-0.0006247470839054117,-64.07996839678893
I1,5,N3,6.382794155570864e-05,6.398279919922595e-05,0.0,0.0,0.0,67.14999600368807,0.0,0.0,-0.000624723346441308,-0.0006247466181868523,-64.07996842923518
I1,6,N3,6.398279919922595e-05,6.413765683397371e-05,0.0,0.0,0.0,67.15000085055232,0.0,0.0,-0.0006247241705586813,-0.000624745550109415,-64.07996841390373
I1,7,N3,6.413765683397371e-05,6.429251446348006e-05,0.0,0.0,0.0,67.15000100110858,0.0,0.0,-0.0006247246204131148,-0.0006247448624312709,-64.07996835179297
I1,8,N3,6.429251446348006e-05,6.444737208924932e-05,0.0,0.0,0.0,67.15000106466701,0.0,0.0,-0.0006247249548606225,-0.0006247443013820788,-64.07996824366369
I1,9,N3,6.444737208924932e-05,6.460222971308214e-05,0.0,0.0,0.0,67.15000049942492,0.0,0.0,-0.0006247247726452874,-0.0006247442247689322,-64.07996809021424
I1,10,N3,6.460222971308214e-05,6.475983826896914e-05,0.0,0.0,0.0,60.00000190424132,0.0,0.0,-0.0006248388214745565,-0.0006246128227659232,-64.07996789213186
I1,11,N3,6.475983826896914e-05,6.491744683007999e-05,0.0,0.0,0.0,60.00000123064904,0.0,0.0,-0.0006248387301080211,-0.0006246121040075901,-64.07996773735476
I1,12,N3,6.491744683007999e-05,6.507506052681083e-05,0.0,0.0,0.0,59.98310409177001,0.0,0.0,-0.0006248336243745993,-0.0006246147476655672,-64.07996762661068
I1,13,N3,6.507506052681083e-05,6.523267137487436e-05,0.0,0.0,0.0,59.99249611046395,0.0,0.0,-0.0006248338353011191,-0.0006246145786663549,-64.07996755718185
I1,14,N3,6.523267137487436e-05,6.539031122174569e-05,0.0,0.0,0.0,59.90405258687298,0.0,0.0,-0.0006242007313238441,-0.000624872535588795,-64.07996752796672
