hour,generator,dispatch_mw,capacity_mw,marginal_cost_eur_per_mwh,nu_gen_dual
1,G_IEEE1,31.355530190040405,250.0,60.0,-1.2961718233444912e-08
1,G_IEEE2,300.0000023877381,300.0,52.2,-7.799999937041387
1,G_IEEE3,6.57922042764669e-07,270.0,67.15,-7.687565622429177e-09
1,RES_Wind_N1,94.50000086540595,94.5,0.0,-60.00000053983836
1,RES_PV_N6,0.0,0.0,0.0,
1,RES_PV_N8,0.0,0.0,0.0,
2,G_IEEE1,12.30174810335255,250.0,60.0,-1.0577764773575914e-08
2,G_IEEE2,300.00000238773805,300.0,52.2,-7.7999997781576464
2,G_IEEE3,6.579220209411682e-07,270.0,67.15,-7.687565622429177e-09
2,RES_Wind_N1,98.43750090478096,98.4375,0.0,-60.00000038262679
2,RES_PV_N6,0.0,0.0,0.0,
2,RES_PV_N8,0.0,0.0,0.0,
3,G_IEEE1,3.3047074856845264,250.0,60.0,-9.425947095913047e-09
3,G_IEEE2,300.000002387738,300.0,52.2,-7.799998894275662
3,G_IEEE3,6.579219247083172e-07,270.0,67.15,-7.687565622429172e-09
3,RES_Wind_N1,102.37500094415596,102.375,0.0,-59.99999949853966
3,RES_PV_N6,0.0,0.0,0.0,
3,RES_PV_N8,0.0,0.0,0.0,
4,G_IEEE1,0.25153307257105517,250.0,60.0,-9.122206916025197e-09
4,G_IEEE2,300.00000238773663,300.0,52.2,-7.799981438741133
4,G_IEEE3,6.579202839802287e-07,270.0,67.15,-7.687565622429088e-09
4,RES_Wind_N1,105.00000097040592,105.0,0.0,-59.99998204195539
4,RES_PV_N6,0.0,0.0,0.0,
4,RES_PV_N8,0.0,0.0,0.0,
5,G_IEEE1,5.912840541217079,250.0,60.0,-9.739794997370772e-09
5,G_IEEE2,300.00000238773805,300.0,52.2,-7.7999994509956805
5,G_IEEE3,6.579219829339214e-07,270.0,67.15,-7.687565622429179e-09
5,RES_Wind_N1,102.37500094415596,102.375,0.0,-60.000000054632935
5,RES_PV_N6,0.0,0.0,0.0,
5,RES_PV_N8,0.0,0.0,0.0,
6,G_IEEE1,37.74309087534472,250.0,60.0,-1.4189893115819324e-08
6,G_IEEE2,300.0000023877381,300.0,52.2,-7.799999963086207
6,G_IEEE3,6.579220451641821e-07,270.0,67.15,-7.68756562242918e-09
6,RES_Wind_N1,94.50000086540595,94.5,0.0,-60.00000056389429
6,RES_PV_N6,0.0,0.0,0.0,
6,RES_PV_N8,0.0,0.0,0.0,
7,G_IEEE1,105.50349853248616,250.0,60.0,-3.02764009745494e-08
7,G_IEEE2,300.0000023877381,300.0,52.2,-7.8000000485629
7,G_IEEE3,6.579220541461552e-07,270.0,67.15,-7.687565622429179e-09
7,RES_Wind_N1,81.37500073415596,81.375,0.0,-60.00000064262675
