hour,generator,dispatch_mw,capacity_mw,marginal_cost_eur_per_mwh,nu_gen_dual
1,G_IEEE1,30.65196786865611,250.0,60.0,0.0
1,G_IEEE2,300.0000029808114,300.0,52.2,-7.800000062473371
1,G_IEEE3,1.0926293785717943e-08,270.0,67.15,0.0
1,RES_Wind_N1,94.5000009424671,94.5,0.0,-60.00000057739773
1,RES_PV_N6,0.0,0.0,0.0,
1,RES_PV_N8,0.0,0.0,0.0,
2,G_IEEE1,12.05605363843495,250.0,60.0,0.0
2,G_IEEE2,300.0000029808114,300.0,52.2,-7.800000055268935
2,G_IEEE3,1.0926293763412229e-08,270.0,67.15,0.0
2,RES_Wind_N1,98.4375009818421,98.4375,0.0,-60.00000057039583
2,RES_PV_N6,0.0,0.0,0.0,
2,RES_PV_N8,0.0,0.0,0.0,
3,G_IEEE1,3.1114483895614824,250.0,60.0,0.0
3,G_IEEE2,300.0000029808114,300.0,52.2,-7.800000022734172
3,G_IEEE3,1.0926293658505167e-08,270.0,67.15,0.0
3,RES_Wind_N1,102.3750010212171,102.375,0.0,-60.00000053665033
3,RES_PV_N6,0.0,0.0,0.0,
3,RES_PV_N8,0.0,0.0,0.0,
4,G_IEEE1,0.19704513315307767,250.0,60.0,0.0
4,G_IEEE2,300.0000029808114,300.0,52.2,-7.799999538595665
4,G_IEEE3,1.0926291578087833e-08,270.0,67.15,0.0
4,RES_Wind_N1,105.0000010474671,105.0,0.0,-60.000000053141626
4,RES_PV_N6,0.0,0.0,0.0,
4,RES_PV_N8,0.0,0.0,0.0,
5,G_IEEE1,5.721179654453891,250.0,60.0,0.0
5,G_IEEE2,300.0000029808114,300.0,52.2,-7.800000043018051
5,G_IEEE3,1.0926293723841058e-08,270.0,67.15,0.0
5,RES_Wind_N1,102.3750010212171,102.375,0.0,-60.00000055766895
5,RES_PV_N6,0.0,0.0,0.0,
5,RES_PV_N8,0.0,0.0,0.0,
6,G_IEEE1,37.06548497518236,250.0,60.0,0.0
6,G_IEEE2,300.0000029808114,300.0,52.2,-7.80000006336289
6,G_IEEE3,1.092629378980155e-08,270.0,67.15,0.0
6,RES_Wind_N1,94.5000009424671,94.5,0.0,-60.00000057826643
6,RES_PV_N6,0.0,0.0,0.0,
6,RES_PV_N8,0.0,0.0,0.0,
7,G_IEEE1,104.23776507380617,250.0,60.0,0.0
7,G_IEEE2,300.0000029808114,300.0,52.2,-7.800000066838292
7,G_IEEE3,1.0926293800138947e-08,270.0,67.15,0.0
7,RES_Wind_N1,81.3750008112171,81.375,0.0,-60.00000058142479
7,RES_PV_N6,4.795875045450071,4.795875,0.0,-60.00000061095175
7,RES_PV_N8,8.90662508655757,8.906625,0.0,-60.000000596463764
8,G_IEEE1,117.32590257329389,250.0,60.0,0.0
8,G_IEEE2,300.0000029808114,300.0,52.2,-7.800000066773792
8,G_IEEE3,1.0926293802251811e-08,270.0,67.15,0.0
