hour,node,lambda_reference_eur_per_mwh
1,N1,59.99999976347781
1,N2,59.99999965269684
1,N3,59.99999976572756
1,N4,59.999999779552304
1,N5,59.99999978816604
1,N6,59.99999977776189
1,N7,59.999999730618924
1,N8,59.99999976001813
1,N9,59.99999976608265
2,N1,59.99999929205798
2,N2,59.99999917580257
2,N3,59.9999992911508
2,N4,59.999999305669576
2,N5,59.999999311379526
2,N6,59.99999930316281
2,N7,59.99999925372465
2,N8,59.99999928428791
2,N9,59.99999929146238
3,N1,59.99999676136334
3,N2,59.99999664368813
3,N3,59.99999676270865
3,N4,59.99999677419928
3,N5,59.99999677852389
3,N6,59.99999677320299
3,N7,59.9999967216102
3,N8,59.99999675446482
3,N9,59.99999676288969
4,N1,59.99995072760034
4,N2,59.99995061021544
4,N3,59.99995073217405
4,N4,59.99995074044102
4,N5,59.99995074430399
4,N6,59.99995074117748
4,N7,59.99995068813752
4,N8,59.9999507229458
4,N9,59.99995073219409
5,N1,59.999998317695216
5,N2,59.99999820064999
5,N3,59.99999831774928
5,N4,59.999998330885084
5,N5,59.99999833588048
5,N6,59.99999832905094
5,N7,59.99999827857207
5,N8,59.99999831021254
5,N9,59.99999831801361
6,N1,59.99999981745589
6,N2,59.99999970905269
6,N3,59.99999981928564
6,N4,59.99999983472789
6,N5,59.999999845055996
6,N6,59.999999832223224
6,N7,59.99999978697476
6,N8,59.9999998147348
6,N9,59.99999981973793
7,N1,59.99999998581768
7,N2,59.99999990072299
7,N3,60.000000001662755
7,N4,60.00000001471602
7,N5,60.0000000389156
7,N6,60.00000001360012
7,N7,59.999999978645064
7,N8,60.00000000006699
7,N9,60.00000000221756
8,N1,60.00000000527814
8,N2,59.999999916085294
8,N3,60.00000000249275
8,N4,60.000000035025884
8,N5,60.00000006785055
8,N6,60.000000019416404
8,N7,59.999999994007375
8,N8,60.000000000540616
8,N9,60.000000003194096
9,N1,59.9999997472954
9,N2,59.999999559332494
9,N3,59.999999619221285
9,N4,59.99999975754512
9,N5,59.99999976962536
9,N6,59.999999651263394
9,N7,59.99999963725457
9,N8,59.999999613903725
9,N9,59.999999620179985
10,N1,52.200000309459746
10,N2,52.20000009900936
10,N3,52.20000006383454
10,N4,52.20000031474969
10,N5,52.20000030318287
10,N6,52.20000004408242
10,N7,52.20000013945341
10,N8,52.20000007001801
10,N9,52.20000006383454
11,N1,59.99999959884837
11,N2,52.19999990850324
11,N3,46.72097542935943
11,N4,59.99999960582341
11,N5,57.304877806756366
11,N6,41.33073178749295
11,N7,52.199999916638795
11,N8,49.91707283109403
11,N9,46.72097542935943
12,N1,59.999999268565716
12,N2,52.19999983449495
12,N3,30.9936712744365
12,N4,59.99999927416673
12,N5,57.304877560490134
12,N6,25.603427797877547
12,N7,52.199999839696275
12,N8,34.189768527381894
12,N9,30.993671272244306
13,N1,52.200000933644546
13,N2,52.199999824586705
13,N3,1.023555630192872e-06
13,N4,52.20000093816275
13,N5,52.20000059501469
13,N6,2.95058615798343e-07
13,N7,52.19999982954491
13,N8,1.3987920387177185e-06
13,N9,1.0213634347507287e-06
14,N1,52.199999833166146
14,N2,52.199999752064315
14,N3,3.308820165464666e-07
14,N4,52.199999838301075
14,N5,52.19999984920036
14,N6,3.016043898785829e-07
14,N7,52.19999975575306
14,N8,2.9700089327805083e-07
14,N9,3.2868982765690843e-07
15,N1,54.5979294082276
15,N2,52.19999966002247
15,N3,11.044951186004896
15,N4,54.59792941429808
15,N5,53.7693764915111
15,N6,9.38784527946921
15,N7,52.199999662802675
15,N8,12.027517464538121
15,N9,11.044951183812696
16,N1,59.99999129283115
16,N2,52.19999969291242
16,N3,40.112558826691014
16,N4,59.999991299978575
16,N5,57.30487229235499
16,N6,34.722320762734284
16,N7,52.199999695961274
16,N8,43.30865292133597
16,N9,40.112558826691014
17,N1,52.2000001824013
17,N2,52.20000003608329
17,N3,52.19999998541896
17,N4,52.20000019038954
17,N5,52.200000192120676
17,N6,52.19999997141979
17,N7,52.200000064262085
17,N8,52.199999988439075
17,N9,52.19999998541896
18,N1,59.99999966803017
18,N2,59.99999949299215
18,N3,59.999999558013016
18,N4,59.99999968022635
18,N5,59.99999969653648
18,N6,59.999999588284005
18,N7,59.999999570914234
18,N8,59.99999955024798
18,N9,59.99999955887923
19,N1,60.000000132394725
19,N2,60.00000011089937
19,N3,60.00000019075034
19,N4,60.00000019499731
19,N5,60.00000026351937
19,N6,60.000000195534255
19,N7,60.000000188821446
19,N8,60.000000195626626
19,N9,60.000000191435824
20,N1,60.00000044065491
20,N2,60.000000474127106
20,N3,60.00000055632774
