unit,soc_hour,node,soc_mwh,delta_soc_capacity_dual,rho_periodicity_dual
I3,0,N1,9.488126856779267e-06,-0.053503855468364406,-58.80478177352611
I3,1,N1,9.471669454800847e-06,-0.05351209431936428,-58.80478177352611
I3,2,N1,9.455212043736638e-06,-0.05350945165915623,-58.80478177352611
I3,3,N1,9.438753077311721e-06,-0.053500945735396974,-58.80478177352611
I3,4,N1,9.422291034482076e-06,-0.05348869193719956,-58.80478177352611
I3,5,N1,9.405824309744278e-06,-0.05347300562330428,-58.80478177352611
I3,6,N1,9.389351383001944e-06,-0.05345260013293126,-58.80478177352611
I3,7,N1,9.372870706146927e-06,-0.05342403361657476,-58.80478177352611
I3,8,N1,9.356380729643506e-06,-0.05338013879888391,-58.80478177352611
I3,9,N1,9.339879903223647e-06,-0.05330672131105756,-58.80478177352611
I3,10,N1,9.420000413086758e-06,-0.053555997527839405,-58.80478177352611
I3,11,N1,9.40348231343127e-06,-0.05345208010565343,-58.80478177352611
I3,12,N1,9.386957790257044e-06,-0.05333434242587743,-58.80478177352611
I3,13,N1,9.467030217286236e-06,-0.05353448137511602,-58.80478177352611
I3,14,N1,9.54710153151201e-06,-0.053735984920053784,-58.80478177352611
I3,15,N1,9.539871581163028e-06,-0.05361694068916495,-58.80478177352611
I3,16,N1,9.523352127240926e-06,-0.05351281779528461,-58.80478177352611
I3,17,N1,9.603469199171997e-06,-0.05376407738114786,-58.80478177352611
I3,18,N1,9.586966976612844e-06,-0.053689955842397795,-58.80478177352611
I3,19,N1,9.570475585245656e-06,-0.05364618533230176,-58.80478177352611
I3,20,N1,9.553993474601215e-06,-0.0536184707436407,-58.80478177352611
I3,21,N1,9.537519095270686e-06,-0.05360002217875888,-58.80478177352611
I3,22,N1,9.52105089816522e-06,-0.053588351244818956,-58.80478177352611
I3,23,N1,9.504587334701222e-06,-0.05358412406200151,-58.80478177352611
I3,24,N1,9.488126856779268e-06,-0.053591742562450306,-58.80478177352611
I3,0,N2,9.73610929448696e-06,-0.05021247646686071,-57.606081446553134
I3,1,N2,9.70776535220909e-06,-0.05021084973811671,-57.606081446553134
I3,2,N2,9.67942130151683e-06,-0.050201497565234204,-57.606081446553134
I3,3,N2,9.651074422864447e-06,-0.05018744975796654,-57.606081446553134
I3,4,N2,9.622722025075803e-06,-0.0501697098482847,-57.606081446553134
I3,5,N2,9.594361321106762e-06,-0.05014773866971095,-57.606081446553134
I3,6,N2,9.565989619844287e-06,-0.05011926990148913,-57.606081446553134
I3,7,N2,9.537604197707193e-06,-0.050079427953360546,-57.606081446553134
I3,8,N2,9.509202328597395e-06,-0.05001878148105268,-57.606081446553134
I3,9,N2,9.480781284504473e-06,-0.04991957631040833,-57.606081446553134
I3,10,N2,9.537558775618651e-06,-0.05003664116207836,-57.606081446553134
I3,11,N2,9.594310838911276e-06,-0.05011596333972751,-57.606081446553134
I3,12,N2,9.651045898963549e-06,-0.05017627197047902,-57.606081446553134
I3,13,N2,9.707772374764519e-06,-0.05022870202623907,-57.606081446553134
I3,14,N2,9.76449868258459e-06,-0.050281242075816496,-57.606081446553134
I3,15,N2,9.821233238584692e-06,-0.05034195016742771,-57.606081446553134
I3,16,N2,9.877984461513833e-06,-0.05042223912072549,-57.606081446553134
I3,17,N2,9.934760775413671e-06,-0.050541622252175095,-57.606081446553134
I3,18,N2,9.906338751953412e-06,-0.05044073253035558,-57.606081446553134
I3,19,N2,9.877935685789675e-06,-0.05037971702277251,-57.606081446553134
I3,20,N2,9.849548848802967e-06,-0.05034034581219578,-57.606081446553134
I3,21,N2,9.821175515140768e-06,-0.05031331100474174,-57.606081446553134
I3,22,N2,9.792812960222272e-06,-0.050294347588485805,-57.606081446553134
I3,23,N2,9.76445846073965e-06,-0.05028248229918437,-57.606081446553134
I3,24,N2,9.73610929448696e-06,-0.05027981545003622,-57.606081446553134
I3,0,N3,36.08876400295723,-7.693928296694164e-09,-49.14000064023789
I3,1,N3,32.720310187069295,-6.238958348996384e-09,-49.14000064023789
I3,2,N3,29.684164792297594,-5.088495018248256e-09,-49.14000064023789
I3,3,N3,27.812510615454453,-4.314721493806151e-09,-49.14000064023789
