scenario,hour,node,embedded_lambda_eur_per_mwh,reference_lambda_eur_per_mwh
low,1,N1,60.00000055022588,60.0
low,1,N2,60.00000050462363,60.0
low,1,N3,60.000000557566786,60.0
low,1,N4,60.000000558634994,60.0
low,1,N5,60.00000056315952,60.0
low,1,N6,60.00000056064418,60.0
low,1,N7,60.00000053899442,60.0
low,1,N8,60.00000055412968,60.0
low,1,N9,60.00000055756968,60.0
low,2,N1,60.000000512811994,60.0
low,2,N2,60.00000046401668,60.0
low,2,N3,60.00000051740737,60.0
low,2,N4,60.000000519772925,60.0
low,2,N5,60.00000052284136,60.0
low,2,N6,60.000000520911705,60.0
low,2,N7,60.000000498387465,60.0
low,2,N8,60.00000051363477,60.0
low,2,N9,60.000000517410264,60.0
low,3,N1,60.000000445511944,60.0
low,3,N2,60.00000039469477,60.0
low,3,N3,60.00000044836932,60.0
low,3,N4,60.00000045158609,60.0
low,3,N5,60.000000453733854,60.0
low,3,N6,60.000000452148576,60.0
low,3,N7,60.000000429065565,60.0
low,3,N8,60.0000004443801,60.0
low,3,N9,60.00000044837223,60.0
low,4,N1,60.0000003519553,60.0
low,4,N2,60.00000030015349,60.0
low,4,N3,60.00000035396617,60.0
low,4,N4,60.000000357605686,60.0
low,4,N5,60.00000035930585,60.0
low,4,N6,60.00000035788089,60.0
low,4,N7,60.00000033452428,60.0
low,4,N8,60.000000349870454,60.0
low,4,N9,60.00000035396911,60.0
low,5,N1,60.00000048086871,60.0
low,5,N2,60.000000431050466,60.0
low,5,N3,60.00000048458218,60.0
low,5,N4,60.00000048737816,60.0
low,5,N5,60.000000489981225,60.0
low,5,N6,60.00000048822551,60.0
low,5,N7,60.00000046542126,60.0
low,5,N8,60.0000004807011,60.0
low,5,N9,60.00000048458517,60.0
low,6,N1,60.00000056247294,60.0
low,6,N2,60.00000051912715,60.0
low,6,N3,60.00000057175036,60.0
low,6,N4,60.00000057194198,60.0
low,6,N5,60.000000577496415,60.0
low,6,N6,60.00000057453169,60.0
low,6,N7,60.00000055349794,60.0
low,6,N8,60.00000056854638,60.0
low,6,N9,60.00000057175343,60.0
low,7,N1,60.00000060954331,60.0
low,7,N2,60.00000058074668,60.0
low,7,N3,60.00000063019196,60.0
low,7,N4,60.00000062665441,60.0
low,7,N5,60.00000063935386,60.0
low,7,N6,60.00000063144831,60.0
low,7,N7,60.00000061511747,60.0
low,7,N8,60.00000062815109,60.0
low,7,N9,60.00000063019514,60.0
low,8,N1,60.00000064237128,60.0
low,8,N2,60.00000062024228,60.0
low,8,N3,60.000000664344974,60.0
low,8,N4,60.00000066351507,60.0
low,8,N5,60.000000682492214,60.0
low,8,N6,60.000000665622416,60.0
low,8,N7,60.000000654613075,60.0
low,8,N8,60.00000066222344,60.0
low,8,N9,60.00000066434829,60.0
low,9,N1,60.00000059144098,60.0
low,9,N2,60.00000054304786,60.0
low,9,N3,60.00000058217309,60.0
low,9,N4,60.000000602258275,60.0
low,9,N5,60.000000615819154,60.0
low,9,N6,60.000000588905344,60.0
low,9,N7,60.00000057741865,60.0
low,9,N8,60.00000057615988,60.0
low,9,N9,60.00000058217658,60.0
low,10,N1,59.999999910387274,60.0
low,10,N2,59.9999998080324,60.0
low,10,N3,59.9999998348209,60.0
low,10,N4,59.99999991266178,60.0
low,10,N5,59.99999991212673,60.0
low,10,N6,59.9999998426384,60.0
low,10,N7,59.99999984240319,60.0
low,10,N8,59.999999827835495,60.0
low,10,N9,59.99999983482461,60.0
low,11,N1,52.20000066168928,52.2
low,11,N2,52.200000526971664,52.2
low,11,N3,52.20000045766953,52.2
low,11,N4,52.200000663378695,52.2
low,11,N5,52.200000640402735,52.2
low,11,N6,52.20000041143229,52.2
low,11,N7,52.2000005391826,52.2
low,11,N8,52.20000048266203,52.2
low,11,N9,52.20000045766953,52.2
low,12,N1,60.00000043525384,60.0
low,12,N2,52.20000046351172,52.2
low,12,N3,46.720975940063425,46.72097560975611
low,12,N4,60.000000438036885,60.0
low,12,N5,57.304878515486756,57.30487804878049
low,12,N6,41.33073207705542,41.3307317073171
low,12,N7,52.200000466664264,52.2
low,12,N8,49.91707347559632,49.91707317073171
low,12,N9,46.720975940063425,46.72097560975611
low,13,N1,60.00000016668188,60.0
low,13,N2,52.20000042696144,52.2
low,13,N3,35.29895292243334,35.298942439024415
low,13,N4,60.000000168840785,60.0
low,13,N5,57.30487832518442,57.304878048780495
low,13,N6,29.90870922436576,29.908698536585394
low,13,N7,52.200000428982364,52.2
low,13,N8,38.49505035956844,38.49504
low,13,N9,35.298952922401796,35.298942439024415
low,14,N1,59.99999797645497,60.0
low,14,N2,52.20000042010804,52.2
low,14,N3,5.390242859844277,35.298942439024415
low,14,N4,59.999997978452086,60.0
low,14,N5,57.304876888787966,57.304878048780495
low,14,N6,6.704020446280459e-07,29.908698536585394
low,14,N7,52.20000042200019,52.2
low,14,N8,8.586339402464722,38.49504
low,14,N9,5.390242859812735,35.298942439024415
low,15,N1,60.00000011188693,60.0
low,15,N2,52.20000036045309,52.2
low,15,N3,43.885289549735475,43.885283902439014
low,15,N4,60.000000114576764,60.0
low,15,N5,57.30487826644508,57.304878048780495
low,15,N6,38.49504583520261,38.49504
low,15,N7,52.20000036166771,52.2
low,15,N8,47.08138699729705,47.081381463414615
low,15,N9,43.885289549735475,43.885283902439014
low,16,N1,52.2000005914348,52.2
low,16,N2,52.20000050439324,52.2
low,16,N3,52.2000004322122,52.2
low,16,N4,52.20000059405015,52.2
low,16,N5,52.200000583512775,52.2
low,16,N6,52.20000040168057,52.2
low,16,N7,52.200000511614924,52.2
low,16,N8,52.20000044808889,52.2
low,16,N9,52.2000004322122,52.2
low,17,N1,52.200000710796715,52.2
low,17,N2,52.200000630914154,52.2
low,17,N3,52.20000064475064,52.2
low,17,N4,52.20000071376701,52.2
low,17,N5,52.20000071505078,52.2
low,17,N6,52.20000065018218,52.2
low,17,N7,52.20000065578031,52.2
low,17,N8,52.20000063909187,52.2
low,17,N9,52.20000064475064,52.2
low,18,N1,60.00000058575399,60.0
low,18,N2,60.000000538958695,60.0
low,18,N3,60.00000057788946,60.0
low,18,N4,60.000000597207304,60.0
low,18,N5,60.000000611744,60.0
low,18,N6,60.00000058437223,60.0
low,18,N7,60.00000057332949,60.0
low,18,N8,60.00000057204789,60.0
low,18,N9,60.000000577893026,60.0
low,19,N1,60.00000709240552,60.0
low,19,N2,60.000007109505304,60.0
low,19,N3,60.00000714773008,60.0
low,19,N4,60.00000713605887,60.0
low,19,N5,60.000007174729646,60.0
low,19,N6,60.0000071422785,60.0
low,19,N7,60.0000071438761,60.0
low,19,N8,60.000007150049186,60.0
low,19,N9,60.0000071477339,60.0
low,20,N1,60.0000127895015,60.0
low,20,N2,60.0000128118247,60.0
low,20,N3,60.00001285048818,60.0
low,20,N4,60.00001283624026,60.0
low,20,N5,60.00001287601092,60.0
low,20,N6,60.00001284328688,60.0
low,20,N7,60.000012846195496,60.0
low,20,N8,60.00001285405144,60.0
low,20,N9,60.00001285049228,60.0
low,21,N1,60.00000701473499,60.0
low,21,N2,60.000007034243325,60.0
low,21,N3,60.00000707826669,60.0
low,21,N4,60.000007062843146,60.0
low,21,N5,60.00000709471277,60.0
low,21,N6,60.00000707326934,60.0
low,21,N7,60.00000706861411,60.0
low,21,N8,60.000007080495955,60.0
low,21,N9,60.00000707827017,60.0
low,22,N1,60.00000064379151,60.0
low,22,N2,60.000000629745884,60.0
low,22,N3,60.00000067861679,60.0
low,22,N4,60.00000066969005,60.0
low,22,N5,60.000000687904304,60.0
low,22,N6,60.00000067791099,60.0
low,22,N7,60.000000664116676,60.0
low,22,N8,60.00000067798161,60.0
low,22,N9,60.00000067861981,60.0
low,23,N1,60.0000005940623,60.0
low,23,N2,60.00000056143782,60.0
low,23,N3,60.00000061261002,60.0
low,23,N4,60.00000060899038,60.0
low,23,N5,60.00000061936935,60.0
low,23,N6,60.000000614038456,60.0
low,23,N7,60.000000595808615,60.0
low,23,N8,60.000000610438384,60.0
low,23,N9,60.000000612612986,60.0
low,24,N1,60.00000057126841,60.0
low,24,N2,60.00000053032635,60.0
low,24,N3,60.000000582622356,60.0
low,24,N4,60.00000058190081,60.0
low,24,N5,60.000000588546186,60.0
low,24,N6,60.00000058509227,60.0
low,24,N7,60.000000564697146,60.0
low,24,N8,60.000000579658504,60.0
low,24,N9,60.00000058262528,60.0
base,1,N1,60.00000053295606,60.0
base,1,N2,60.00000048283302,60.0
base,1,N3,60.0000005400719,60.0
base,1,N4,60.00000054183692,60.0
base,1,N5,60.000000546650625,60.0
base,1,N6,60.00000054339248,60.0
base,1,N7,60.000000520202754,60.0
base,1,N8,60.0000005363591,60.0
base,1,N9,60.00000054007638,60.0
base,2,N1,60.00000046938175,60.0
base,2,N2,60.00000041582151,60.0
base,2,N3,60.000000473545114,60.0
base,2,N4,60.00000047671811,60.0
base,2,N5,60.000000479954146,60.0
base,2,N6,60.00000047733187,60.0
base,2,N7,60.000000453191234,60.0
base,2,N8,60.00000046946637,60.0
base,2,N9,60.00000047354959,60.0
base,3,N1,60.000000299105686,60.0
base,3,N2,60.0000002433939,60.0
base,3,N3,60.00000030144551,60.0
base,3,N4,60.000000305507996,60.0
base,3,N5,60.00000030775103,60.0
base,3,N6,60.00000030554272,60.0
base,3,N7,60.00000028076363,60.0
base,3,N8,60.00000029712439,60.0
base,3,N9,60.00000030145004,60.0
base,4,N1,59.99999982399735,60.0
base,4,N2,59.99999976731385,60.0
base,4,N3,59.99999982558037,60.0
base,4,N4,59.99999982998837,60.0
base,4,N5,59.99999983176301,60.0
base,4,N6,59.99999982984989,60.0
base,4,N7,59.99999980468358,60.0
base,4,N8,59.99999982112862,60.0
base,4,N9,59.999999825585,60.0
base,5,N1,60.00000039302158,60.0
base,5,N2,60.000000338288196,60.0
base,5,N3,60.000000396119326,60.0
base,5,N4,60.00000039984549,60.0
base,5,N5,60.00000040256253,60.0
base,5,N6,60.000000400062866,60.0
base,5,N7,60.000000375657926,60.0
base,5,N8,60.00000039192178,60.0
base,5,N9,60.000000396124285,60.0
base,6,N1,60.00000054882029,60.0
base,6,N2,60.00000050088933,60.0
base,6,N3,60.0000005576506,60.0
base,6,N4,60.00000055871433,60.0
base,6,N5,60.00000056459756,60.0
base,6,N6,60.000000560643535,60.0
base,6,N7,60.00000053825906,60.0
base,6,N8,60.000000554199836,60.0
base,6,N9,60.00000055765601,60.0
base,7,N1,60.00000060259504,60.0
base,7,N2,60.00000056941594,60.0
base,7,N3,60.000000622564755,60.0
base,7,N4,60.000000620101325,60.0
base,7,N5,60.000000633540125,60.0
base,7,N6,60.00000062399177,60.0
base,7,N7,60.00000060678567,60.0
base,7,N8,60.00000062031561,60.0
base,7,N9,60.00000062257094,60.0
base,8,N1,60.000000623562094,60.0
base,8,N2,60.0000005944441,60.0
base,8,N3,60.00000064150353,60.0
base,8,N4,60.00000064373052,60.0
base,8,N5,60.000000663165295,60.0
base,8,N6,60.00000064337377,60.0
base,8,N7,60.00000063181383,60.0
base,8,N8,60.00000063888,60.0
base,8,N9,60.0000006415113,60.0
base,9,N1,60.000000570503374,60.0
base,9,N2,60.000000507308414,60.0
base,9,N3,60.00000054761797,60.0
base,9,N4,60.00000057947286,60.0
base,9,N5,60.000000591593434,60.0
base,9,N6,60.00000055581304,60.0
base,9,N7,60.000000544678144,60.0
base,9,N8,60.00000054052099,60.0
base,9,N9,60.00000054763089,60.0
base,10,N1,52.20000074818923,52.2
base,10,N2,52.20000064308559,52.2
base,10,N3,52.20000064982375,52.2
base,10,N4,52.20000075053138,52.2
base,10,N5,52.20000074753637,52.2
base,10,N6,52.20000065060099,52.2
base,10,N7,52.20000067021839,52.2
base,10,N8,52.200000646721755,52.2
base,10,N9,52.20000064982375,52.2
base,11,N1,52.20000106076528,52.2
base,11,N2,52.200000507950776,52.2
base,11,N3,52.20000010913676,52.2
base,11,N4,52.20000106276677,52.2
base,11,N5,52.200000895205484,52.2
base,11,N6,52.19999976724844,52.2
base,11,N7,52.200000516613926,52.2
base,11,N8,52.200000309292165,52.2
base,11,N9,52.20000010913676,52.2
base,12,N1,60.00000022624251,60.0
base,12,N2,52.20000043914175,52.2
base,12,N3,5.390244204529854,35.298942439024415
base,12,N4,60.000000228749315,60.0
base,12,N5,57.304878371276914,57.304878048780495
base,12,N6,4.789793254748207e-07,29.908698536585394
base,12,N7,52.20000044181542,52.2
base,12,N8,8.586341657697226,38.49504
base,12,N9,5.390244204500547,35.298942439024415
base,13,N1,52.20000051852852,52.20000000000002
base,13,N2,52.20000043455226,52.2
base,13,N3,1.344041596146267e-07,-0.0
base,13,N4,52.200000520530004,52.20000000000002
base,13,N5,52.20000051078665,52.20000000000003
base,13,N6,1.0767112124059645e-07,-0.0
base,13,N7,52.20000043709718,52.2
base,13,N8,1.4730301943780578e-07,-0.0
base,13,N9,1.3437484880976222e-07,-0.0
base,14,N1,52.200000414968144,52.20000000000002
base,14,N2,52.200000406012144,52.2
base,14,N3,9.280667955348398e-08,-0.0
base,14,N4,52.20000041724191,52.20000000000002
base,14,N5,52.20000043283315,52.20000000000003
base,14,N6,1.1176553309672133e-07,-0.0
base,14,N7,52.20000040796757,52.2
base,14,N8,7.878555959995945e-08,-0.0
