investor,node,hour,installed_power_mw,charge_bid_mw,discharge_bid_mw
I1,N1,1,2.201667148050713e-06,1.311376059506917e-06,1.2379665170022485e-06
I1,N1,2,2.201667148050713e-06,1.3129555048793484e-06,1.2365664370756484e-06
I1,N1,3,2.201667148050713e-06,1.3145809444212778e-06,1.2345628421420018e-06
I1,N1,4,2.201667148050713e-06,1.3162373980585576e-06,1.232747649638283e-06
I1,N1,5,2.201667148050713e-06,1.3179255132881896e-06,1.2308372149669296e-06
I1,N1,6,2.201667148050713e-06,1.3197070686463387e-06,1.228895201313103e-06
I1,N1,7,2.201667148050713e-06,1.3215289098795341e-06,1.2268315396142276e-06
I1,N1,8,2.201667148050713e-06,1.3234148204695043e-06,1.2246701820470255e-06
I1,N1,9,2.201667148050713e-06,1.3253847474934703e-06,1.2223831105655845e-06
I1,N1,10,2.201667148050713e-06,1.3327866850121296e-06,1.2151034404093717e-06
I1,N1,11,2.201667148050713e-06,1.3237543690316078e-06,1.2243912268279923e-06
I1,N1,12,2.201667148050713e-06,1.3304750081693958e-06,1.2176043038580779e-06
I1,N1,13,2.201667148050713e-06,1.3235930048437725e-06,1.223221573578974e-06
I1,N1,14,2.201667148050713e-06,1.3299324217796273e-06,1.2232802257124368e-06
I1,N1,15,2.201667148050713e-06,1.315310833946117e-06,1.233821459343341e-06
I1,N1,16,2.201667148050713e-06,1.3053047859528489e-06,1.2438547566580013e-06
I1,N1,17,2.201667148050713e-06,1.3116286288980444e-06,1.2378780777673966e-06
I1,N1,18,2.201667148050713e-06,1.3009771754554325e-06,1.2481966841674563e-06
I1,N1,19,2.201667148050713e-06,1.3022784372370246e-06,1.247082823011936e-06
I1,N1,20,2.201667148050713e-06,1.3044469473386975e-06,1.2437953235591903e-06
I1,N1,21,2.201667148050713e-06,1.3050969283959262e-06,1.244425901426552e-06
I1,N1,22,2.201667148050713e-06,1.3066104683196232e-06,1.242916270833071e-06
I1,N1,23,2.201667148050713e-06,1.3081611131658176e-06,1.2413305413207096e-06
I1,N1,24,2.201667148050713e-06,1.309761739779128e-06,1.2397042494474759e-06
I1,N2,1,2.20213370141519e-06,1.3108846628686599e-06,1.2399663910211959e-06
I1,N2,2,2.20213370141519e-06,1.312807532729663e-06,1.237937849761566e-06
I1,N2,3,2.20213370141519e-06,1.314795944253727e-06,1.2357929301171625e-06
I1,N2,4,2.20213370141519e-06,1.3168319514559466e-06,1.2335490835307157e-06
