hour,generator,dispatch_mw,capacity_mw,marginal_cost_eur_per_mwh,nu_gen_dual
1,G_IEEE1,270.00000228984607,270.0,60.0,-7.149999967774317
1,G_IEEE3,67.98254772350562,290.0,67.15,-3.2766568083250744e-09
1,RES_Wind_N1,94.50000090132767,94.5,0.0,-67.15000057794569
1,RES_PV_N6,0.0,0.0,0.0,
1,RES_PV_N8,0.0,0.0,0.0,
1,G_PEAKER_N5,9.529982951465447e-08,200.0,95.0,-4.663001271988147e-09
2,G_IEEE1,270.00000228984607,270.0,60.0,-7.149999925667805
2,G_IEEE3,43.92226439976039,290.0,67.15,-1.969152515792014e-09
2,RES_Wind_N1,98.4375009407026,98.4375,0.0,-67.15000053459761
2,RES_PV_N6,0.0,0.0,0.0,
2,RES_PV_N8,0.0,0.0,0.0,
2,G_PEAKER_N5,9.52998293820162e-08,200.0,95.0,-4.663001271988145e-09
3,G_IEEE1,270.00000228984607,270.0,60.0,-7.149999865844348
3,G_IEEE3,26.796256880440964,290.0,67.15,-1.1824493187548612e-09
3,RES_Wind_N1,102.37500098007766,102.375,0.0,-67.15000047362854
3,RES_PV_N6,0.0,0.0,0.0,
3,RES_PV_N8,0.0,0.0,0.0,
3,G_PEAKER_N5,9.529982919250432e-08,200.0,95.0,-4.663001271988145e-09
4,G_IEEE1,270.00000228984607,270.0,60.0,-7.149999799532916
4,G_IEEE3,17.782352068958552,290.0,67.15,-8.05620456805093e-10
4,RES_Wind_N1,105.00000100632764,105.0,0.0,-67.15000040660088
4,RES_PV_N6,0.0,0.0,0.0,
4,RES_PV_N8,0.0,0.0,0.0,
4,G_PEAKER_N5,9.529982896766323e-08,200.0,95.0,-4.6630012719881445e-09
5,G_IEEE1,270.00000228984607,270.0,60.0,-7.149999883574473
5,G_IEEE3,31.646195299502303,290.0,67.15,-1.3988864014881724e-09
5,RES_Wind_N1,102.37500098007767,102.375,0.0,-67.1500004913587
5,RES_PV_N6,0.0,0.0,0.0,
5,RES_PV_N8,0.0,0.0,0.0,
5,G_PEAKER_N5,9.529982926222852e-08,200.0,95.0,-4.6630012719881445e-09
6,G_IEEE1,270.00000228984607,270.0,60.0,-7.149999976267303
6,G_IEEE3,76.6370237797679,290.0,67.15,-3.839473106762937e-09
6,RES_Wind_N1,94.50000090132767,94.5,0.0,-67.1500005864388
6,RES_PV_N6,0.0,0.0,0.0,
6,RES_PV_N8,0.0,0.0,0.0,
6,G_PEAKER_N5,9.529982954799162e-08,200.0,95.0,-4.663001271988147e-09
7,G_IEEE1,270.0000022898461,270.0,60.0,-7.150000073099496
7,G_IEEE3,150.3437546505802,290.0,67.15,-1.1312139300011664e-08
7,RES_Wind_N1,81.37500077007768,81.375,0.0,-67.15000068827621
7,RES_PV_N6,4.795875004286382,4.795875,0.0,-67.15000132161958
7,RES_PV_N8,8.906625045393882,8.906625,0.0,-67.15000106348985
7,G_PEAKER_N5,9.529982988796862e-08,200.0,95.0,-4.663001271988146e-09
8,G_IEEE1,270.00000228984607,270.0,60.0,-7.150000116378909
8,G_IEEE3,164.6250646249214,290.0,67.15,-1.388233923784787e-08
8,RES_Wind_N1,68.25000063882763,68.25,0.0,-67.15000073848596
8,RES_PV_N6,23.979375196121328,23.979375,0.0,-67.1500008614827
8,RES_PV_N8,44.53312540165887,44.533125,0.0,-67.15000083453874
8,G_PEAKER_N5,9.529983010750803e-08,200.0,95.0,-4.663001271988148e-09
9,G_IEEE1,270.00000228984607,270.0,60.0,-7.150000016517108
9,G_IEEE3,65.45683199565462,290.0,67.15,-3.246177154402786e-09
9,RES_Wind_N1,55.125000507577646,55.125,0.0,-67.15000064885477
9,RES_PV_N6,67.14225062775012,67.14225,0.0,-67.15000067234469
9,RES_PV_N8,124.6927512032551,124.69275,0.0,-67.15000066851839
9,G_PEAKER_N5,9.529982971869715e-08,200.0,95.0,-4.663001271988148e-09
