hour,line,flow_mw,limit_mw,abs_utilization,mu_upper_dual,mu_lower_dual
1,L14,364.5000032268696,400.0,0.9112500080671739,-7.26084568423911e-08,0.0
1,L45,317.4181372266586,400.0,0.7935453430666465,-2.5573896794882003e-08,0.0
1,L46,47.081866035901434,200.0,0.23540933017950716,-9.159414821376413e-09,1.87591147744649e-09
1,L69,12.014294008310099,200.0,0.060071470041550494,-5.583346870492975e-09,3.845303721340027e-09
1,L57,-53.831862675855945,400.0,0.13457965668963986,0.0,0.0
1,L93,-67.98318156581115,200.0,0.33991590782905573,-8.971324877549685e-10,1.2406220540649061e-08
1,L72,2.6552372641174417e-07,400.0,6.638093160293605e-10,0.0,0.0
1,L98,79.99757902620367,200.0,0.39998789513101835,-1.462894405540724e-08,4.389483748176236e-10
1,L78,-53.83186320689164,200.0,0.2691593160344582,-1.5599218639626728e-09,1.0043313995102505e-08
2,L14,368.43750326627645,400.0,0.9210937581656912,-8.291406617275366e-08,0.0
2,L45,310.82251333247973,400.0,0.7770562833311994,-2.293481371613637e-08,0.0
2,L46,57.614989969519016,200.0,0.2880749498475951,-1.0576772090669937e-08,1.3896206704650321e-09
2,L69,24.16605082319367,200.0,0.12083025411596836,-6.660047447483471e-09,3.0934807757750846e-09
2,L57,-43.55248656998615,400.0,0.10888121642496537,0.0,0.0
2,L93,-43.92289830180277,200.0,0.21961449150901383,-1.970410594642787e-09,8.918468681613861e-09
2,L72,2.6542758128282015e-07,400.0,6.635689532070504e-10,0.0,0.0
2,L98,68.0890526497481,200.0,0.34044526324874047,-1.2379704229825258e-08,9.034154570964643e-10
2,L78,-43.55248710082957,200.0,0.21776243550414787,-2.0476115263954423e-09,8.728794445649154e-09
3,L14,372.3750033062883,400.0,0.9309375082657207,-9.615747359527211e-08,0.0
3,L45,306.9652310321059,400.0,0.7674130775802648,-2.1561767272957224e-08,0.0
3,L46,65.40977231054156,200.0,0.3270488615527078,-1.1769927259435811e-08,1.0542678633903853e-09
3,L69,33.04276708116839,200.0,0.16521383540584197,-7.546541593735117e-09,2.5934375857996508e-09
3,L57,-36.15976887007601,400.0,0.09039942217519002,0.0,0.0
3,L93,-26.796899545621084,200.0,0.13398449772810542,-2.8763792247353586e-09,7.025292952743777e-09
3,L72,2.6577355204989956e-07,400.0,6.644338801247489e-10,0.0,0.0
3,L98,59.83977178930874,200.0,0.2991988589465437,-1.1039993752552504e-08,1.252493336968486e-09
3,L78,-36.159769401611136,200.0,0.18079884700805568,-2.424101993885767e-09,7.886204937622106e-09
4,L14,375.00000333379086,400.0,0.9375000083344771,-1.0730400814196378e-07,0.0
4,L45,305.3213937681444,400.0,0.763303484420361,-2.1006698462330247e-08,0.0
4,L46,69.67860960325825,200.0,0.3483930480162913,-1.2485743045530125e-08,8.784216891381789e-10
4,L69,37.85720978524856,200.0,0.1892860489262428,-8.06914831905816e-09,2.3373364619402883e-09
4,L57,-32.1786061335153,400.0,0.08044651533378826,0.0,0.0
4,L93,-17.783013490327075,200.0,0.08891506745163538,-3.415074886188354e-09,6.166915352946014e-09
4,L72,2.665794429268828e-07,400.0,6.664486073172069e-10,0.0,0.0
4,L98,55.64033190282402,200.0,0.2782016595141201,-1.040867476088682e-08,1.4417847799230327e-09
4,L78,-32.178606666661615,200.0,0.16089303333330807,-2.6361843447201087e-09,7.464225678772498e-09
5,L14,372.3750033094304,400.0,0.9309375082735759,-9.615747361023365e-08,0.0
5,L45,309.40183387739074,400.0,0.7735045846934768,-2.2418335496967515e-08,0.0
5,L46,62.97316947154146,200.0,0.3148658473577073,-1.138027235795541e-08,1.1575220500940233e-09
5,L69,30.086719511768152,200.0,0.15043359755884075,-7.239537546375306e-09,2.7564805735964215e-09
5,L57,-39.34816602350249,400.0,0.09837041505875624,0.0,0.0
5,L93,-31.646888635822368,200.0,0.15823444317911184,-2.6008731756928855e-09,7.532127191565436e-09
5,L72,2.67885911204018e-07,400.0,6.697147780100449e-10,0.0,0.0
5,L98,61.733722709773176,200.0,0.3086686135488659,-1.1346794756548928e-08,1.1666610677377042e-09
5,L78,-39.34816655926082,200.0,0.19674083279630408,-2.259462479482395e-09,8.238829703267705e-09
6,L14,364.5000032332408,400.0,0.9112500080831021,-7.26084568616878e-08,0.0
6,L45,322.1368175705156,400.0,0.8053420439262889,-2.7756713906621066e-08,0.0
6,L46,42.363185704788,200.0,0.21181592852394002,-8.580866133286585e-09,2.109628030833879e-09
6,L69,6.25736792057342,200.0,0.0312868396028671,-5.116828382183988e-09,4.235628916093748e-09
6,L57,-60.36318232935876,400.0,0.1509079558233969,0.0,0.0
6,L93,-76.6377689999755,200.0,0.38318884499987754,-5.451439487084343e-10,1.4057346105710642e-08
6,L72,2.6975910892871974e-07,400.0,6.743977723217994e-10,0.0,0.0
6,L98,82.89526131518862,200.0,0.4144763065759431,-1.5303718406914732e-08,3.222779637737249e-10
6,L78,-60.363182868862175,200.0,0.3018159143443109,-1.2718200253736917e-09,1.0972755605340088e-08
7,L14,351.3750031052699,400.0,0.8784375077631748,-5.031054453654388e-08,0.0
7,L45,348.4985492771529,400.0,0.8712463731928822,-4.725200944065751e-08,0.0
7,L46,2.876453873459323,200.0,0.014382269367296615,-4.855954886247615e-09,4.474995655668764e-09
7,L69,-34.88494770914645,200.0,0.17442473854573226,-2.4670875116300424e-09,7.79786071525861e-09
7,L57,-101.5014506214385,400.0,0.25375362655359623,0.0,0.0
7,L93,-150.34458786926479,200.0,0.751722939346324,0.0,5.1607295530118645e-08
7,L72,2.72294909600832e-07,400.0,6.8073727400208e-10,0.0,0.0
7,L98,115.45978183283927,200.0,0.5772989091641963,-2.5405586674936135e-08,0.0
7,L78,-101.50145116601175,200.0,0.5075072558300587,0.0,1.968899836513576e-08
8,L14,338.2500029780826,400.0,0.8456250074452065,-3.7491501758796975e-08,0.0
8,L45,368.3676580130886,400.0,0.9209191450327215,-8.376302005615172e-08,0.0
8,L46,-30.117654985599998,200.0,0.15058827492799998,-2.7242529805589657e-09,7.298748902830241e-09
8,L69,-54.05774180627018,200.0,0.2702887090313509,-1.5238861721630466e-09,1.0152578513867411e-08
8,L57,-137.88234188394128,400.0,0.3447058547098532,0.0,1.1729480220792885e-09
8,L93,-164.62607149216817,200.0,0.8231303574608408,0.0,7.942852426519222e-08
8,L72,2.756257455095967e-07,400.0,6.890643637739917e-10,0.0,0.0
8,L98,110.56850791871622,200.0,0.5528425395935811,-2.360274367304263e-08,0.0
8,L78,-137.88234243517397,200.0,0.6894117121758698,0.0,3.6941677108576224e-08
9,L14,325.12500285176674,400.0,0.8128125071294169,-2.916661418706916e-08,0.0
9,L45,369.00915873757515,400.0,0.9225228968439378,-8.598684749492207e-08,0.0
9,L46,-43.884155831467304,200.0,0.21942077915733652,-2.002969471700976e-09,8.837710641256846e-09
9,L69,-26.233781823217317,200.0,0.13116890911608658,-2.933620611469468e-09,6.926243643248157e-09
9,L57,-154.1158411575965,400.0,0.3852896028939912,0.0,1.9055122860854724e-09
9,L93,-65.45838877826164,200.0,0.32729194389130817,-9.177143725483137e-10,1.2319704184974167e-08
9,L72,2.799314827426328e-07,400.0,6.99828706856582e-10,0.0,0.0
9,L98,39.22492766971508,200.0,0.1961246383485754,-8.545182075759795e-09,2.124832937258157e-09
9,L78,-154.1158417174377,200.0,0.7705792085871884,0.0,5.330779384237182e-08
10,L14,279.9904328339668,400.0,0.699976082084917,-1.4436397751329135e-08,0.0
10,L45,348.9208024038303,400.0,0.8723020060095757,-4.7412845937591075e-08,0.0
10,L46,-68.93036973183796,200.0,0.3446518486591898,-9.046831305456308e-10,1.2374365513206287e-08
10,L69,-2.429367811867277,200.0,0.012146839059336384,-4.487030963990049e-09,4.843299063022882e-09
10,L57,-157.32919776864642,400.0,0.39332299442161606,0.0,2.0846835977602825e-09
10,L93,-1.2319608386568474e-06,200.0,6.159804193284237e-09,-4.663001179784381e-09,4.663001348756096e-09
10,L72,0.000220463477697814,400.0,5.51158694244535e-07,0.0,0.0
10,L98,-2.4293656600677394,200.0,0.012146828300338697,-4.487031106153225e-09,4.8432989137815214e-09
10,L78,-157.3296384090953,200.0,0.7866481920454765,0.0,5.872689263934176e-08
