unit,hour,node,soc_start_mwh,soc_end_mwh,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_eur_per_mwh,spot_revenue_eur,degradation_cost_eur,rho_charge_dual,sigma_discharge_dual,gamma_soc_transition_dual
I1,1,N1,1.3130229278107389e-06,1.2953597280976173e-06,1.3908591588712028e-07,1.3838536949652446e-07,-7.005463905958185e-10,67.15000052929645,-4.704169049930593e-08,2.0810346403773358e-06,-5.848394696174358,-5.782668754723927,-67.29586396560848
I1,2,N1,1.2953597280976173e-06,1.2776257502488512e-06,1.3905295280268938e-07,1.3842273900507023e-07,-6.302137976191409e-10,67.15000048183302,-4.231885681378313e-08,2.0810676885581972e-06,-5.84862995805929,-5.782385011639411,-67.29312671505707
I1,3,N1,1.2776257502488512e-06,1.2589501627508822e-06,1.3861574692065245e-07,1.389210513122948e-07,3.053043916423519e-10,67.15000040818475,2.0501190023404527e-08,2.0815259867471046e-06,-5.844773842854019,-5.786491434721783,-67.23963997912337
I1,4,N1,1.2589501627508822e-06,1.238412218508186e-06,1.3775946881594145e-07,1.3991403540293462e-07,2.1545665869931665e-09,67.15000032528181,1.4467914701743244e-07,2.0825512816415707e-06,-5.836781258826674,-5.795222052296903,-67.1326619741937
I1,5,N1,1.238412218508186e-06,1.2149906013415263e-06,1.3645565641034809e-07,1.4147088842647384e-07,5.0152320161257505e-09,67.1500004311318,3.3677283204507017e-07,2.0844490862761644e-06,-5.82425822419922,-5.809430454294833,-66.96583344660719
I1,6,N1,1.2149906013415263e-06,1.187503022985287e-06,1.3466238769131332e-07,1.4370555254824892e-07,9.043164856935606e-09,67.15000053717425,6.072485250009812e-07,2.0877595517967167e-06,-5.806375405534452,-5.830821614004757,-66.72846840956137
I1,7,N1,1.187503022985287e-06,1.1545278689449207e-06,1.3232453001106215e-07,1.4679373562635424e-07,1.446920561529209e-08,67.15000060561951,9.71607165829697e-07,2.0933869922806233e-06,-5.781614536420905,-5.8625046221108,-66.40399023358613
I1,8,N1,1.1545278689449207e-06,1.1142936031344833e-06,1.2937396894565256e-07,1.5100328949597994e-07,2.1629320550327375e-08,67.15000062465671,1.4524088884653835e-06,2.1028294383122437e-06,-5.747241484524143,-5.910127632109432,-65.9669442336287
I1,9,N1,1.1142936031344833e-06,1.0645084766046955e-06,1.2572939729944463e-07,1.5674990048833568e-07,3.102050318889104e-08,67.15000057964986,2.0830268071150637e-06,2.1185947334083522e-06,-5.6985066860941345,-5.9839706824474,-65.3777849968754
I1,10,N1,1.0645084766046955e-06,1.132816744518499e-06,1.9525893817267418e-07,1.0712903593000705e-07,-8.812990224266713e-08,60.000000666583865,-5.287794193305998e-06,2.267909805770109e-06,-6.41172493012353,-5.515406238685303,-64.57502091206781
I1,11,N1,1.132816744518499e-06,1.192069696731308e-06,1.8878774593608045e-07,1.0993542579242727e-07,-7.885232014365318e-08,60.00000058078144,-4.731139254415155e-06,2.240423787963808e-06,-6.322711048698766,-5.555393420731877,-64.03994394620155
