iteration,investor,termination,solve_seconds,optimistic_mpec_profit_eur_per_day,max_access_shadow_price_eur_per_mw_day,strong_duality_gap,total_power_mw,total_energy_mwh,max_rel_delta_power,max_rel_delta_energy,abs_capacity_step_mw_equivalent,abs_offer_step_mw,abs_price_step_eur_per_mwh,converged_sweep_streak,max_undamped_delta_power_mw
1,I1,optimal,51.13963050000166,-0.0001676339744632932,1.709715846687809e-07,0.00018106075003743172,22.70069351159467,73.65530798479394,0.6999999982876055,0.6999999974245861,,,,,65.12310298487418
1,I4,optimal,4.188977099998738,214576.5317062195,1.2996809520762775e-07,0.0011807172559201717,51.286062208605784,212.93384485460382,0.69999808138554,0.6999979791423174,,,,,24.286955007339195
1,I3,optimal,3.8563200999997207,142231.16417679228,2.693225662255291e-07,0.0014200216392055154,90.74610645573215,275.41830859375386,4.360271231919445,1.3077659637175234,,,,,146.85588201027386
1,I2,optimal,13.36870810000255,1412.7510570907125,2.4131302934234177e-07,0.0008184617618098855,48.341729149279764,144.8954355898639,0.6999984937199212,0.6999984110857783,,,,,28.49310047363776
2,I1,optimal,5.3509860999984085,158.19659688200073,1.049714573616976e-06,0.00023692991817370057,14.502535592150336,65.29668284694692,0.6999985664078803,0.699998237556257,,,,,8.547946790637642
2,I4,optimal,3.2534783000010066,214071.597446323,3.18797078497499e-05,0.0015617348835803568,61.81107039229374,267.16121622701496,0.699998778205056,0.6999977962875631,,,,,18.199597092545503
2,I3,optimal,4.480876200002967,142030.40795699524,1.115908277016076e-05,0.0009230728610418737,67.2702477179185,180.976939898529,0.6999982725852193,0.6999980828380058,,,,,18.09184070615186
2,I2,optimal,96.79001270000299,3758.004213002681,1.52618710057143e-07,0.021601649117656052,41.37768145771561,110.57619825998233,0.7,0.7,,,,,6.784903143263307
3,I1,optimal,2.387413900003594,2090.513468225952,7.213340284683332e-06,0.0003072101389989257,12.413319115584752,54.999571256070844,0.6643757443290546,0.6643757583013852,,,,,2.0354867603379017
3,I4,optimal,5.609210599999642,213947.35199773317,1.4937766463904986e-05,0.0016390399541705847,68.81408363539829,300.3705412618243,0.6643820876494713,0.6643840499293094,,,,,10.953421901077185
3,I3,optimal,3.581828200003656,141923.58560868917,0.00010132096610965367,0.0013085812097415328,58.11927899923298,153.19981356616532,0.6999978785283953,0.6999973944357183,,,,,9.159137562665503
3,I2,optimal,4.744416099994851,3389.6024220800064,5.230891741549338e-06,0.00029050320154055953,39.59501659106454,93.89560712801402,0.6643787307134226,0.6643782490149026,,,,,1.5975516227680657
4,I1,optimal,3.2272301000048174,1975.8649243318164,1.7573097042487651e-07,0.00030865310691297054,11.87852225887443,49.995417910018,0.19931379689881173,0.19931373589818419,,,,,0.4792615140164429
4,I4,optimal,4.716476800000237,213656.599439331,1.9926065785094486e-07,0.001653962885029614,71.83166218713276,316.1100144629494,0.1993123205885255,0.19931263431641047,,,,,4.5955583890328455
4,I3,optimal,3.688066599999729,141858.39207140886,4.0471696324739445e-06,0.0017531142220832407,54.88390880065801,149.30236342129052,0.6999999267754632,0.6999999259346027,,,,,3.7561269372572
4,I2,optimal,3.5133503999968525,2986.5920433783576,5.596310412521178e-06,0.0002915009390562773,38.82820114009936,82.09751955256948,0.061072116059358084,0.1251090575656828,,,,,1.0082047641511807
5,I1,optimal,3.0187508999952115,1850.413869297937,3.1386059811705237e-06,0.0003099189489148557,11.648492139557355,46.45604476930032,0.01830752085856728,0.07030182945756142,,,,,0.3024608549407244
5,I4,optimal,5.199358900004881,213575.88268092202,1.9498561777436206e-07,0.0016551074804738164,74.59189375311962,329.5791475125636,0.0385485577639841,0.04266675399033482,,,,,3.951020033591732
5,I3,optimal,3.0233893999975407,141716.18201917186,2.891687328167489e-06,0.0014065405121073127,55.274783947426776,151.55117492104543,0.3141058638639095,0.6248223794401635,,,,,0.8655130226929373
5,I2,optimal,4.0554510000001756,2262.6930307763405,8.6320953784995e-08,0.0006312112091109157,32.121343420622914,65.5750230442878,0.17371944414410354,0.2023448904594547,,,,,9.580510967915725
6,I1,optimal,4.028925400001754,1849.9802995210407,2.969751108763678e-07,0.0003101311740465462,13.925834587389918,45.513938454694866,0.19665168794310292,0.02033165649669617,,,,,3.2535657988145807
6,I4,optimal,3.816800200002035,213767.53152406437,1.898474100872582e-07,0.0016415391582995653,77.3488424493018,342.9116101542908,0.03700076864606226,0.040472935150451,,,,,3.9385707440895743
6,I3,optimal,3.7875840999986394,141822.8717097184,1.2882442135296558e-05,0.0013199844979681075,55.54531035257598,154.41344354419107,0.3602312065195334,0.36023138574826996,,,,,1.341710407825179
6,I2,optimal,3.1898723999984213,1509.5745974160873,7.987560487575809e-07,0.0006323837442323565,23.297372666346753,46.99444721493893,0.2761062142461775,0.28477779049565466,,,,,12.581834135088027
7,I1,optimal,4.030893600000127,1933.8332761706754,2.147977099854036e-07,0.00030955346301198006,18.62378607204717,46.814601710208386,0.3393461260537218,0.02888201136177431,,,,,6.7185038302835025
7,I4,optimal,4.98480379999819,213403.11693850154,1.912145398770581e-07,0.0016823625774122775,80.67430539470345,356.2389525833312,0.042841078798561694,0.03879479567433336,,,,,4.728978954354318
7,I3,optimal,3.9505452000012156,141808.90843299348,1.9048536177772216e-07,0.0013154104235582054,55.62391985482873,157.439951506126,0.44641348664258024,0.4464135404107704,,,,,1.655369916191475
7,I2,optimal,2.6805710999979055,735.3059261970288,2.7994851386026156e-07,0.00023379753110930324,22.31103392748209,44.741984170460896,0.04277393757489532,0.04841327727020192,,,,,1.410983236558998
8,I1,optimal,3.2744754000013927,1247.4614752649838,3.598689113850105e-07,0.0008726792875677347,16.336523998684317,35.54315809435472,0.12324635993043137,0.2414245415904202,,,,,3.2681095087094967
8,I4,optimal,3.739307199997711,213337.5837490596,1.2526079064624406e-06,0.0016580327646806836,84.2234565932903,366.9051248735903,0.04404396020631122,0.02995636247404044,,,,,5.070041038016598
8,I3,optimal,5.344735099999525,141753.43676793334,2.6932237891534507e-07,0.0014142775908112526,54.43923606232102,150.02749468338266,6.528438762446533,6.528438778574673,,,,,25.042899256421403
8,I2,optimal,5.482700199994724,1501.01360260833,2.2242293473281914e-07,0.0004935404285788536,20.28030119737152,40.59657831072331,0.0918109345419976,0.09345625231427356,,,,,2.899022229681208
9,I1,optimal,2.8039863999947556,1464.5359397539676,2.5057945108093446e-06,0.0002738023758865893,17.404238776746244,35.86887692845811,0.06564048558485096,0.00922612496747618,,,,,1.5260608889424567
9,I4,optimal,4.588772000002791,213343.04002157526,2.3626967137621573e-07,0.0016420632600784302,84.54378722675462,369.72952971531356,0.0037914276114270093,0.007694471248736901,,,,,0.4556660445565228
9,I3,optimal,3.0927131999997073,141746.0940285379,2.6932145749454174e-07,0.0014138211263343692,54.533718769463825,148.50048016396858,0.69998735890608,0.6999872582607767,,,,,7.512898966071737
9,I2,optimal,3.5344490999996196,1518.7848474023199,4.2579086824161366e-06,0.0004933791933581233,19.830949902231858,39.67269383457513,0.02237707351765723,0.022983714574574394,,,,,0.6417068789695506
10,I1,optimal,30.6761445000011,1468.807582753067,2.58478827585309e-07,0.013405026867985725,17.747610748512233,36.039272507443016,0.019810943483532396,0.0047779790022427085,,,,,0.49081287623221215
10,I4,optimal,6.021038200000476,213348.5727172928,6.1627002937467176e-06,0.0016515390016138554,84.64675163417438,369.93042424307146,0.0012147726772363094,0.0005415815211519233,,,,,0.14654884366733256
10,I3,optimal,3.3869183999995585,141742.34595917648,1.8459785863157586e-07,0.001701327448245138,54.56416505594383,148.429155427263,0.6999994396498577,0.699999158656947,,,,,2.2540035611705247
10,I2,optimal,80.70261570000002,1530.8784479428923,2.655822430638171e-07,0.008297311956994236,19.80492432271176,39.61308780559343,0.0013255238507303092,0.0015175843810718251,,,,,0.03716142254659616
11,I1,optimal,4.0128851999979815,1466.867410240341,2.343609478529365e-06,0.000237931904848665,17.77511148057648,36.0540440192371,0.001556248391938063,0.00041246620240404383,,,,,0.03931962546809231
11,I4,optimal,5.162678699998651,213348.7333328705,2.659733414054872e-07,0.001651322701945901,84.65499213195986,369.9799145935189,0.00010153350056847643,0.00013330379040937994,,,,,0.011627091835592296
11,I3,optimal,5.040721500001382,141742.8086757745,2.6984001542710635e-07,0.0014151689247228205,54.566432236611384,148.40438009153988,0.4733290202211009,0.4736776943216614,,,,,0.6761843146015727
11,I2,optimal,3.024560699996073,1530.971158455284,6.326844213034081e-07,0.0002400281373411417,19.79792273097434,39.596818231335,0.0003566226025415062,0.00041440835976623076,,,,,0.009984759288759193
12,I1,optimal,2.3748008999973536,1466.750471930947,1.8650906820797346e-06,0.00018881220603361726,17.780754685561316,36.05645167655461,0.0003186193424942343,6.701312196846995e-05,,,,,0.008062652432645478
12,I4,optimal,4.288024699999369,213348.74355162142,1.1158704690938895e-06,0.0016516587347723544,84.65665070446923,369.99401086828533,1.9679530761160624e-05,3.814978871757282e-05,,,,,0.0023772298387285673
12,I3,optimal,3.775623199995607,141742.8132056117,9.808382527879596e-06,0.0014152370858937502,54.566968136956426,148.39692505481437,0.14195688707129664,0.14206165075362864,,,,,0.2027955529589952
12,I2,optimal,5.484875500005728,1530.9654188554248,2.47214105903969e-06,0.00023058237275108695,19.79577935721567,39.59185156659279,0.00010876888528960112,0.0001261179432048922,,,,,0.0030442373162458125
13,I1,optimal,26.81149049999658,1466.749177781094,2.6901775081741035e-07,0.005194257362745702,17.78236082348436,36.05703853950549,9.582952766033519e-05,7.043202874695273e-05,,,,,0.0024257358211947633
13,I4,optimal,3.3127257999949506,213348.7269933341,6.965442228016185e-07,0.0016482443315908313,84.65717273123963,369.9983201596247,1.3061520608065313e-05,1.306152380615988e-05,,,,,0.0007270932139817887
13,I3,optimal,3.4232568000006722,141742.8150855779,1.5469304756476945e-05,0.001415063044987619,54.567106542335786,148.39462313601973,0.04263641190208073,0.04266794933836454,,,,,0.06090915986011533
