hour,node,demand_mw,generation_mw,p_charge_mw,p_discharge_mw,storage_net_injection_mw,load_shed_mw,net_injection_mw,lambda_eur_per_mwh
1,N1,0.0,364.5000031605593,1.5713122711287083e-07,2.1413531756543456e-07,5.700409045256373e-08,0.0,364.5000032175633,67.15000053372457
1,N2,0.0,0,4.5938784052948293e-07,4.0503121106722627e-07,-5.4356629462256656e-08,0.0,-5.4356629462256875e-08,67.15000064949614
1,N3,0.0,61.53773349151987,2.2789500928589614e-07,1.2438606537045183,1.243860425809509,0.0,62.78159391732938,67.15000062441612
1,N4,0.0,0,1.571311563888093e-07,2.1413465671161533e-07,5.700350032280604e-08,0.0,5.7003500322814134e-08,67.15000061781092
1,N5,371.25,1.0240319622369336e-07,1.687498960946984e-07,1.9375678684338554e-07,2.5006890748687133e-08,0.0,-371.2499998725899,67.15000065119534
1,N6,35.64,0,4.835272187585059e-07,0.11417233502597805,0.11417185149875929,0.0,-35.52582814850124,67.15000062550362
1,N7,0.0,0,4.593851806399585e-07,4.05027892454374e-07,-5.4357288185584496e-08,0.0,-5.435728818558988e-08,67.15000064949614
1,N8,39.6,0,4.834325678233285e-07,19.09363445863074,19.093633975198173,0.0,-20.506366024801828,67.15000064045203
1,N9,0.0,0,2.2790399532459436e-07,0.0005971906147294178,0.0005969627107340931,0.0,0.0005969627107340931,67.15000062695003
2,N1,0.0,368.4375031999343,1.5712859915216225e-07,2.1414080007728916e-07,5.7012200925126915e-08,0.0,368.4375032569465,67.15000048718125
2,N2,0.0,0,4.5940524811043894e-07,4.0501603969682244e-07,-5.438920841361652e-08,0.0,-5.4389208413619143e-08,67.15000061231643
2,N3,0.0,38.63420632058222,2.278933419195088e-07,1.228350231857114,1.228350003963772,0.0,39.86255632454599,67.1500005931035
2,N4,0.0,0,1.5712852808959707e-07,2.1414013986458316e-07,5.70116117749861e-08,0.0,5.70116117749823e-08,67.15000058228941
2,N5,354.375,1.0240319606840685e-07,1.687521571876071e-07,1.93753421290411e-07,2.5001264102803917e-08,0.0,-354.37499987259554,67.15000061317234
2,N6,34.02,0,4.835273522751228e-07,0.1139147477436401,0.11391426421628784,0.0,-33.90608573578372,67.15000059175838
2,N7,0.0,0,4.5940258831004695e-07,4.0501272098868366e-07,-5.438986732136326e-08,0.0,-5.4389867321363585e-08,67.15000061231643
2,N8,37.8,0,4.834325684894137e-07,17.78042953178059,17.780429048348022,0.0,-20.01957095165197,67.15000060542917
2,N9,0.0,0,2.2790233118279438e-07,0.000597258208553868,0.0005970303062226853,0.0,0.0005970303062226853,67.15000059469283
3,N1,0.0,372.37500323930925,1.5706470452460646e-07,2.1427382355557346e-07,5.7209119030966996e-08,0.0,372.3750032965184,67.15000041415851
3,N2,0.0,0,4.5942461004465654e-07,4.0499915739302366e-07,-5.442545265163286e-08,0.0,-5.442545265162831e-08,67.15000055284844
3,N3,0.0,22.982867375892273,2.278263162879163e-07,1.2100567081579943,1.210056480331678,0.0,24.19292385622395,67.15000053740394
3,N4,0.0,0,1.5706462858921924e-07,2.1427317278418653e-07,5.72085441949673e-08,0.0,5.7208544194964505e-08,67.15000052342423
3,N5,343.125,1.024031958225056e-07,1.6871165262338217e-07,1.9381402554346317e-07,2.5102372920080997e-08,0.0,-343.1249998724944,67.15000055309002
3,N6,32.94,0,4.835268608593876e-07,0.11424056273096689,0.11424007920410602,0.0,-32.825759920795896,67.15000053431301
3,N7,0.0,0,4.59421950242519e-07,4.049958386707172e-07,-5.442611157180184e-08,0.0,-5.4426111571795454e-08,67.15000055284844
3,N8,36.6,0,4.83432569154901e-07,15.982231552917469,15.9822310694849,0.0,-20.6177689305151,67.15000054744647
3,N9,0.0,0,2.2783532971623762e-07,0.0006018505414245963,0.00060162270609488,0.0,0.00060162270609488,67.15000053836683
4,N1,0.0,375.00000326555926,1.5693945295405424e-07,2.1453519375634896e-07,5.759574080229472e-08,0.0,375.000003323155,67.15000033131057
