hour,lambda_system,system_net_injection_residual_mw
1,67.15000053355232,4.935536668330909e-14
2,67.15000048695107,1.0089471978262643e-13
3,67.15000041384398,-2.46710441849174e-14
4,67.15000033092615,5.18490695053408e-14
5,67.15000043673787,-4.738396618765277e-14
6,67.1500005412176,1.4372759788966078e-14
7,67.15000060762272,-1.5603204244585511e-15
8,67.15000062601302,2.8593472002292986e-14
9,67.15000058269108,3.633353088116017e-15
10,60.00000066380009,-2.081857271277643e-15
11,60.00000058112366,-8.49218051383222e-15
12,60.00000055910426,7.321195750142366e-14
13,60.00000051220714,-4.133250155574338e-15
14,60.0000004617827,1.4407709566127317e-14
15,60.00000045219673,-1.221981539008668e-14
16,60.000000552569965,2.897276749301728e-14
17,60.0000006134256,-4.748448618154184e-14
18,67.15000053409781,6.272070835261896e-14
19,67.15000035732625,1.4050227734084253e-13
20,67.15000041711612,-1.4497251424067374e-13
21,67.15000061134796,1.8411644842770676e-14
22,67.15000060553923,2.2317918041158782e-15
23,67.15000057442496,-4.86920335697392e-14
24,67.15000054995782,-4.601882515648008e-15
