hour,node,lambda_joint_eur_per_mwh
1,N1,67.14999962856548
1,N2,67.14999996467485
1,N3,67.1499998920591
1,N4,67.1499998727561
1,N5,67.14999996962942
1,N6,67.1499998951323
1,N7,67.14999996467485
1,N8,67.14999993837428
1,N9,67.14999989937307
2,N1,67.14999949311608
2,N2,67.14999985643642
2,N3,67.14999980083094
2,N4,67.14999976931448
2,N5,67.14999985893732
2,N6,67.14999979684785
2,N7,67.14999985643642
2,N8,67.14999983640475
2,N9,67.1499998054054
3,N1,67.14999928032162
3,N2,67.14999968301686
3,N3,67.1499996383372
3,N4,67.14999959763422
3,N5,67.14999968373083
3,N6,67.14999962928998
3,N7,67.14999968301686
3,N8,67.14999966730215
3,N9,67.14999964109516
4,N1,67.14999903859328
4,N2,67.14999947561358
4,N3,67.14999943623737
4,N4,67.14999939049942
4,N5,67.14999947534251
4,N6,67.1499994245183
4,N7,67.14999947561358
4,N8,67.14999946219582
4,N9,67.1499994381068
5,N1,67.1499993471089
5,N2,67.14999975107703
5,N3,67.1499997026718
5,N4,67.1499996644215
5,N5,67.14999975277071
5,N6,67.14999969493218
5,N7,67.14999975107703
5,N8,67.14999973344213
5,N9,67.14999970594404
6,N1,67.1499996508395
6,N2,67.14999999072411
6,N3,67.1499999102647
6,N4,67.14999989503013
6,N5,67.14999999769498
6,N6,67.14999991564558
6,N7,67.14999999072411
6,N8,67.14999995997303
6,N9,67.14999991856568
7,N1,67.14999984349365
7,N2,67.15000015551882
7,N3,67.14999999654908
7,N4,67.15000001835418
7,N5,67.15000017462651
7,N6,67.15000002405374
7,N7,67.15000015551882
7,N8,67.15000008898326
7,N9,67.15000001508423
8,N1,67.14999989696298
8,N2,67.1500002422062
8,N3,67.15000000904453
8,N4,67.15000003187005
8,N5,67.15000028334372
8,N6,67.15000003174146
8,N7,67.1500002422062
8,N8,67.150000109031
8,N9,67.15000003011806
9,N1,67.14999977089286
9,N2,67.15000009607853
9,N3,67.14999987395714
9,N4,67.14999987977032
9,N5,67.15000013696462
9,N6,67.14999987106386
9,N7,67.15000009607853
9,N8,67.14999990775844
9,N9,67.1499998805411
10,N1,60.00000021405265
10,N2,60.00000042298464
10,N3,60.00000023779025
10,N4,60.00000027643472
10,N5,60.000000442915585
10,N6,60.00000024018236
10,N7,60.00000042298464
10,N8,60.000000235922286
10,N9,60.00000023779025
11,N1,59.99999997423331
11,N2,74.17298642463638
11,N3,44.90519319897084
11,N4,59.99999999396798
11,N5,64.89717016069974
11,N6,54.69953339940051
11,N7,74.17298642463638
11,N8,39.097725592090065
11,N9,44.905193198970835
12,N1,59.99999991034502
12,N2,74.17299015035834
12,N3,44.905188801667244
12,N4,59.99999992306324
12,N5,64.89717139601308
12,N6,54.69953162790429
12,N7,74.17299015035834
12,N8,39.09771963939078
12,N9,44.90518880166724
13,N1,59.999999763966294
13,N2,74.30775463516567
13,N3,44.75913151517789
13,N4,59.999999772485225
13,N5,64.94373625706525
13,N6,54.64660437649112
13,N7,74.30775463516567
13,N8,38.896441719367196
13,N9,44.75913151485715
14,N1,59.99999962811358
14,N2,75.10988439873378
14,N3,6.794100530685267
14,N4,59.99999963593153
14,N5,65.22089482379184
14,N6,17.235890800070532
14,N7,75.10988439873378
14,N8,0.6027331070449649
14,N9,6.794100528149189
15,N1,59.99999959989001
15,N2,74.17298978391173
15,N3,44.90518756253041
15,N4,59.9999996085118
15,N5,64.89717105682251
15,N6,54.69953036022488
15,N7,74.17298978391173
15,N8,39.09771841708152
15,N9,44.9051875625304
16,N1,59.99999989138285
16,N2,74.17298788238696
16,N3,44.905191402141135
16,N4,59.99999990640255
16,N5,64.89717059902613
16,N6,54.699532679523074
16,N7,74.17298788238696
16,N8,39.09772315647051
16,N9,44.90519140214113
17,N1,60.00000006794451
17,N2,60.00000025164964
17,N3,60.000000052072224
17,N4,60.00000011887477
17,N5,60.00000026061936
17,N6,60.00000006905398
17,N7,60.00000025164964
17,N8,60.00000004073388
17,N9,60.000000052072224
18,N1,67.14999963029541
18,N2,67.15000010854494
18,N3,67.14999986342387
18,N4,67.14999978685202
18,N5,67.15000019362563
18,N6,67.14999980843511
18,N7,67.15000010854494
18,N8,67.1499999277139
18,N9,67.14999986963313
19,N1,67.14999912844156
19,N2,67.15000099435821
19,N3,67.15000006116762
19,N4,67.1499993033021
19,N5,67.15000154210166
19,N6,67.14999958170554
19,N7,67.15000099435821
19,N8,67.15000051629141
19,N9,67.15000009291253
20,N1,67.14999929907533
20,N2,67.15000104988319
20,N3,67.150000141852
20,N4,67.14999949664893
20,N5,67.15000153772915
20,N6,67.14999974431824
20,N7,67.15000104988319
20,N8,67.15000063457086
20,N9,67.15000018481467
21,N1,67.14999985464368
21,N2,67.15000061282055
21,N3,67.15000013377325
21,N4,67.15000006575993
21,N5,67.15000073301103
21,N6,67.15000011082407
21,N7,67.15000061282055
21,N8,67.15000043941093
21,N9,67.15000017585626
22,N1,67.14999983737364
22,N2,67.15000027924523
22,N3,67.15000003915058
22,N4,67.15000006389143
22,N5,67.1500003107649
22,N6,67.1500000720917
22,N7,67.15000027924523
22,N8,67.15000019711471
22,N9,67.15000006654685
23,N1,67.1499997472239
23,N2,67.15000012179
23,N3,67.1499999839664
23,N4,67.14999999141452
23,N5,67.15000013673192
23,N6,67.1500000040037
23,N7,67.15000012179
23,N8,67.15000007301938
23,N9,67.15000000017874
24,N1,67.1499996762361
24,N2,67.15000003438442
24,N3,67.1499999394945
24,N4,67.14999993027841
24,N5,67.15000004303086
24,N6,67.14999994878734
24,N7,67.15000003438442
24,N8,67.15000000026953
24,N9,67.14999994996519
