unit,hour,node,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_joint_eur_per_mwh,spot_revenue_eur
I4,1,N1,0.0,0.0,0.0,67.14999962856548,0.0
I4,1,N2,0.0,0.0,0.0,67.14999996467485,0.0
I4,1,N3,0.0,0.0,0.0,67.1499998920591,0.0
I4,1,N4,0.0,0.0,0.0,67.1499998727561,0.0
I4,1,N5,0.0,0.0,0.0,67.14999996962942,0.0
I4,1,N6,3.9644248495660754e-07,0.00029528529688870855,0.00029488885440375194,67.1499998951323,0.019801786542287626
I4,1,N7,0.0,0.0,0.0,67.14999996467485,0.0
I4,1,N8,3.960095881662957e-07,6.552401451418858,6.552401055409271,67.14999993837428,439.9937304669361
I4,1,N9,0.0,0.0,0.0,67.14999989937307,0.0
I4,2,N1,0.0,0.0,0.0,67.14999949311608,0.0
I4,2,N2,0.0,0.0,0.0,67.14999985643642,0.0
I4,2,N3,0.0,0.0,0.0,67.14999980083094,0.0
I4,2,N4,0.0,0.0,0.0,67.14999976931448,0.0
I4,2,N5,0.0,0.0,0.0,67.14999985893732,0.0
I4,2,N6,3.9644309344161504e-07,0.00029492368547842,0.0002945272423849784,67.14999979684785,0.01977750426631746
I4,2,N7,0.0,0.0,0.0,67.14999985643642,0.0
I4,2,N8,3.960095896961304e-07,6.201545523310972,6.201545127301382,67.14999983640475,416.43375428374446
I4,2,N9,0.0,0.0,0.0,67.1499998054054,0.0
I4,3,N1,0.0,0.0,0.0,67.14999928032162,0.0
I4,3,N2,0.0,0.0,0.0,67.14999968301686,0.0
I4,3,N3,0.0,0.0,0.0,67.1499996383372,0.0
I4,3,N4,0.0,0.0,0.0,67.14999959763422,0.0
I4,3,N5,0.0,0.0,0.0,67.14999968373083,0.0
I4,3,N6,3.964408168267617e-07,0.00029642541471616544,0.00029602897389933866,67.14999962928998,0.019878345487599685
I4,3,N7,0.0,0.0,0.0,67.14999968301686,0.0
I4,3,N8,3.960095921501809e-07,5.710454505592274,5.710454109582682,67.14999966730215,383.4569915586213
I4,3,N9,0.0,0.0,0.0,67.14999964109516,0.0
I4,4,N1,0.0,0.0,0.0,67.14999903859328,0.0
