hour,node,p_charge_mw,p_discharge_mw,soc_mwh,lambda_eur_per_mwh
1,N1,2.527746596059746e-07,3.5121942929637353e-07,2.6488437852019518e-05,67.14999990785083
1,N2,3.973340163790587e-07,2.221174709783874e-07,2.6577629987575344e-05,67.15000000283632
1,N3,1.524038235536567e-07,6.92671973910722,84.85115374551661,67.14999996880758
1,N4,2.527704775514655e-07,3.5121794461869335e-07,2.648843599865084e-05,67.14999996848658
1,N5,2.8469874328458147e-07,2.9871432776707985e-07,2.6475449676255657e-05,67.15000000425147
1,N6,2.0564606934877227e-07,5.400421294350839e-07,2.6618542934016584e-05,67.14999997424175
1,N7,3.973277660413927e-07,2.221196613044441e-07,2.6577737273925206e-05,67.15000000283632
1,N8,1.5240382685695866e-07,14.94217108118147,192.9470153233147,67.14999999104688
1,N9,1.5240382360129991e-07,6.910012037169321,84.99848340123357,67.14999997260246
2,N1,2.5277672958015813e-07,3.5123117823631477e-07,2.6349789885611333e-05,67.14999987373437
2,N2,3.97319111268196e-07,2.2212030904519878e-07,2.671221265323819e-05,67.14999997181921
2,N3,1.5240382294279718e-07,6.6733149087717605,77.72154394289761,67.14999994488318
2,N4,2.527721342914733e-07,3.512283058365383e-07,2.6349786799855636e-05,67.14999993939921
2,N5,2.847025408841277e-07,2.987209167260805e-07,2.64227849759697e-05,67.14999997255103
2,N6,2.0564595373529985e-07,5.400632664986791e-07,2.623403687737663e-05,67.14999994718713
2,N7,3.9731287703397927e-07,2.221224977126138e-07,2.6712311766024934e-05,67.14999997181921
2,N8,1.5240382611057438e-07,13.716931090722282,178.29217455707334,67.14999996253604
2,N9,1.5240382297346596e-07,6.648240293154615,77.89566271786367,67.1499999475467
3,N1,2.5275416333929524e-07,3.5130096091406636e-07,2.621104624305881e-05,67.1499998308968
3,N2,3.973621768406257e-07,2.2210117427274343e-07,2.684685607140978e-05,67.14999993403818
3,N3,1.524038221213119e-07,6.414165433225186,70.86880323808478,67.14999991168659
3,N4,2.527491013261827e-07,3.51296418808548e-07,2.6211043271935663e-05,67.14999990241772
3,N5,2.8469521183093503e-07,2.987443466441877e-07,2.6370088383726153e-05,67.14999993424692
3,N6,2.0559885431969518e-07,5.404412138236041e-07,2.584908294580661e-05,67.14999991178684
3,N7,3.9735595404688094e-07,2.221033626485916e-07,2.684694702165319e-05,67.14999993403816
3,N8,1.5240382510422014e-07,12.451232410527451,164.9895759705273,67.14999992645642
3,N9,1.524038221408838e-07,6.385176628463459,71.0738929583091,67.1499999135912
4,N1,2.5270572789824366e-07,3.5142511333718325e-07,2.6072124623455775e-05,67.14999979211471
4,N2,3.974652866159113e-07,2.2206027742916482e-07,2.698163969354e-05,67.14999989950815
4,N3,1.5240382140472429e-07,6.261671169766344,64.17898375491602,67.14999987945657
4,N4,2.5270032775891267e-07,3.5141924186772983e-07,2.607212287073966e-05,67.14999986810645
4,N5,2.8467521946916927e-07,2.987826337235579e-07,2.631733217363267e-05,67.14999989942443
4,N6,2.0550446772940568e-07,5.411718749398661e-07,2.5463260047537377e-05,67.14999987838002
4,N7,3.97459067566328e-07,2.2206246651736467e-07,2.698172248398356e-05,67.14999989950815
4,N8,1.5240382419311561e-07,11.565624626053193,152.63313954688115,67.14999989281398
4,N9,1.5240382141836837e-07,6.231359453120999,64.41645778779562,67.14999988097154
5,N1,2.526234548566046e-07,3.515777332308141e-07,2.593296294084385e-05,67.1499998422367
5,N2,3.976442882142728e-07,2.2199934344447922e-07,2.711665596157728e-05,67.14999994591197
5,N3,1.524038230442734e-07,7.092176377992644,56.60187238261659,67.14999992196175
5,N4,2.5261837798601066e-07,3.515731721802918e-07,2.593296130909408e-05,67.14999991375761
5,N5,2.846310908012321e-07,2.988200558932191e-07,2.6264494678155515e-05,67.14999994642676
5,N6,2.0536094411673227e-07,5.422108376801182e-07,2.507619280823906e-05,67.14999992266601
5,N7,3.9763804089246096e-07,2.2200153131421926e-07,2.7116730567059948e-05,67.14999994591197
5,N8,1.5240382595135804e-07,14.11577165414604,137.55218706758026,67.14999993758815
5,N9,1.524038230658483e-07,7.062068391054781,56.871513068207584,67.14999992407478
6,N1,2.525138209885128e-07,3.5178076872752144e-07,2.5793481722665676e-05,67.14999991379501
6,N2,3.978868304430426e-07,2.219169140422814e-07,2.725198731474133e-05,67.15000001024274
6,N3,1.5240382508067824e-07,8.522947568030602,47.496159311558664,67.14999997287612
6,N4,2.525096328063333e-07,3.517792366511005e-07,2.579347780761117e-05,67.14999997443077
6,N5,2.8457229751976957e-07,2.988699412122984e-07,2.6211548855885833e-05,67.1500000122775
6,N6,2.0516969333829421e-07,5.436079525303917e-07,2.4687453914141313e-05,67.14999997942495
6,N7,3.9788054224685025e-07,2.219191012116594e-07,2.725205369775294e-05,67.15000001024274
6,N8,1.5240382816662975e-07,19.6720127658571,116.5350795544,67.14999999667629
6,N9,1.5240382513850216e-07,8.517989472658327,47.77109710759013,67.14999997704427
7,N1,2.523798357811206e-07,3.5204404884418865e-07,2.5653593812157455e-05,67.14999997552175
7,N2,3.9818927063706597e-07,2.218125267673123e-07,2.7387713276793404e-05,67.15000007395433
