hour,node,p_charge_mw,p_discharge_mw,soc_mwh,lambda_eur_per_mwh
1,N1,1.071118490996934e-06,1.7181817867146117e-07,38.042676523663005,54.99999993779328
1,N2,1.0711185078294321e-06,1.7181817804879184e-07,34.40537468765575,54.9999998950086
1,N3,1.0711184915584834e-06,1.7181817859249597e-07,37.04297373413429,54.99999995518764
1,N4,1.071118483147358e-06,1.7181817874419674e-07,35.6994148814885,55.000000025930476
1,N5,1.0711184773148006e-06,1.718181789015032e-07,34.578676852962964,55.00000009982845
1,N6,1.0711184744136446e-06,1.718181794372881e-07,42.716332012778,55.00000002718793
1,N7,1.0711184795880967e-06,1.7181817984800656e-07,48.77308328206527,55.00000003104792
1,N8,1.0711184306063997e-06,1.7181818191508085e-07,140.18120766571954,55.00000008881405
1,N9,1.0711184595051206e-06,1.7181817880589687e-07,32.22930363446914,55.00000014272495
2,N1,1.0711185014170033e-06,1.7181817840554497e-07,38.042677342663495,54.99999988297872
2,N2,1.0711185204261392e-06,1.718181777228299e-07,34.40537550665626,54.99999983224245
2,N3,1.0711185013975753e-06,1.718181783438249e-07,37.042974553134776,54.999999901547916
2,N4,1.0711184879499765e-06,1.7181817864092793e-07,35.69941570048898,54.99999998566091
2,N5,1.0711184780898578e-06,1.7181817891525266e-07,34.578677671963426,55.00000006967301
2,N6,1.0711184810861348e-06,1.7181817927613737e-07,42.716332831778466,54.99999998498712
2,N7,1.071118487175075e-06,1.7181817965778524e-07,48.77308410106575,54.99999998849528
2,N8,1.0711184378223518e-06,1.718181817248231e-07,140.18120848471997,55.00000005560714
2,N9,1.0711184569926975e-06,1.7181817891651058e-07,32.22930445346958,55.00000011977654
3,N1,1.0711185175813794e-06,1.7181817797716322e-07,38.042678161664,54.99999981029299
3,N2,1.0711185415534787e-06,1.718181771555965e-07,34.40537632565679,54.9999997429365
3,N3,1.071118517360007e-06,1.718181779219677e-07,37.04297537213528,54.99999982885776
3,N4,1.0711184956330892e-06,1.718181784561899e-07,35.69941651948946,54.999999936429774
3,N5,1.071118478181436e-06,1.7181817894833308e-07,34.578678490963895,55.000000041643986
3,N6,1.0711184903189275e-06,1.7181817904257386e-07,42.71633365077894,54.99999993482091
3,N7,1.0711184974299553e-06,1.718181793921076e-07,48.77308492006623,54.999999937642485
3,N8,1.0711184448576734e-06,1.718181815396748e-07,140.1812093037204,55.000000022962226
3,N9,1.0711184513290178e-06,1.7181817911625175e-07,32.22930527247002,55.00000010663214
4,N1,1.0711185500099636e-06,1.7181817708878728e-07,38.04267898066453,54.99999968700778
4,N2,1.0711185800994373e-06,1.71818176095719e-07,34.40537714465735,54.99999959943956
4,N3,1.0711185499853505e-06,1.7181817702883937e-07,37.042976191135814,54.999999704327635
4,N4,1.071118519008129e-06,1.7181817782763932e-07,35.699417338489965,54.9999998383791
4,N5,1.0711184925960318e-06,1.718181785763142e-07,34.57867930996437,54.99999996905387
4,N6,1.0711185149389204e-06,1.718181783738182e-07,42.71633446977944,54.99999983678342
4,N7,1.0711185231156225e-06,1.7181817869000373e-07,48.77308573906674,54.99999983878266
4,N8,1.0711184663013668e-06,1.7181818094702167e-07,140.18121012272084,54.9999999454917
4,N9,1.071118459033089e-06,1.7181817893791275e-07,32.22930609147047,55.000000051898766
5,N1,1.0711184981907334e-06,1.71818178583177e-07,38.04267979966502,54.99999982582815
5,N2,1.0711185233181843e-06,1.718181777319673e-07,34.40537796365786,54.999999752518114
