pv_scale,combined_pv_peak_mw,no_storage_curtailment_mwh,planner_power_mw,planner_energy_mwh,planner_curtailment_mwh,net_system_saving_eur_per_day,power_N3_mw,power_N6_mw,power_N8_mw,power_N9_mw
0.7,469.99574999999993,0.0,0.0006277796136041152,0.0012893342196912119,0.0,-0.012222948658745736,6.501682762944478e-05,0.00011034486880164354,6.462667671368132e-05,6.50168211476967e-05
0.72,483.4242,0.0,0.0006278983980163623,0.0012896094229812739,0.0,-0.012231090513523668,6.501508222687112e-05,0.00011048920394054351,6.462322477586121e-05,6.501508235486579e-05
0.74,496.85265000000004,12.232621141892539,12.232981387529788,24.46598911222383,0.0,398.3651214384008,0.00015848462162301171,12.232240525661801,0.0001012340327385358,0.0001584844896491168
0.75,503.566875,21.338409213633266,18.9472064461192,37.89443922053212,0.0,703.9187112682848,0.00015677594026831322,18.946469368939646,0.00010086675633580664,0.0001567759402471938
0.775,520.3524375,54.39568981322251,35.73276488616146,71.4655536377777,0.0,1806.4758257253561,5.150056307135633,21.67141769335529,3.7608887877581973,5.150079636390504
0.8,537.138,96.12297136615905,54.33669891112301,110.83685938508634,0.0,3125.7132105542696,0.004014135824326613,33.19580223664908,21.132544962899853,0.004014133171518784
0.825,553.9235625,144.5955644454159,70.94242305535931,148.73432804198603,0.0,4718.36720452382,9.728623769974597,31.651226172503424,19.833377280110593,9.728872380533197
0.85,570.709125,200.03097115483794,87.54813604121765,192.95235736323238,0.0,6550.173688934592,17.86369533623829,31.289613290889445,20.529291108252664,17.865212445458177
0.9,604.28025,326.09397016966597,120.75962779358011,305.2246868257548,0.0,10655.273973741394,26.088605665253024,36.55529357243687,32.02149165952321,26.09391433476435
1.0,671.4225,584.6099691191813,187.18249691280536,547.19566541065,0.0,19006.665715342795,42.18001250436607,47.34870479506812,55.447791341668264,42.20566573012766
