iteration,investor,node,x_power_mw,x_energy_mwh,proposed_x_power_mw,private_headroom_limit_mw,private_headroom_slack_mw,access_shadow_price_eur_per_mw_day,headroom_complementarity_residual_eur_per_day,headroom_mw
1,I1,N1,0.0,0.0,4.3280203439898193e-07,200.0,199.99999956719796,4.5363634416980586e-08,9.072726863762644e-06,200.0
1,I1,N2,0.0,0.0,4.27801942813524e-07,182.02596413553198,182.02596370773003,4.985201406144143e-08,9.074360902305184e-06,186.5194715756419
1,I1,N3,58.92258980522986,179.0761571466148,7.303067275599333e-07,78.56345283020424,78.56345209989752,1.1562331267806119e-07,9.083766587214333e-06,49.99999478297795
1,I1,N4,0.0,0.0,4.328922381431907e-07,200.0,199.99999956710775,4.53636344164776e-08,9.072726863657954e-06,200.0
1,I1,N5,0.0,0.0,4.280302861876515e-07,200.0,199.9999995719697,4.5363634440786196e-08,9.07272686874023e-06,200.0
1,I1,N6,0.0,0.0,5.768656086293367e-07,200.0,199.9999994231344,4.536363353003333e-08,9.072726679837945e-06,200.0
1,I1,N7,0.0,0.0,4.277784525105109e-07,182.02700324885942,182.02700282108097,4.98517289591138e-08,9.07436080787637e-06,186.52025091064127
1,I1,N8,17.836473601061538,92.19365098014283,8.83961781895358e-07,23.781964506761454,23.781963622799672,3.821697426443572e-07,9.088746917302815e-06,37.99623779831899
1,I1,N9,56.70639215059614,156.49692170723688,7.289807697751308e-07,75.60852262446792,75.60852189548716,1.2014565291324872e-07,9.084035228938966e-06,49.99999490569715
1,I2,N1,0.0,0.0,7.490911929447592e-06,200.0,199.99999250908806,-4.2563827653110997e-07,-8.512765211780314e-05,200.0
1,I2,N2,0.0,0.0,7.475569658088626e-06,182.02596413553198,182.02595665996233,-4.2670273195626365e-07,-7.767097299375838e-05,186.5194715756419
1,I2,N3,58.92157460436166,179.07902190616946,1.0086356986957717e-05,98.2029591353376,98.20294904898061,-7.872836394133275e-07,-7.731357512840303e-05,49.99999478297795
1,I2,N4,0.0,0.0,7.491078575195754e-06,200.0,199.99999250892142,-4.2557612247476487e-07,-8.51152213069288e-05,200.0
1,I2,N5,0.0,0.0,6.36281241153274e-06,200.0,199.9999936371876,-3.6406055782665286e-07,-7.281210924888154e-05,200.0
1,I2,N6,0.0,0.0,8.431509582310096e-06,200.0,199.99999156849043,-7.658911111543675e-07,-0.00015317821577325526,200.0
1,I2,N7,0.0,0.0,7.475562027447846e-06,182.02700324885942,182.0269957732974,-4.2670313337968613e-07,-7.767148945615687e-05,186.52025091064127
1,I2,N8,17.83647113038961,92.19363509315326,9.448325603805377e-06,29.727449263444186,29.727439815118583,-5.082865699363546e-07,-1.5110058416616045e-05,37.99623779831899
1,I2,N9,56.70728804477602,156.49451976157238,9.560387229171312e-06,94.51184468011073,94.5118351197235,-5.560342212281019e-07,-5.255181463763423e-05,49.99999490569715
1,I3,N1,0.0,0.0,2.254130939772926e-06,200.0,199.99999774586905,8.753739337163784e-08,1.7507478477006822e-05,200.0
1,I3,N2,13.480528424358114,26.9610577219605,6.104028434552953e-06,200.0,199.99999389597156,5.434121312595997e-07,0.00010868242293491684,186.5194715756419
1,I3,N3,27.511528973201038,55.023059507204486,6.987055317126187e-06,75.96342083289221,75.9634138458369,6.751382752844255e-07,5.128580820859537e-05,49.99999478297795
1,I3,N4,0.0,0.0,2.0641788660034697e-06,200.0,199.99999793582114,7.775495090010644e-08,1.5550990019521162e-05,200.0
1,I3,N5,0.0,0.0,2.4804401092121603e-06,200.0,199.99999751955988,9.840869945211004e-08,1.968173964632512e-05,200.0
1,I3,N6,0.0,0.0,2.202534391046419e-06,200.0,199.9999977974656,8.320831266633343e-08,1.6641662349997513e-05,200.0
1,I3,N7,13.479749089358721,26.959499051963505,6.1040131146350395e-06,200.0,199.99999389598688,5.434078272145986e-07,0.00010868156212595121,186.52025091064127
1,I3,N8,45.28915239899104,194.94344639929136,0.5372761123096377,72.0974226276061,71.56014651529645,3.240885516084344e-08,2.3191824237029785e-06,37.99623779831899
1,I3,N9,23.749327963348374,47.498657348615566,7.014466560033067e-06,69.47032491497703,69.47031790051047,7.42163463289217e-07,5.155833172884573e-05,49.99999490569715
1,I4,N1,0.0,0.0,1.5659610300921743e-06,200.0,199.99999843403896,1.0765436910179974e-07,2.15308736517774e-05,200.0
1,I4,N2,0.0,0.0,1.6000238929053257e-06,186.5194715756419,186.519469975618,1.2832592136668327e-07,2.3935282837446596e-05,186.5194715756419
1,I4,N3,4.6443118342294945,9.288625180013248,3.0643691758667065e-06,54.644306617207434,54.64430355283826,1.0184566096845148e-06,5.5652852134995136e-05,49.99999478297795
1,I4,N4,0.0,0.0,1.558430660275731e-06,200.0,199.99999844156935,1.0503123222733314e-07,2.1006246281782737e-05,200.0
1,I4,N5,0.0,0.0,1.5626732311532908e-06,200.0,199.99999843732678,1.0672814404357408e-07,2.1345628641933603e-05,200.0
1,I4,N6,0.0,0.0,1.3801575066759483e-06,200.0,199.9999986198425,5.943076231535824e-08,1.1886152381047836e-05,200.0
1,I4,N7,0.0,0.0,1.6000316082349507e-06,186.52025091064127,186.52024931060967,1.283277612463377e-07,2.3935726021139303e-05,186.52025091064127
1,I4,N8,81.04166507123881,295.6662230177357,47.47776236212702,119.03790286955781,71.56014050743079,1.2685761730726837e-07,9.077948918946008e-06,37.99623779831899
1,I4,N9,12.83699693558232,25.673995235717914,3.0733768286452658e-06,62.836991841279456,62.836988767902625,1.0317426415530647e-06,6.483160077863611e-05,49.99999490569715
2,I1,N1,0.0,0.0,5.138433307658577e-06,200.0,199.9999948615667,4.7912036044658857e-08,9.58240696273897e-06,200.0
2,I1,N2,0.0,0.0,5.145043891706748e-06,186.5194715756419,186.519466430598,5.125537219293506e-08,9.560124673127956e-06,189.88960276078086
2,I1,N3,44.19194374873915,134.3071213964702,5.579267008447404e-06,108.92258458820781,108.9225790089408,8.60149063897817e-08,9.368965437187644e-06,87.49999088291506
2,I1,N4,0.0,0.0,5.138299768850819e-06,200.0,199.99999486170023,4.791042418988396e-08,9.582084591798671e-06,200.0
2,I1,N5,0.0,0.0,5.154084319493745e-06,200.0,199.9999948459157,4.809943717523029e-08,9.619887187137503e-06,200.0
2,I1,N6,0.0,0.0,5.08913142312864e-06,200.0,199.99999491086857,4.724024182229364e-08,9.44804812404693e-06,200.0
2,I1,N7,0.0,0.0,5.145043891702608e-06,186.52025091064127,186.52024576559737,5.1255168544507314e-08,9.560126633678619e-06,189.8901872620352
2,I1,N8,13.37736382521055,69.14525607924784,3.4497657589839086e-05,55.83271139938054,55.832676901722955,1.7436653709606013e-07,9.735350528156615e-06,57.69694444993465
2,I1,N9,42.529795508726174,117.37269481931294,5.583116304449751e-06,106.70638705629328,106.70638147317698,8.776066659920545e-08,9.364623168475117e-06,87.49999144637655
2,I2,N1,0.0,0.0,4.087742847613776e-06,200.0,199.99999591225716,2.180638606575995e-07,4.361277124013091e-05,200.0
2,I2,N2,0.0,0.0,3.994041206249653e-06,186.5194715756419,186.51946758160068,2.0856608043411954e-07,3.890163427815328e-05,189.88960276078086
2,I2,N3,44.191182370294754,134.30926977395058,5.668094035168427e-06,123.65221544383031,123.65220977573628,4.1994365100660834e-07,5.192696042825772e-05,87.49999088291506
2,I2,N4,0.0,0.0,4.085547989820515e-06,200.0,199.999995914452,2.1770787661642278e-07,4.354157443382858e-05,200.0
2,I2,N5,0.0,0.0,4.132060464270467e-06,200.0,199.99999586793953,2.271693407081207e-07,4.543386720294669e-05,200.0
2,I2,N6,0.0,0.0,3.9581847789042756e-06,200.0,199.99999604181522,1.8919083997382863e-07,3.783816724591343e-05,200.0
2,I2,N7,0.0,0.0,3.994027262618093e-06,186.52025091064127,186.520246916614,2.0856374827732716e-07,3.8901361826541594e-05,189.8901872620352
2,I2,N8,13.377357170049605,69.14523453566015,1.5289029586283055e-05,60.2918187045596,60.29180341553002,9.168851993734353e-07,5.528066219523221e-05,57.69694444993465
2,I2,N9,42.5304675303078,117.37089334030432,5.986903143932956e-06,120.88387959234313,120.88387360543999,4.6444946651567665e-07,5.614445060639509e-05,87.49999144637655
2,I3,N1,0.0,0.0,2.7603954688033285e-06,200.0,199.99999723960454,2.1890981327291564e-06,0.00043781962050305474,200.0
2,I3,N2,10.110397239219154,20.220795702429353,3.6838022718712006e-06,200.0,199.99999631619772,3.923673520754075e-06,0.0007847346896967776,189.88960276078086
2,I3,N3,20.633647928445153,41.267297683409375,4.7941774948534675e-06,106.9725620467366,106.9725572525591,5.9454474981562395e-06,0.0006359997228886025,87.49999088291506
2,I3,N4,0.0,0.0,2.761807132933396e-06,200.0,199.99999723819286,2.1899666221321478e-06,0.00043799331837816413,200.0
2,I3,N5,0.0,0.0,2.73992953334906e-06,200.0,199.99999726007047,2.1833077087320905e-06,0.00043666153576430887,200.0
2,I3,N6,0.0,0.0,1.956613470682926e-06,200.0,199.99999804338654,2.684053846576848e-06,0.0005368107640637138,200.0
2,I3,N7,10.109812737964793,20.219626699920838,3.683783006501363e-06,200.0,199.999996316217,3.923617693346557e-06,0.0007847235242155553,189.8901872620352
2,I3,N8,39.12773550835621,166.11093877243658,20.6434848364517,92.20361393350103,71.56012909704933,1.020884520784964e-07,7.305462810055136e-06,57.69694444993465
2,I3,N9,17.811997124116395,35.6239959520788,4.606420462372042e-06,102.1027400253837,102.10273541896323,5.5286527229049365e-06,0.0005644905661900934,87.49999144637655
2,I4,N1,0.0,0.0,3.1375651583130493e-06,200.0,199.99999686243484,4.53317795018935e-08,9.066355758147289e-06,200.0
2,I4,N2,0.0,0.0,2.191743079688078e-06,189.88960276078086,189.88960056903778,4.7894502750872784e-08,9.094667996815914e-06,189.88960276078086
2,I4,N3,3.4832350696058807,6.96647194487894,4.775735039245891e-06,90.98322595252094,90.9832211767859,9.950714820098862e-08,9.053480873441762e-06,87.49999088291506
2,I4,N4,0.0,0.0,3.1352145539847485e-06,200.0,199.99999686478546,4.533303821037784e-08,9.066607499946768e-06,200.0
2,I4,N5,0.0,0.0,3.0809004192619487e-06,200.0,199.99999691909957,4.535956865858194e-08,9.071913591968073e-06,200.0
2,I4,N6,0.0,0.0,2.6808658326325606e-06,200.0,199.99999731913417,4.5468334330201985e-08,9.093666744145892e-06,200.0
2,I4,N7,0.0,0.0,2.3437663624556818e-06,189.8901872620352,189.89018491826883,4.789767341107231e-08,9.095298061183369e-06,189.8901872620352
2,I4,N8,76.420599046449,274.7893889123091,62.55740097207954,134.11754349638363,71.5601425243041,1.269464794584926e-07,9.084308163008373e-06,57.69694444993465
2,I4,N9,9.627748390473073,19.25549818418615,2.7551453309644177e-06,97.12773983684963,97.1277370817043,9.095117061713026e-08,8.833881386973856e-06,87.49999144637655
3,I1,N1,0.0,0.0,1.2272900305767044e-06,200.0,199.99999877270997,4.536134619035419e-08,9.072269182399309e-06,200.0
3,I1,N2,0.0,0.0,1.2037221191387432e-06,189.88960276078086,189.88960155705874,4.778170429971487e-08,9.073248791190057e-06,192.41719590907655
3,I1,N3,33.143958341430434,100.73034267427654,2.119504295320309e-06,131.6919346316542,131.6919325121499,6.893648423721904e-08,9.078378829792734e-06,115.62498290684559
3,I1,N4,0.0,0.0,1.2269838741425184e-06,200.0,199.99999877301613,4.5361346023082365e-08,9.072269148958833e-06,200.0
3,I1,N5,0.0,0.0,1.2344664149411827e-06,200.0,199.99999876553358,4.536170622640684e-08,9.072341189283866e-06,200.0
3,I1,N6,0.0,0.0,1.2411566744438248e-06,200.0,199.99999875884333,4.536052441406044e-08,9.072104826512571e-06,200.0
3,I1,N7,0.0,0.0,1.2037279052134285e-06,189.8901872620352,189.89018605830728,4.7781556854928785e-08,9.073248721338014e-06,192.41763421502904
3,I1,N8,10.033041518606895,51.859044777262426,7.459879593378972e-05,71.0743082751452,71.07423367634927,1.2654487060393794e-07,8.994079703847665e-06,67.52446140275094
3,I1,N9,31.897347158540594,88.02952273674696,2.1079838588070586e-06,130.02978695510274,130.0297848471189,6.98189398702281e-08,9.078541729579691e-06,115.62498322811734
3,I2,N1,0.0,0.0,5.025623402606125e-07,200.0,199.99999949743767,4.536363349315901e-08,9.072726675833748e-06,200.0
3,I2,N2,0.0,0.0,5.102343049829281e-07,189.88960276078086,189.88960225054655,4.778379494210541e-08,9.073645815578074e-06,192.41719590907655
3,I2,N3,33.143386981669344,100.73195319137916,8.157931428669751e-07,142.73915866051854,142.7391578447254,6.359805011508148e-08,9.077932113993371e-06,115.62498290684559
3,I2,N4,0.0,0.0,5.02647434429822e-07,200.0,199.99999949735258,4.536363349261511e-08,9.07272667572111e-06,200.0
3,I2,N5,0.0,0.0,4.999325969238547e-07,200.0,199.9999995000674,4.536363346265333e-08,9.072726669851906e-06,200.0
3,I2,N6,0.0,0.0,5.546911824838671e-07,200.0,199.99999944530882,4.536363299369352e-08,9.072726573575897e-06,200.0
3,I2,N7,0.0,0.0,5.102339645264521e-07,189.8901872620352,189.89018675180122,4.778364757890718e-08,9.073645762440938e-06,192.41763421502904
3,I2,N8,10.033019031021276,51.85893009832191,4.613936293626981e-06,74.4186239265879,74.4186193126516,1.22068156588659e-07,9.084143675368559e-06,67.52446140275094
3,I2,N9,31.8978508521615,88.02817086796168,8.17722588839644e-07,140.66290732686994,140.66290650914735,6.453812946184054e-08,9.078120870766124e-06,115.62498322811734
3,I3,N1,0.0,0.0,1.7304688082063717e-05,200.0,199.99998269531193,4.043187496676953e-06,0.0008086374293692921,200.0
3,I3,N2,7.58280409092344,15.165609891305147,2.4646036299205914e-05,200.0,199.9999753539637,6.036264214309946e-06,0.0012072526940920022,192.41719590907655
3,I3,N3,15.475242906310653,30.950488211918984,2.7839907156540047e-05,130.22941960729435,130.2293917673872,7.041371104965114e-06,0.0009169934762080619,115.62498290684559
3,I3,N4,0.0,0.0,1.6619351604488242e-05,200.0,199.9999833806484,3.6927916645661766e-06,0.0007385582715414322,200.0
3,I3,N5,0.0,0.0,1.4535192868737847e-05,200.0,199.99998546480714,-1.0154107031575105e-07,-2.030821258723117e-05,200.0
3,I3,N6,0.0,0.0,1.5842292621071513e-05,200.0,199.9999841577074,3.2185617729399277e-06,0.0006437123035985882,200.0
