unit,soc_hour,node,soc_mwh,delta_soc_capacity_dual,rho_periodicity_dual
I1,0,N1,1.5958458363324594e-07,-9.923639581494802,-68.77662006610524
I1,1,N1,1.591240469028781e-07,-9.90952899908553,-68.77662006610524
I1,2,N1,1.586610460239821e-07,-9.889109536144742,-68.77662006610524
I1,3,N1,1.5812534143485424e-07,-9.864415980516462,-68.77662006610524
I1,4,N1,1.5743531407003597e-07,-9.833700364943212,-68.77662006610524
I1,5,N1,1.564804875048145e-07,-9.792681698101408,-68.77662006610524
I1,6,N1,1.5510885178916183e-07,-9.734752287806282,-68.77662006610524
I1,7,N1,1.531084658150363e-07,-9.650240195951064,-68.77662006610524
I1,8,N1,1.5019684244652664e-07,-9.525667025741791,-68.77662006610524
I1,9,N1,1.4596477109680458e-07,-9.340490134479886,-68.77662006610524
I1,10,N1,1.5064761696826943e-07,-9.544353976554412,-68.77662006610524
I1,11,N1,1.5410143255902318e-07,-9.692063966359427,-68.77662006610524
I1,12,N1,1.5681556939991874e-07,-9.807233672340622,-68.77662006610524
I1,13,N1,1.5918659543551138e-07,-9.908311827250095,-68.77662006610524
I1,14,N1,1.6155719763674785e-07,-10.011511837897126,-68.77662006610524
I1,15,N1,1.6427469020634971e-07,-10.134621627137209,-68.77662006610524
I1,16,N1,1.6773031407524374e-07,-10.301452964850965,-68.77662006610524
I1,17,N1,1.7241206100626193e-07,-10.549924409991688,-68.77662006610524
I1,18,N1,1.6820469028231931e-07,-10.32500366697493,-68.77662006610524
I1,19,N1,1.6530392906152065e-07,-10.18572974706793,-68.77662006610524
I1,20,N1,1.6329787521044998e-07,-10.07559709871567,-68.77662006610524
I1,21,N1,1.6189885251631164e-07,-10.045227814595197,-68.77662006610524
I1,22,N1,1.609039040709923e-07,-10.036224891672722,-68.77662006610524
I1,23,N1,1.601675043093781e-07,-9.8869734397575,-68.77662006610524
I1,24,N1,1.5958458363324594e-07,-9.896662933552538,-68.77662006610524
I1,0,N2,8.871031245976714e-08,-17.096115275267938,-70.64996733625284
I1,1,N2,8.889166673343407e-08,-17.135382995315368,-70.64996733625284
I1,2,N2,8.908400591134278e-08,-17.20824543201556,-70.64996733625284
I1,3,N2,8.932954299816995e-08,-17.33641366331415,-70.64996733625284
I1,4,N2,8.968222066403745e-08,-17.27592643811812,-70.64996733625284
I1,5,N2,9.021720387860772e-08,-17.329191509950213,-70.64996733625284
I1,6,N2,9.1049302020939e-08,-17.46979857416695,-70.64996733625284
I1,7,N2,9.236065772795654e-08,-17.698271277800828,-70.64996733625284
I1,8,N2,9.445115715704469e-08,-18.065860840283335,-70.64996733625284
I1,9,N2,9.779616125463609e-08,-18.709936686733794,-70.64996733625284
I1,10,N2,1.0843504861261958e-07,-21.01257594897624,-70.64996733625284
I1,11,N2,9.768529360161186e-08,-18.562992197222318,-70.64996733625284
I1,12,N2,8.89222607011169e-08,-17.011217501448016,-70.64996733625284
I1,13,N2,8.018327813039612e-08,-15.638317598852822,-70.64996733625284
I1,14,N2,9.198269547664581e-08,-17.940955137283876,-70.64996733625284
I1,15,N2,8.200909601526991e-08,-16.22127758870106,-70.64996733625284
I1,16,N2,7.051709911534128e-08,-14.619770317985788,-70.64996733625284
I1,17,N2,8.071955041078945e-08,-15.904245460289982,-70.64996733625284
I1,18,N2,8.378162864855334e-08,-16.343349139487206,-70.64996733625284
I1,19,N2,8.569446599103798e-08,-16.618973875578146,-70.64996733625284
