hour,node,demand_mw,generation_mw,p_charge_mw,p_discharge_mw,storage_net_injection_mw,load_shed_mw,net_injection_mw,lambda_eur_per_mwh
1,N1,0.0,364.5000033898435,8.927849323974697e-08,1.212311306274285e-07,3.1952637387681516e-08,0.0,364.5000034217962,67.12994835920541
1,N2,0.0,0,3.6569151164731508e-06,1.1874553943862142e-07,-3.5381695770345292e-06,0.0,-3.5381695770345267e-06,67.16639842152091
1,N3,0.0,81.98862882097636,2.4642583811183837e-07,0.00030682187842100914,0.00030657545258289733,0.0,81.98893539642894,67.15819951227145
1,N4,0.0,0,8.920208013014124e-08,1.2132088435623623e-07,3.2118804226094986e-08,0.0,3.211880422611262e-08,67.16639840356753
1,N5,371.25,4.896163438562228e-08,1.0667772795952296e-07,9.694805302800264e-08,-9.729674931520318e-09,0.0,-371.2499999607681,67.20352342181553
1,N6,35.64,0,2.417935623533612e-07,0.0003152884499917125,0.00031504665642935914,0.0,-35.63968495334357,67.1699623757266
1,N7,0.0,0,3.6566590822544297e-06,1.1874511293887724e-07,-3.537913969315552e-06,0.0,-3.5379139693155534e-06,67.16639842152088
1,N8,39.6,0,2.4171329736927646e-07,0.0004937934359255235,0.0004935517226281543,0.0,-39.599506448277374,67.17035836743588
1,N9,0.0,0,2.458499316290924e-07,0.0002598339785924745,0.0002595881286608454,0.0,0.0002595881286608454,67.16639838160563
2,N1,0.0,368.4375034290461,8.931282462001334e-08,1.211719400297347e-07,3.1859115409721365e-08,0.0,368.4375034609052,67.12470815021646
2,N2,0.0,0,3.6952659867174455e-06,1.1865944649710914e-07,-3.5766065402203363e-06,0.0,-3.576606540220329e-06,67.16155196720831
2,N3,0.0,57.75644541470056,2.464520878903141e-07,0.00025716972383864263,0.0002569232717507523,0.0,57.75670233797231,67.15577628472191
2,N4,0.0,0,8.92335978630989e-08,1.2126643248162902e-07,3.2032834618530126e-08,0.0,3.203283461854689e-08,67.1615519503529
2,N5,354.375,4.8947777876186274e-08,1.0674720846313134e-07,9.688907827707573e-08,-9.858130186055607e-09,0.0,-354.3749999609103,67.19698946712386
