hour,generator,dispatch_mw,capacity_mw,marginal_cost_eur_per_mwh,nu_gen_dual
1,G_IEEE1,270.0000026926932,270.0,60.0,-7.102948048900969
1,G_IEEE3,81.98993935153855,290.0,67.15,0.0
1,RES_Wind_N1,94.50000094422765,94.5,0.0,-67.1204986394328
1,RES_PV_N6,0.0,0.0,0.0,
1,RES_PV_N8,0.0,0.0,0.0,
1,G_PEAKER_N5,0.0,200.0,95.0,0.0
2,G_IEEE1,270.0000026926878,270.0,60.0,-7.097707800682267
2,G_IEEE3,57.757452855168,290.0,67.15,0.0
2,RES_Wind_N1,98.4375009836026,98.4375,0.0,-67.11486464118819
2,RES_PV_N6,0.0,0.0,0.0,
2,RES_PV_N8,0.0,0.0,0.0,
2,G_PEAKER_N5,0.0,200.0,95.0,0.0
3,G_IEEE1,270.00000269268384,270.0,60.0,-7.093820551056856
3,G_IEEE3,40.28995911928467,290.0,67.15,0.0
3,RES_Wind_N1,102.37500102297754,102.375,0.0,-67.11058364153857
3,RES_PV_N6,0.0,0.0,0.0,
3,RES_PV_N8,0.0,0.0,0.0,
3,G_PEAKER_N5,0.0,200.0,95.0,0.0
4,G_IEEE1,270.0000026926816,270.0,60.0,-7.091680050897549
4,G_IEEE3,30.899961845589022,290.0,67.15,0.0
4,RES_Wind_N1,105.0000010492275,105.0,0.0,-67.10818064136394
4,RES_PV_N6,0.0,0.0,0.0,
4,RES_PV_N8,0.0,0.0,0.0,
4,G_PEAKER_N5,0.0,200.0,95.0,0.0
5,G_IEEE1,270.0000026926852,270.0,60.0,-7.095173551025753
5,G_IEEE3,47.05495758177696,290.0,67.15,0.0
5,RES_Wind_N1,102.37500102297756,102.375,0.0,-67.11193664150747
5,RES_PV_N6,0.0,0.0,0.0,
5,RES_PV_N8,0.0,0.0,0.0,
5,G_PEAKER_N5,0.0,200.0,95.0,0.0
6,G_IEEE1,270.000002692696,270.0,60.0,-7.1056540480588595
6,G_IEEE3,95.51993286707604,290.0,67.15,0.0
6,RES_Wind_N1,94.50000094422768,94.5,0.0,-67.12320463859069
6,RES_PV_N6,0.0,0.0,0.0,
6,RES_PV_N8,0.0,0.0,0.0,
6,G_PEAKER_N5,0.0,200.0,95.0,0.0
7,G_IEEE1,270.0000026927121,270.0,60.0,-7.121505935051507
7,G_IEEE3,168.21671685586972,290.0,67.15,0.0
7,RES_Wind_N1,81.37500081297789,81.375,0.0,-67.14036902568503
7,RES_PV_N6,4.795875047189798,4.795875,0.0,-67.18700485241683
7,RES_PV_N8,8.906625088297284,8.906625,0.0,-67.18587219383727
7,G_PEAKER_N5,0.0,200.0,95.0,0.0
8,G_IEEE1,270.00000269271726,270.0,60.0,-7.126610350759012
8,G_IEEE3,187.1724936863988,290.0,67.15,0.0
8,RES_Wind_N1,68.25000068172795,68.25,0.0,-67.14678594152832
8,RES_PV_N6,23.9793752390248,23.979375,0.0,-67.18739547488913
8,RES_PV_N8,44.53312544456225,44.533125,0.0,-67.18274561209714
8,G_PEAKER_N5,0.0,200.0,95.0,0.0
9,G_IEEE1,270.0000026927033,270.0,60.0,-7.112924547074119
9,G_IEEE3,112.18492063583363,290.0,67.15,0.0
9,RES_Wind_N1,55.12500055047781,55.125,0.0,-67.1344126380376
9,RES_PV_N6,67.14225067065328,67.14225,0.0,-67.16403118762776
9,RES_PV_N8,124.69275124615817,124.69275,0.0,-67.15307908701004
9,G_PEAKER_N5,0.0,200.0,95.0,0.0
10,G_IEEE1,234.0524962344297,270.0,60.0,0.0
10,G_IEEE3,0.0,290.0,67.15,0.0
10,RES_Wind_N1,45.937500458511266,45.9375,0.0,-60.0188120819961
10,RES_PV_N6,115.10100115014941,115.101,0.0,-60.03324463096194
10,RES_PV_N8,213.75900213672912,213.759,0.0,-60.01405303054371
10,G_PEAKER_N5,0.0,200.0,95.0,0.0
11,G_IEEE1,110.05397949265436,270.0,60.0,0.0
11,G_IEEE3,0.0,290.0,67.15,0.0
11,RES_Wind_N1,39.3750003928861,39.375,0.0,-60.007068479084744
11,RES_PV_N6,163.0597516296764,163.05975,0.0,-56.09838533688928
11,RES_PV_N8,302.825253027093,302.82525,0.0,-44.59426689899667
11,G_PEAKER_N5,0.0,200.0,95.0,0.0
12,G_IEEE1,67.55946688019398,270.0,60.0,0.0
12,G_IEEE3,0.0,290.0,67.15,0.0
12,RES_Wind_N1,36.750000366636044,36.75,0.0,-60.003081527560965
12,RES_PV_N6,203.82468953732553,203.8246875,0.0,-56.082693837232696
12,RES_PV_N8,378.53156628415593,378.5315625,0.0,-44.583980751114325
12,G_PEAKER_N5,0.0,200.0,95.0,0.0
13,G_IEEE1,33.1249956515591,270.0,60.0,0.0
13,G_IEEE3,0.0,290.0,67.15,0.0
13,RES_Wind_N1,39.37500039288599,39.375,0.0,-59.99937557949844
