hour,node,lambda_joint_eur_per_mwh
1,N1,67.12994637601997
1,N2,67.16639671805135
1,N3,67.15819825077591
1,N4,67.16639662043356
1,N5,67.20352172162528
1,N6,67.16996045572876
1,N7,67.16639671805135
1,N8,67.17035641053357
1,N9,67.16639649314207
2,N1,67.12470633475803
2,N2,67.16155045268967
2,N3,67.1557751037102
2,N4,67.16155036118325
2,N5,67.19698795418165
2,N6,67.16495223957692
2,N7,67.16155045268967
2,N8,67.16533023704905
2,N9,67.16155027111705
3,N1,67.12081910278202
3,N2,67.15805700920437
3,N3,67.15402835354826
3,N4,67.1580569203253
3,N5,67.19236950915669
3,N6,67.1613508218952
3,N7,67.15805700920437
3,N8,67.16171683407093
3,N9,67.15805685198552
4,N1,67.11867855366363
4,N2,67.15617899388157
4,N3,67.1530893142012
4,N4,67.15617890580303
4,N5,67.18992899298715
4,N6,67.15941881819516
4,N7,67.15617899388157
4,N8,67.15977883688326
4,N9,67.15617884806335
5,N1,67.12217210861803
5,N2,67.15941001702988
5,N3,67.15470486983207
5,N4,67.15940992616132
5,N5,67.19428501782585
5,N6,67.16275781985924
5,N7,67.15941001702988
5,N8,67.16312983811711
5,N9,67.15940985034796
6,N1,67.13265229176655
6,N2,67.16910264006533
6,N3,67.15955121031202
6,N4,67.16910253618018
6,N5,67.20735264514899
6,N6,67.17277433956838
6,N7,67.16910264006533
6,N8,67.17318232845467
6,N9,67.16910238430157
7,N1,67.14849600932972
7,N2,67.18363383960921
7,N3,67.16681678694842
7,N4,67.18363368440043
7,N5,67.22863385536672
7,N6,67.18747248996289
7,N7,67.18363383960921
7,N8,67.18675039427154
7,N9,67.18363261667433
8,N1,67.15358839761255
8,N2,67.18741378532114
8,N3,67.16870671709388
8,N4,67.18741353271676
8,N5,67.23803883224998
8,N6,67.18975245336935
8,N7,67.18741378532114
8,N8,67.18718190870915
8,N9,67.18721316291935
9,N1,67.13992269073543
9,N2,67.17243557208498
9,N3,67.16121759327356
9,N4,67.17243529979666
9,N5,67.22474813709586
9,N6,67.17074288197358
9,N7,67.17243557208498
9,N8,67.16554578968189
9,N9,67.17243509521057
10,N1,60.02340546256816
10,N2,60.05140467023812
10,N3,60.051404484454046
10,N4,60.05140452349657
10,N5,60.10202968995239
10,N6,60.04475438687369
10,N7,60.05140467023812
10,N8,60.03542858221233
10,N9,60.05140448458056
11,N1,60.01100558309796
11,N2,74.33054687266417
11,N3,44.79097023052371
11,N4,60.02594871171959
11,N5,65.01809447631739
11,N6,54.66470749495638
11,N7,74.33054687266417
11,N8,38.906570082039316
11,N9,44.7909706771274
12,N1,60.00675870339057
12,N2,74.31823054329585
12,N3,44.78600544348218
12,N4,60.01719250911701
12,N5,65.00698314298823
12,N6,54.653097947976995
12,N7,74.31823054329585
12,N8,38.90385475348918
12,N9,44.786015339254725
13,N1,60.00331285033311
13,N2,74.30516735936787
13,N3,44.78357584783115
13,N4,60.01056344522387
13,N5,64.99700590287672
13,N6,54.64371606714035
13,N7,74.30516735936787
13,N8,38.90423632779963
13,N9,44.783858700229445
14,N1,60.00222462807927
14,N2,60.0008392155399
14,N3,0.06262098349544903
14,N4,60.008912135892274
14,N5,60.052810258342575
14,N6,0.038971716953853444
14,N7,60.0008392155399
14,N8,0.04371189438785593
14,N9,0.06290511858701689
15,N1,60.0020818985691
15,N2,74.28430303289201
15,N3,44.80607602972325
15,N4,60.00941420589424
15,N5,64.98848203789309
15,N6,54.65373708127632
15,N7,74.28430303289201
15,N8,38.93459721851804
15,N9,44.80607611030246
16,N1,60.00598559890388
16,N2,74.27886271305898
16,N3,44.8296195953795
16,N4,60.01800882148907
16,N5,64.99335218820296
16,N6,54.67200602077967
16,N7,74.27886271305898
16,N8,38.963033432726284
16,N9,44.82961962509086
17,N1,60.01912731642469
17,N2,60.04507974885512
17,N3,60.045079548688065
17,N4,60.045079615888234
17,N5,60.095142257607776
17,N6,60.03789587819268
17,N7,60.04507974885512
17,N8,60.02815297446495
17,N9,60.04507954881467
18,N1,67.11748551154625
18,N2,67.15209842422533
18,N3,67.15104864852732
18,N4,67.15209816830722
18,N5,67.20497348056188
18,N6,67.15045985631713
18,N7,67.15209842422533
18,N8,67.13652371398919
18,N9,67.1520981039689
19,N1,67.14132826092695
19,N2,67.17646644027488
19,N3,67.16323292699224
19,N4,67.17646593599754
19,N5,67.23271652180435
19,N6,67.17994720384527
19,N7,67.17646644027488
19,N8,67.16510568332865
19,N9,67.17646561845744
20,N1,67.14883852505088
20,N2,67.1845017583887
20,N3,67.1672506140466
20,N4,67.18450122283991
20,N5,67.24018937894746
20,N6,67.18929010513152
20,N7,67.1845017583887
20,N8,67.17709260548298
20,N9,67.18434700543754
21,N1,67.1489254336385
21,N2,67.1848509761975
21,N3,67.16742530250698
21,N4,67.1848506449728
21,N5,67.23772605261512
21,N6,67.18954179942314
21,N7,67.1848509761975
21,N8,67.1807836225436
21,N9,67.18470210477628
22,N1,67.14594790442915
22,N2,67.18213581603231
22,N3,67.16606777416827
22,N4,67.18213563116757
22,N5,67.22994834882722
22,N6,67.18672433325037
22,N7,67.18213581603231
22,N8,67.18199069371903
22,N9,67.18213482513201
23,N1,67.1416241712073
23,N2,67.17807455331973
23,N3,67.16403716131744
23,N4,67.1780744156211
23,N5,67.22082456676529
23,N6,67.18217793216316
23,N7,67.17807455331973
23,N8,67.18170859841749
23,N9,67.1780740646406
24,N1,67.13496383007605
24,N2,67.17154544630455
24,N3,67.1607726161995
24,N4,67.17154533434272
24,N5,67.21092045314332
24,N6,67.17532509515706
24,N7,67.17154544630455
24,N8,67.17574483897796
24,N9,67.17154514970383
