iteration,investor,node,x_power_mw,x_energy_mwh,proposed_x_power_mw,private_headroom_limit_mw,private_headroom_slack_mw,access_shadow_price_eur_per_mw_day,headroom_complementarity_residual_eur_per_day,headroom_mw
1,I1,N1,6.010131556739639e-05,0.00012168848544082933,6.346972016404679e-05,199.9998728884013,199.99980941868114,4.6306530981897865e-08,9.261297371219827e-06,199.9998129667587
1,I1,N2,5.804642979291322e-05,0.00011760254093160514,6.10763141839971e-05,181.70443665925677,181.7043755829426,5.0799370012516205e-08,9.230467808131115e-06,186.2782378650436
1,I1,N3,0.0011704010577602319,0.002342228197238026,5.9909831651318285e-05,199.9565031377946,199.95644322796295,4.540471725000693e-08,9.07896576708272e-06,199.96616815326752
1,I1,N4,6.0070159037673716e-05,0.000121625700935165,6.346742341610561e-05,199.99987301914476,199.99980955172134,4.6306146632379696e-08,9.261220507550021e-06,199.99981309686626
1,I1,N5,5.818244200188183e-05,0.00011787858258718373,6.169078607551193e-05,199.9999340421452,199.99987235135913,4.6243088530059223e-08,9.248611803144445e-06,199.99987656685843
1,I1,N6,7.908439614981484,15.816880488861658,2.5406250528812082e-05,169.41098926387505,169.41096385762452,5.3155965653451735e-08,9.005203376134043e-06,169.14976475115546
1,I1,N7,5.710123611098472e-05,0.00011571281734310042,6.115375502046325e-05,182.34792352360563,182.34786236985062,5.061609387372453e-08,9.22973651938536e-06,186.76085395820905
1,I1,N8,41.54873716837976,137.06316391209947,16.931765199265087,49.75439449141797,32.82262929215288,-7.218383345782338e-07,-2.3692632064726387e-05,29.463498432057804
1,I1,N9,0.0012108030178018408,0.0024230340447286827,5.99986763082031e-05,197.22737430189324,197.22731430321693,4.622115219397057e-08,9.116073711217057e-06,197.9192814171022
1,I2,N1,0.0,0.0,5.04838607531738e-05,199.99981390988728,199.99976342602653,4.536471295907652e-08,9.072931859704903e-06,199.9998129667587
1,I2,N2,0.0,0.0,7.76447874213441e-06,181.70437962278845,181.7043718583097,4.993884765039254e-08,9.074106943642401e-06,186.2782378650436
1,I2,N3,0.0012431138141819353,0.002487268531013711,3.031289949336645e-05,199.95660995378057,199.95657964088107,4.5483321975338624e-08,9.094689492893633e-06,199.96616815326752
1,I2,N4,0.0,0.0,5.0481605397657223e-05,199.99981408140718,199.99976359980178,4.536471547049359e-08,9.072932369870989e-06,199.99981309686626
1,I2,N5,0.0,0.0,4.904023669683907e-05,199.99987702915124,199.99982798891455,4.536394059246505e-08,9.07278031539235e-06,199.99987656685843
1,I2,N6,7.9083543301012345,15.816709684027112,2.3790168067807465e-05,169.41087608939554,169.41085229922749,5.352720536478524e-08,9.06808948204405e-06,169.14976475115546
1,I2,N7,0.0,0.0,7.768392023459155e-06,182.34786777320917,182.34786000481716,4.9762358809099656e-08,9.074059637631184e-06,186.76085395820905
1,I2,N8,41.29989293135157,136.56549967573818,15.936502447957102,49.75435642581638,33.81785397785928,2.6867874743741576e-07,9.08613864779266e-06,29.463498432057804
1,I2,N9,0.0013009789834135758,0.002602998132618999,2.9035524678883462e-05,197.22750485756458,197.2274758220399,4.6040955207951734e-08,9.080541380099922e-06,197.9192814171022
1,I3,N1,6.785591585281795e-05,0.00013728927113771937,6.306267315442375e-05,199.9998833635507,199.99982030087756,5.01032251862443e-08,1.0020636033743262e-05,199.9998129667587
