iteration,investor,termination,solve_seconds,optimistic_mpec_profit_eur_per_day,max_access_shadow_price_eur_per_mw_day,strong_duality_gap,total_power_mw,total_energy_mwh,max_rel_delta_power,max_rel_delta_energy,abs_capacity_step_mw_equivalent,abs_offer_step_mw,abs_price_step_eur_per_mwh,converged_sweep_streak,max_undamped_delta_power_mw,undamped_capacity_residual_mw_equivalent,undamped_offer_residual_mw,undamped_price_residual_eur_per_mwh
11,I1,optimal,119.99405700000352,4843.933943447812,1.8539284586542784e-06,0.0011855789925903082,49.389568021409346,121.74778907828355,0.1484568205336983,0.14845692454905646,0.27533477903945186,0.17987004824878652,0.5891418080427789,0,0.5938272821347933,1.1013391204452934,0.7194801954332067,0.9192568781456466
11,I2,optimal,11.852992799977073,4475.0024819813225,1.376759197409279e-05,0.0010018759639933705,43.16731958723782,117.52644467220088,0.14844890659849613,0.1484489339674604,0.39062255466956264,0.3823129409125822,0.5035522361502641,0,1.2563175989976259,1.562490222417925,1.5292517643729013,0.6893724821263024
11,I3,optimal,106.08414059999632,147335.9894888429,7.021617909228606e-07,0.0009082736214622855,51.37283767278926,162.76686938204742,0.16515744794382065,0.16515738737789692,0.49652716094519905,0.20661949903186694,1.2141353860120419,0,1.4150947606569697,1.9861086448532037,0.8264779981134681,4.8565415440481665
11,I4,optimal,12.838416300015524,243464.95756095415,8.107559338946335e-06,0.001502628088928759,59.0343121335578,196.61669854258943,0.2499828781815852,0.2499826906479774,0.537186556243007,0.2218587929035697,1.2700687169927662,0,1.0302705937279533,2.1487462261509247,0.8874351721846175,5.080274867971065
12,I1,optimal,110.44619859999511,4833.546277474408,5.092333453415479e-08,0.0011139786802232265,49.070758786974224,120.95006644183148,0.11133129653226614,0.11133118628797306,0.2814172600627224,0.13489982197826408,0.0713571864976447,0,0.8298176583441617,1.1256690478042877,0.539599291027278,0.28542874599057855
12,I2,optimal,38.88067710000905,4464.938730328735,2.2800170110474862e-05,0.001108499534893781,42.73061710419676,116.72874386342727,0.1113311147284064,0.11133104720425169,0.37681752211670994,0.2871769851000008,0.24835468557717177,0,1.3013082848901902,1.507270092051534,1.1487079413169665,0.41814029861439667
12,I3,optimal,65.95612809999147,147358.22547984845,2.8372598897113473e-05,0.0026721276226453483,50.7903528316847,162.8209556245538,0.17355466565017416,0.17355459023103825,0.45638557298020366,0.15518241668907826,0.9125560166314434,0,1.241447132972365,1.825542294739013,0.6207296684613972,3.6502240665257735
12,I4,optimal,20.99608330000774,243487.17929248756,4.180142802188861e-07,0.0016465867520309985,58.07155862809402,196.9121361683711,0.24993669267647547,0.24993658985571585,0.8993725038534096,0.1643104661886878,0.816216668530062,0,1.7325245617653733,3.5974900161123595,0.6572418655249551,3.2648666741202486
13,I1,optimal,45.10565040001529,4821.026289843767,6.001282635480626e-07,0.001216607983224094,48.739669757948974,120.26399643637717,0.0835044844495394,0.08350452917944284,0.29469171874283195,0.10117671356627707,0.055837711338164044,0,0.9902729886333788,1.1787668818183252,0.40470685858484634,0.22335084535265637
13,I2,optimal,92.49279200000456,4454.109835683107,5.791578673861821e-07,0.0012072835233993828,42.28394958808312,116.04232839118019,0.08351027304889058,0.08351037058881772,0.39675763991041074,0.21720362132355503,0.07324926985988989,0,1.4524202960400743,1.5870305613233509,0.8688144867943485,0.26239088581288533
13,I3,optimal,126.73605320000206,147346.9251391921,4.355414259836558e-06,0.0009130175458267331,50.24705173757295,162.88167433084553,0.18158527471746444,0.18158517997193205,0.4180925930452184,0.11798613972003251,0.7008354115278231,0,1.0734620518621572,1.672370372184626,0.4719445588838204,2.8033416461112926
13,I4,optimal,29.237366800021846,243668.07151986397,6.483047491113541e-07,0.001486774068325758,57.99961577608506,197.2814787245261,0.14489024697411124,0.1448902449590766,0.30831811891027355,0.12322436874485587,1.5009654190462678,0,0.5795609878964448,1.2332724762139742,0.492897476092166,6.00386167618507
14,I1,optimal,93.18453389999922,4806.98164908825,5.458611694807063e-07,0.0013117131893523037,48.403020826228804,119.6501409795937,0.06263401768021093,0.06263411489843551,0.3080259256277793,0.07588342133418054,0.1509338715105452,0,1.095893792719849,1.2321037025556059,0.30353368545170933,0.6037354860421807
14,I2,optimal,45.72806690001744,4442.425031721202,3.3925179313994267e-07,0.0012995927245356143,41.84193059114913,115.42782893760291,0.06263067617527804,0.0626307167956699,0.404680389866247,0.16290880884240191,0.04244771977552534,0,1.5174074279857024,1.6187215611713226,0.651635237361002,0.16979087910210133
