unit,hour,node,soc_start_mwh,soc_end_mwh,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_eur_per_mwh,spot_revenue_eur,degradation_cost_eur,rho_charge_dual,sigma_discharge_dual,gamma_soc_transition_dual
I2,1,N1,6.173876877745611e-08,6.132787291293865e-08,-9.406075148668423e-09,-7.85602628425946e-09,1.5500488644089623e-09,67.13594865930851,1.0406400098037956e-07,-1.2946576074695913e-07,-0.17500537969658142,-0.17548994604903712,-65.67560471188187
I2,1,N2,2.6633542245277513e-08,2.9924119691898207e-08,-7.325362658240145e-09,-9.497701413470531e-09,-2.1723387552303862e-09,67.17039866005287,-1.4591686021350804e-07,-1.2617298053783006e-07,-0.42065752729410805,-0.3813578725558778,-77.32561504432066
I2,1,N3,3.2653481535279627,3.2653463070169413,-9.515464993693805e-09,1.7199978555710378e-06,1.7295133205647316e-06,67.16019966046625,0.00011615445992456335,1.282861792933008e-05,9.516918531615585e-09,9.516918498273726e-09,-55.84849606303685
I2,1,N4,6.143038477051536e-08,6.101825337921225e-08,-9.406323964168421e-09,-7.855087817452384e-09,1.5512361467160368e-09,67.17039865985612,1.0419715039049526e-07,-1.2946058836215604e-07,-0.1759445437258612,-0.17643711339341492,-65.70105275186043
I2,1,N5,6.107201415303097e-08,6.177000021676295e-08,-9.27333003835029e-09,-8.777642308931666e-09,4.956877294186235e-10,67.20752365998057,3.331394480286419e-08,-1.3538229260461467e-07,-0.17487268083288166,-0.17392658458151772,-69.6735550670685
I2,1,N6,5.53936804622085e-08,5.196384788010856e-08,-9.478827430005179e-09,-5.094039499272275e-09,4.384787930732904e-09,67.17396265987041,2.9454358073050255e-07,-1.092965019695809e-07,-0.19180959316738855,-0.20597487166517223,-57.5482155286031
I2,1,N7,2.5802819042520096e-08,2.9024788836198488e-08,-7.396564824014175e-09,-9.495864582942498e-09,-2.0992997589283227e-09,67.17039866005285,-1.410108017141683e-07,-1.2669322055217505e-07,-0.4087429575308423,-0.37170387332547417,-77.28658889541389
I2,1,N8,7.563613117249334,7.563611922379536,-9.515438219472427e-09,1.1100616930090794e-06,1.1195771312285517e-06,67.17435865970745,7.520687576035308e-05,8.254096910922052e-06,9.825828483287249e-09,9.825828480480347e-09,-55.86531062852689
I2,1,N9,6.710632244456724,6.710631262207672,-9.515387910060158e-09,9.110487195487163e-07,9.205641074587764e-07,67.17039865966902,6.18346580897884e-05,6.761499987289921e-06,9.603010344947641e-09,9.603010333084238e-09,-55.86392011116175
I2,2,N1,6.132787291293865e-08,6.091945969151642e-08,-9.405907347813773e-09,-7.858203028539033e-09,1.5477043192747394e-09,67.13070840988188,1.0389848736194725e-07,-1.2948082782264605e-07,-0.17500601119321077,-0.1754889070265556,-65.67555124947155
I2,2,N2,2.9924119691898207e-08,3.321903417890111e-08,-7.320917563878779e-09,-9.497866553878658e-09,-2.176948989999879e-09,67.1655521607024,-1.462159809390253e-07,-1.2614088088318077e-07,-0.42081804495744013,-0.3813545918316728,-77.32803556221232
I2,2,N3,3.2653463070169413,3.265345032379541,-9.515405219934353e-09,1.184724197755582e-06,1.1942396029755164e-06,67.1577764108067,8.02024762375603e-05,8.814065944017358e-06,9.516918531615585e-09,9.516918507737804e-09,-55.848822592865325
I2,2,N4,6.101825337921225e-08,6.06084166372639e-08,-9.40616910443335e-09,-7.857099937253989e-09,1.549069167179361e-09,67.16555216045028,1.0404408594833064e-07,-1.2947451781265504e-07,-0.17594512278868793,-0.17643615283416653,-65.70099895624757
I2,2,N5,6.177000021676295e-08,6.246926826839001e-08,-9.273006460033715e-09,-8.778558763932636e-09,4.94447696101079e-10,67.20098966056499,3.3227374513378785e-08,-1.3538673917974762e-07,-0.1748743976159612,-0.17392596819842543,-69.67357848853399
I2,2,N6,5.196384788010856e-08,4.854354618070685e-08,-9.478723311285794e-09,-5.102869187484241e-09,4.375854123801553e-09,67.16895416047171,2.939215450545376e-07,-1.0936194374077526e-07,-0.19180979694728092,-0.20595318153477332,-57.54736955389335
I2,2,N7,2.9024788836198488e-08,3.2250877082576474e-08,-7.3923551881852015e-09,-9.496031409558098e-09,-2.1036762213728965e-09,67.16555216070239,-1.4129457497585058e-07,-1.2666289948307473e-07,-0.4089022270185629,-0.3717002443485924,-77.28933773894903
I2,2,N8,7.563611922379536,7.5636111800473715,-9.51531301277661e-09,6.864865780086108e-07,6.960018910213873e-07,67.16933216038784,4.6749982202273625e-05,5.077284487468756e-06,9.825828483287249e-09,9.825828481465205e-09,-55.86606698773728
I2,2,N9,6.710631262207672,6.710630598323344,-9.515268040350895e-09,6.130594425639013e-07,6.225747106042523e-07,67.16555216034106,4.181557419879915e-05,4.526581308926628e-06,9.60301034494764e-09,9.603010336589542e-09,-55.864591172032476
I2,3,N1,6.091945969151642e-08,6.051199144627399e-08,-9.405836175738955e-09,-7.859025172673285e-09,1.5468110030656702e-09,67.12682116120345,1.0383250557297097e-07,-1.2948646011309182e-07,-0.1750062931057665,-0.17548847072125237,-65.67437499281142
I2,3,N2,3.321903417890111e-08,3.6545237214434054e-08,-7.2889257782563395e-09,-9.499124759886093e-09,-2.210198981629753e-09,67.16205866235704,-1.4844151365969926e-07,-1.2591037903606824e-07,-0.42144257377923594,-0.3813299535399373,-77.36499252488865
I2,3,N3,3.265345032379541,3.2653440005356145,-9.515360080338504e-09,9.57469546749909e-07,9.669849068302474e-07,67.15602966148504,6.493886708530045e-05,7.109656400021778e-06,9.516918531615583e-09,9.51691851195704e-09,-55.84914912256633
I2,3,N4,6.06084166372639e-08,6.019932517894962e-08,-9.406111439274723e-09,-7.857747002520668e-09,1.5483644367540553e-09,67.16205866179543,1.039913431311137e-07,-1.2947893831346543e-07,-0.1759453442776233,-0.17643580931079794,-65.69980685174897
I2,3,N5,6.246926826839001e-08,6.317003262337984e-08,-9.272642382759114e-09,-8.779640337236205e-09,4.930020455229094e-10,67.19637116190508,3.3127948434535843e-08,-1.353921203999649e-07,-0.17487604857962458,-0.17392523727781406,-69.67455737703476
I2,3,N6,4.854354618070685e-08,4.5080414751995755e-08,-9.479104522555517e-09,-5.063114538519208e-09,4.415989984036309e-09,67.16535266182242,2.966015246288743e-07,-1.0906664295806043e-07,-0.19180605271278428,-0.20610720014641742,-57.526459060149904
I2,3,N7,3.2250877082576474e-08,3.550732156016212e-08,-7.361400217223333e-09,-9.49732531572866e-09,-2.135925098505328e-09,67.16205866235704,-1.4345312676421556e-07,-1.2644044149713994e-07,-0.40949490293573565,-0.3716764528224927,-77.32678615795295
I2,3,N8,7.5636111800473715,7.563610603850243,-9.51521835732643e-09,5.309842678146711e-07,5.404994861719975e-07,67.16571866176685,3.6303036425057924e-05,3.911017870930085e-06,9.825828483287249e-09,9.825828481848057e-09,-55.866823346873424
I2,3,N9,6.710630598323344,6.710630065783021,-9.515177432125238e-09,4.901215334837306e-07,4.996367109158559e-07,67.16205866172315,3.3556630088081125e-05,3.60454767038704e-06,9.603010344947638e-09,9.603010338117525e-09,-55.86526223283681
