hour,generator,dispatch_mw,capacity_mw,marginal_cost_eur_per_mwh,nu_gen_dual
1,G_IEEE1,250.0000024974928,250.0,60.0,-7.110948058456542
1,G_IEEE3,101.98998565553497,270.0,67.15,9.88453100102093e-09
1,RES_Wind_N1,94.50000094476816,94.5,0.0,-67.1264986487291
1,RES_PV_N6,9.747288603344277e-09,0.0,0.0,-5772.6897019492435
1,RES_PV_N8,9.747290073855199e-09,0.0,0.0,-5782.559317997748
2,G_IEEE1,250.0000024974909,250.0,60.0,-7.105707809482344
2,G_IEEE3,77.75749227767767,270.0,67.15,9.89988274331573e-09
2,RES_Wind_N1,98.43750098414314,98.4375,0.0,-67.12086464974341
2,RES_PV_N6,9.747269594076053e-09,0.0,0.0,-5779.520447841798
2,RES_PV_N8,9.747270997958043e-09,0.0,0.0,-5791.8293895076395
3,G_IEEE1,250.00000249748948,250.0,60.0,-7.101820561321416
3,G_IEEE3,60.29000232427323,270.0,67.15,9.908563685590781e-09
3,RES_Wind_N1,102.37500102351812,102.375,0.0,-67.11658365157159
3,RES_PV_N6,9.747255808221269e-09,0.0,0.0,-5757.701453490738
3,RES_PV_N8,9.747257167684372e-09,0.0,0.0,-5782.953317659822
4,G_IEEE1,250.00000249748905,250.0,60.0,-7.100883214334302
4,G_IEEE3,56.91576763025132,270.0,67.15,9.909715424607493e-09
4,RES_Wind_N1,105.00000104976812,105.0,0.0,-67.11538380457749
4,RES_PV_N6,9.74725246410354e-09,0.0,0.0,-5765.4425230818815
4,RES_PV_N8,9.747253801315943e-09,0.0,0.0,-5781.709770118721
5,G_IEEE1,250.00000249749021,250.0,60.0,-7.1041505875700555
5,G_IEEE3,71.94013326597266,270.0,67.15,9.902304071999777e-09
5,RES_Wind_N1,102.37500102351814,102.375,0.0,-67.11891367782023
5,RES_PV_N6,9.747264064117019e-09,0.0,0.0,-5786.484951451107
5,RES_PV_N8,9.747265445776052e-09,0.0,0.0,-5816.002298784277
6,G_IEEE1,250.00000249749377,250.0,60.0,-7.11365405967278
6,G_IEEE3,115.51999188190797,270.0,67.15,9.87343366462132e-09
6,RES_Wind_N1,94.50000094476816,94.5,0.0,-67.12920464994534
6,RES_PV_N6,9.747299052532215e-09,0.0,0.0,-5870.276457552068
6,RES_PV_N8,9.747300567479235e-09,0.0,0.0,-5870.716732912164
7,G_IEEE1,250.00000249749897,250.0,60.0,-7.129331820283415
7,G_IEEE3,187.3461968304845,270.0,67.15,9.720370229354194e-09
7,RES_Wind_N1,81.37500081351823,81.375,0.0,-67.1461949105995
7,RES_PV_N6,3.9375000391190738,3.9375,0.0,-67.19100241547274
7,RES_PV_N8,9.765000097394067,9.765,0.0,-67.18950921317662
8,G_IEEE1,250.00000249750047,250.0,60.0,-7.13372561021635
8,G_IEEE3,199.70443643191513,270.0,67.15,9.633142912874985e-09
8,RES_Wind_N1,68.25000068226824,68.25,0.0,-67.15190120058767
8,RES_PV_N6,19.687500196619073,19.6875,0.0,-67.19147370168756
8,RES_PV_N8,48.82500048799405,48.825,0.0,-67.18570962591775
9,G_IEEE1,250.00000249749652,250.0,60.0,-7.121499727424256
9,G_IEEE3,135.06082681642323,270.0,67.15,9.849565021162126e-09
9,RES_Wind_N1,55.1250005510182,55.125,0.0,-67.14098781787085
9,RES_PV_N6,55.125000550993995,55.125,0.0,-67.17100981819468
9,RES_PV_N8,136.71000136684395,136.71,0.0,-67.15525081759769
10,G_IEEE1,250.00000249749317,250.0,60.0,-7.112072633282329
10,G_IEEE3,38.480808261626386,270.0,67.15,9.917446340854386e-09
10,RES_Wind_N1,45.93750045914318,45.9375,0.0,-67.13247947380277
10,RES_PV_N6,94.50000094474392,94.5,0.0,-67.1494771465134
10,RES_PV_N8,234.36000234334378,234.36,0.0,-67.11277369777832
11,G_IEEE1,131.83796630484278,250.0,60.0,9.83627955210514e-09
11,G_IEEE3,-9.061938373654801e-09,270.0,67.15,9.93400682081506e-09
11,RES_Wind_N1,39.375000393490666,39.375,0.0,-60.00924687708116
11,RES_PV_N6,133.8750013384421,133.875,0.0,-56.094166025618385
11,RES_PV_N8,332.01000331970533,332.01,0.0,-44.5381275598727
12,G_IEEE1,56.627702211148,250.0,60.0,9.908539010936782e-09
12,G_IEEE3,-9.616277931080667e-09,270.0,67.15,9.934006820815211e-09
12,RES_Wind_N1,36.75000036724064,36.75,0.0,-60.001988350437806
12,RES_PV_N6,167.34375167306482,167.34375,0.0,-44.793007146567895
12,RES_PV_N8,415.01250414689775,415.0125,0.0,-0.03022607419799996
13,G_IEEE1,30.28437392354397,250.0,60.0,9.914708324622051e-09
13,G_IEEE3,-9.616441182955371e-09,270.0,67.15,9.934006820815211e-09
13,RES_Wind_N1,39.37500039349062,39.375,0.0,-59.9990915174572
13,RES_PV_N6,187.03125186993967,187.03125,0.0,-44.78026336549574
13,RES_PV_N8,463.83750463512695,463.8375,0.0,-0.0031433184777494893
14,G_IEEE1,31.54633048382997,250.0,60.0,9.913342241979996e-09
14,G_IEEE3,-9.616441293301359e-09,270.0,67.15,9.934006820815211e-09
14,RES_Wind_N1,44.62500044599062,44.625,0.0,-59.99869271308828
14,RES_PV_N6,192.93750192900217,192.9375,0.0,-44.779409148407076
14,RES_PV_N8,478.48500478159815,478.485,0.0,7.839811499886584e-09
15,G_IEEE1,43.85580437851159,250.0,60.0,9.908577669923432e-09
15,G_IEEE3,-9.616391450131578e-09,270.0,67.15,9.934006820815211e-09
15,RES_Wind_N1,52.50000052474062,52.5,0.0,-59.99913616049282
15,RES_PV_N6,177.1875017715022,177.1875,0.0,-44.78697123168716
15,RES_PV_N8,439.42500439100843,439.425,0.0,-0.013688493661517219
16,G_IEEE1,82.92211432736967,250.0,60.0,9.884665746390679e-09
16,G_IEEE3,-9.05967140701639e-09,270.0,67.15,9.93400682081506e-09
16,RES_Wind_N1,60.37500060349064,60.375,0.0,-60.002255291596285
16,RES_PV_N6,141.75000141719215,141.75,0.0,-56.10642387914405
16,RES_PV_N8,351.54000351500594,351.54,0.0,-44.613823620842396
17,G_IEEE1,250.0000024974623,250.0,60.0,-7.033366822699374
17,G_IEEE3,2.4177337783897094e-07,270.0,67.15,9.934006820743546e-09
17,RES_Wind_N1,68.25000068226788,68.25,0.0,-67.05154241307069
17,RES_PV_N6,98.43750098411861,98.4375,0.0,-67.07499869420568
17,RES_PV_N8,244.12500244099348,244.125,0.0,-67.04534893459528
18,G_IEEE1,250.00000249748757,250.0,60.0,-7.099208284280128
18,G_IEEE3,20.25725637104167,270.0,67.15,9.918290457355473e-09
18,RES_Wind_N1,76.12500076101811,76.125,0.0,-67.11659637461656
18,RES_PV_N6,55.12500055099391,55.125,0.0,-67.15087237513018
18,RES_PV_N8,136.7100013668438,136.71,0.0,-67.1281193745992
19,G_IEEE1,250.00000249749502,250.0,60.0,-7.120746109059149
19,G_IEEE3,117.79315799689311,270.0,67.15,9.847987429309091e-09
19,RES_Wind_N1,81.37500081351818,81.375,0.0,-67.13760919937523
19,RES_PV_N6,15.750000157244028,15.75,0.0,-67.18113420081211
19,RES_PV_N8,39.06000039034398,39.06,0.0,-67.16933503499614
20,G_IEEE1,250.00000249749658,250.0,60.0,-7.12525493622044
20,G_IEEE3,148.56164398184703,270.0,67.15,9.795513481836488e-09
20,RES_Wind_N1,86.6250008660182,86.625,0.0,-67.14159302651801
20,RES_PV_N6,1.9687500194315561,1.96875,0.0,-67.18887028594511
20,RES_PV_N8,4.882500048569017,4.8825,0.0,-67.17973299700074
21,G_IEEE1,250.00000249749675,250.0,60.0,-7.125585471575034
21,G_IEEE3,161.04055026783428,270.0,67.15,9.764959938720042e-09
21,RES_Wind_N1,89.25000089226819,89.25,0.0,-67.14166106186393
21,RES_PV_N6,9.747333876094224e-09,0.0,0.0,-7407.642762053229
21,RES_PV_N8,9.747301570817056e-09,0.0,0.0,-7410.249010021659
22,G_IEEE1,250.00000249749624,250.0,60.0,-7.124372068346223
22,G_IEEE3,163.08983006685207,270.0,67.15,9.760020191666944e-09
22,RES_Wind_N1,91.8750009185182,91.875,0.0,-67.14018515862678
22,RES_PV_N6,9.747328031101988e-09,0.0,0.0,-6883.990675162858
22,RES_PV_N8,9.747307079714171e-09,0.0,0.0,-6892.124105249433
23,G_IEEE1,250.00000249749556,250.0,60.0,-7.121606424905988
23,G_IEEE3,155.28177271692903,270.0,67.15,9.79463182100814e-09
23,RES_Wind_N1,94.50000094476817,94.5,0.0,-67.13715701517854
23,RES_PV_N6,9.747319965067454e-09,0.0,0.0,-6300.627337745629
23,RES_PV_N8,9.7473112192102e-09,0.0,0.0,-6304.681818988035
24,G_IEEE1,250.00000249749456,250.0,60.0,-7.115964607448565
24,G_IEEE3,127.72897575961267,270.0,67.15,9.86119892245124e-09
