unit,soc_hour,node,soc_mwh,delta_soc_capacity_dual,rho_periodicity_dual
I3,0,N1,1.4242334104998383e-07,-0.0943118315144858,-65.65219877906001
I3,0,N2,6.096803944349374e-08,-0.18464196214666956,-78.1527832914966
I3,0,N3,3.3189196450575347,9.838964331920177e-09,-55.84814709243096
I3,0,N4,1.424444571104477e-07,-0.09429841656861589,-65.67713623828955
I3,0,N5,1.4174373545944332e-07,-0.09377092205050475,-68.82286065134413
I3,0,N6,1.3185849811665504e-07,-0.10567116575704774,-57.00265444591138
I3,0,N7,6.072114803318451e-08,-0.18255111651822056,-78.09439473585097
I3,0,N8,7.4150500811943845,9.9499533081276e-09,-55.86469297519542
I3,0,N9,6.72172733852465,9.808099764396368e-09,-55.863369034191486
I3,1,N1,1.4192855181507343e-07,-0.09408395524326336,-65.65219877906001
I3,1,N2,6.678792220106745e-08,-0.19577981855026394,-78.1527832914966
I3,1,N3,3.318916836709053,9.838964335889069e-09,-55.84814709243096
I3,1,N4,1.4194773190472312e-07,-0.09406959784651331,-65.67713623828955
I3,1,N5,1.4224679497770063e-07,-0.09389641282016621,-68.82286065134413
I3,1,N6,1.2550127838062665e-07,-0.09886295536264364,-57.00265444591138
I3,1,N7,6.652062574638227e-08,-0.19405248384326043,-78.09439473585097
I3,1,N8,7.415047943942315,9.94995330837222e-09,-55.86469297519542
I3,1,N9,6.721725862607285,9.808099767329595e-09,-55.863369034191486
I3,2,N1,1.4143632726871002e-07,-0.0938442469860185,-65.65219877906001
I3,2,N2,7.262080026573952e-08,-0.20458644673790347,-78.1527832914966
I3,2,N3,3.3189149717433093,9.838964338727665e-09,-55.84814709243096
I3,2,N4,1.4145336223749206e-07,-0.09382876408403977,-65.67713623828955
I3,2,N5,1.4275160196675517e-07,-0.09400926383616477,-68.82286065134413
I3,2,N6,1.1916434527002106e-07,-0.09281522921338406,-57.00265444591138
I3,2,N7,7.233300801657066e-08,-0.20548703263896909,-78.09439473585097
I3,2,N8,7.41504677357041,9.949953308531847e-09,-55.86469297519542
I3,2,N9,6.721724899390687,9.808099769401978e-09,-55.863369034191486
I3,3,N1,1.4094569251307016e-07,-0.09360299341085107,-65.65219877906001
I3,3,N2,7.852023134442874e-08,-0.21487152531798054,-78.1527832914966
I3,3,N3,3.3189134888576572,9.838964341063045e-09,-55.84814709243096
I3,3,N4,1.409603712744951e-07,-0.09358644293353867,-65.67713623828955
I3,3,N5,1.432578307928087e-07,-0.09411961783148597,-68.82286065134413
I3,3,N6,1.1279338097552442e-07,-0.08738018505499102,-57.00265444591138
I3,3,N7,7.821164404609276e-08,-0.21671273296379392,-78.09439473585097
I3,3,N8,7.415045906617741,9.949953308658212e-09,-55.86469297519542
I3,3,N9,6.721724138900299,9.808099771097586e-09,-55.863369034191486
I3,4,N1,1.4045493109267005e-07,-0.09336215639043688,-65.65219877906001
I3,4,N2,8.454323736795151e-08,-0.22612276850999008,-78.1527832914966
I3,4,N3,3.318912112500269,9.838964343269594e-09,-55.84814709243096
I3,4,N4,1.4046710965605492e-07,-0.09334449967395965,-65.67713623828955
I3,4,N5,1.4376478668052444e-07,-0.09422961652638923,-68.82286065134413
I3,4,N6,1.0632549979626226e-07,-0.08244440152796575,-57.00265444591138
I3,4,N7,8.42133412711915e-08,-0.23134923418990497,-78.09439473585097
I3,4,N8,7.41504512330687,9.949953308776065e-09,-55.86469297519542
I3,4,N9,6.721723434388319,9.808099772696996e-09,-55.863369034191486
I3,5,N1,1.3996160011233854e-07,-0.09312182671400605,-65.65219877906001
I3,5,N2,9.07603301624026e-08,-0.24136152887783774,-78.1527832914966
I3,5,N3,3.3189105957869764,9.838964345698389e-09,-55.84814709243096
I3,5,N4,1.399714120485197e-07,-0.0931030824640664,-65.67713623828955
I3,5,N5,1.4427119895389824e-07,-0.09433928774074182,-68.82286065134413
I3,5,N6,9.968570518771184e-08,-0.07792282511232913,-57.00265444591138
I3,5,N7,9.04083419033432e-08,-0.2459729877855671,-78.09439473585097
I3,5,N8,7.415044253162469,9.949953308907436e-09,-55.86469297519542
I3,5,N9,6.721722655830273,9.808099774460658e-09,-55.863369034191486
I3,6,N1,1.3946218772306316e-07,-0.09288148546725994,-65.65219877906001
I3,6,N2,9.72636212377844e-08,-0.2676249638353422,-78.1527832914966
I3,6,N3,3.318908123253806,9.838964349441985e-09,-55.84814709243096
I3,6,N4,1.3947004498947384e-07,-0.09286169228104492,-65.67713623828955
I3,6,N5,1.44775070747596e-07,-0.09444801344447186,-68.82286065134413
I3,6,N6,9.277475589464989e-08,-0.07379053006851423,-57.00265444591138
I3,6,N7,9.688841501992721e-08,-0.2717721151600023,-78.09439473585097
I3,6,N8,7.415042668777664,9.949953309129041e-09,-55.86469297519542
I3,6,N9,6.721721363008733,9.808099777212214e-09,-55.863369034191486
I3,7,N1,1.3895391711244622e-07,-0.09263959189661775,-65.65219877906001
I3,7,N2,1.0420061146530457e-07,-0.31175640642285246,-78.1527832914966
I3,7,N3,3.318827443869602,9.83896439799327e-09,-55.84814709243096
I3,7,N4,1.3896051619237425e-07,-0.09261905809772802,-65.67713623828955
I3,7,N5,1.4527452424684541e-07,-0.09455443410604046,-68.82286065134413
I3,7,N6,8.547829549724602e-08,-0.07025458754203041,-57.00265444591138
I3,7,N7,1.0380047733637075e-07,-0.3152620019502857,-78.09439473585097
