hour,lambda_system,system_net_injection_residual_mw
1,67.17039865897875,3.2662939860600665e-14
2,67.1655521600085,-4.4925834679677125e-14
3,67.16205866185149,2.160478493984507e-14
4,67.16138381486674,-4.266641607211466e-15
5,67.16438868809985,1.343689610846279e-14
6,67.17310466019495,2.7532919762281514e-14
7,67.18746990971334,4.8840049304945385e-14
8,67.19055119933623,-6.899376228856472e-14
9,67.17701282790634,-1.8320185327880635e-14
10,67.16666698375478,6.319108832860564e-15
11,60.030305683336366,-1.089550626042449e-14
12,60.01500113024526,2.5659836586076516e-14
13,60.00999496447725,-2.9720678125191736e-14
14,60.010772355828024,-3.648146204211181e-15
15,60.01402175069775,-9.158137591543275e-15
16,60.02262251285314,-3.210815554702401e-14
17,67.09019244046621,1.0860773226421308e-13
18,67.1568213854937,2.237594903434442e-14
19,67.17888420356233,-3.5404885564975368e-15
20,67.18391802911044,-4.506190394574048e-14
21,67.18451106189632,1.5159070962552412e-14
22,67.18356015083442,-1.0790918339024726e-13
23,67.1810569971965,4.4661166402427496e-14
24,67.17554655426895,4.954720718438626e-14
