unit,soc_hour,node,soc_mwh,delta_soc_capacity_dual,rho_periodicity_dual
I4,0,N1,-4.965511873952828e-09,-13.557352896592688,-65.10084672126803
I4,0,N2,-5.000690901543938e-09,-13.513968624239272,-68.26861533326567
I4,0,N3,3.9471558842978056,9.938684600799916e-09,-55.847304732784174
I4,0,N4,-4.965401969520457e-09,-13.587711117959326,-65.16569471887634
I4,0,N5,-4.975794794127738e-09,-13.536554458201477,-66.3460750452414
I4,0,N6,-4.961076834710095e-09,-13.560764437440271,-63.18366369071981
I4,0,N7,-5.000637765422779e-09,-13.51607828088093,-68.27010350354489
I4,0,N8,8.238145247303375,9.974595423208051e-09,-55.86357395034327
I4,0,N9,7.785115702588366,9.941618353227545e-09,-55.86189384697871
I4,1,N1,-4.9924310606293646e-09,-13.58832218148155,-65.10084672126803
I4,1,N2,-4.986890869402815e-09,-13.56450104894384,-68.26861533326567
I4,1,N3,3.9471539628834216,9.9386846014533e-09,-55.847304732784174
I4,1,N4,-4.992316430617167e-09,-13.618147610159088,-65.16569471887634
I4,1,N5,-4.993014918462433e-09,-13.567725175489764,-66.3460750452414
I4,1,N6,-4.993005919963564e-09,-13.574135846413995,-63.18366369071981
I4,1,N7,-4.986836989146637e-09,-13.570677533981055,-68.27010350354489
I4,1,N8,8.238143975922316,9.974595423278191e-09,-55.86357395034327
I4,1,N9,7.785114695063701,9.94161835353229e-09,-55.86189384697871
I4,2,N1,-5.019063288903209e-09,-13.592895807750878,-65.10084672126803
I4,2,N2,-4.971539295424966e-09,-13.5506222918878,-68.26861533326567
I4,2,N3,3.9471527704654505,9.938684601899888e-09,-55.847304732784174
I4,2,N4,-5.019046659399777e-09,-13.622290777475,-65.16569471887634
I4,2,N5,-5.009540586003612e-09,-13.522520889428367,-66.3460750452414
I4,2,N6,-5.0249109963931435e-09,-13.574349605365576,-63.18366369071981
I4,2,N7,-4.971484644006313e-09,-13.580930146133534,-68.27010350354489
I4,2,N8,8.238143285988233,9.974595423321988e-09,-55.86357395034327
I4,2,N9,7.785114082086233,9.94161835373879e-09,-55.86189384697871
I4,3,N1,-5.052964472548364e-09,-13.592653690018468,-65.10084672126803
I4,3,N2,-4.9512259749174826e-09,-13.411443851709311,-68.26861533326567
I4,3,N3,3.947151847740237,9.938684602259665e-09,-55.847304732784174
I4,3,N4,-5.053175272447473e-09,-13.621828445685322,-65.16569471887634
I4,3,N5,-5.030392893685034e-09,-13.218616569721746,-66.3460750452414
I4,3,N6,-5.065819655392456e-09,-13.572159713872429,-63.18366369071981
I4,3,N7,-4.951170398535237e-09,-13.58310624332519,-68.27010350354489
I4,3,N8,8.238142775773802,9.97459542335605e-09,-55.86357395034327
I4,3,N9,7.785113611333007,9.94161835390457e-09,-55.86189384697871
I4,4,N1,-5.103967385472315e-09,-13.591572978341153,-65.10084672126803
I4,4,N2,-4.921439634481097e-09,-12.586027978467028,-68.26861533326567
I4,4,N3,3.947151042111141,9.938684602580323e-09,-55.847304732784174
I4,4,N4,-5.104551855107843e-09,-13.621715437877878,-65.16569471887634
I4,4,N5,-5.061902265128174e-09,-11.451202496505806,-66.3460750452414
I4,4,N6,-5.127561330118759e-09,-13.569588115886187,-63.18366369071981
I4,4,N7,-4.921382839408961e-09,-13.583832181770683,-68.27010350354489
I4,4,N8,8.238142338826362,9.974595423385943e-09,-55.86357395034327
I4,4,N9,7.785113201768365,9.941618354052112e-09,-55.86189384697871
I4,5,N1,-5.188665500865962e-09,-13.590269326729162,-65.10084672126803
I4,5,N2,-4.876640815643058e-09,-12.041943167923591,-68.26861533326567
I4,5,N3,3.9471501501742168,9.938684602934796e-09,-55.847304732784174
I4,5,N4,-5.189683706281011e-09,-13.615650194229465,-65.16569471887634
I4,5,N5,-5.115198491815635e-09,-20.534519695646704,-66.3460750452414
I4,5,N6,-5.230013375255237e-09,-13.566877592542575,-63.18366369071981
I4,5,N7,-4.876582349587967e-09,-13.584213166845537,-68.27010350354489
I4,5,N8,8.23814184876793,9.974595423419429e-09,-55.86357395034327
I4,5,N9,7.785112747554536,9.941618354215574e-09,-55.86189384697871
I4,6,N1,-5.335848168925823e-09,-13.588427436074413,-65.10084672126803
