hour,generator,dispatch_mw,capacity_mw,marginal_cost_eur_per_mwh,nu_gen_dual
1,G_IEEE1,250.00000248825285,250.0,60.0,-7.150000060219814
1,G_IEEE3,102.91438145873487,270.0,67.15,9.494731126449756e-09
1,RES_Wind_N1,94.50000094375837,94.5,0.0,-67.15000065077265
1,RES_PV_N6,0.0,0.0,0.0,
1,RES_PV_N8,0.0,0.0,0.0,
2,G_IEEE1,250.00000248825285,250.0,60.0,-7.150000059665402
2,G_IEEE3,78.6453027728926,270.0,67.15,9.559080014701702e-09
2,RES_Wind_N1,98.43750098313338,98.4375,0.0,-67.15000065018269
2,RES_PV_N6,0.0,0.0,0.0,
2,RES_PV_N8,0.0,0.0,0.0,
3,G_IEEE1,250.00000248825285,250.0,60.0,-7.150000059105752
3,G_IEEE3,61.16290011880575,270.0,67.15,9.596117274797062e-09
3,RES_Wind_N1,102.37500102250837,102.375,0.0,-67.15000064959023
3,RES_PV_N6,0.0,0.0,0.0,
3,RES_PV_N8,0.0,0.0,0.0,
4,G_IEEE1,250.00000248825285,250.0,60.0,-7.150000058695916
4,G_IEEE3,51.77587978590669,270.0,67.15,9.61354954129844e-09
4,RES_Wind_N1,105.00000104875836,105.0,0.0,-67.15000064915988
4,RES_PV_N6,0.0,0.0,0.0,
4,RES_PV_N8,0.0,0.0,0.0,
5,G_IEEE1,250.00000248825285,250.0,60.0,-7.1500000592837845
5,G_IEEE3,67.94650225331625,270.0,67.15,9.582552977770292e-09
5,RES_Wind_N1,102.37500102250837,102.375,0.0,-67.15000064976824
5,RES_PV_N6,0.0,0.0,0.0,
5,RES_PV_N8,0.0,0.0,0.0,
6,G_IEEE1,250.00000248825285,250.0,60.0,-7.150000060424713
6,G_IEEE3,116.44422851496468,270.0,67.15,9.450236409496308e-09
6,RES_Wind_N1,94.50000094375837,94.5,0.0,-67.15000065097755
6,RES_PV_N6,0.0,0.0,0.0,
6,RES_PV_N8,0.0,0.0,0.0,
7,G_IEEE1,250.00000248825285,250.0,60.0,-7.150000062181793
7,G_IEEE3,197.09859528416513,270.0,67.15,8.836876535043596e-09
7,RES_Wind_N1,81.37500081250838,81.375,0.0,-67.15000065287799
7,RES_PV_N6,3.937500038126494,3.9375,0.0,-67.1500006741711
7,RES_PV_N8,9.765000096401495,9.765,0.0,-67.15000066235216
8,G_IEEE1,250.00000248825285,250.0,60.0,-7.150000063279843
8,G_IEEE3,223.1592273182535,270.0,67.15,8.180881065625988e-09
8,RES_Wind_N1,68.25000068125837,68.25,0.0,-67.15000065417452
8,RES_PV_N6,19.687500195626495,19.6875,0.0,-67.15000065791259
8,RES_PV_N8,48.825000487001496,48.825,0.0,-67.1500006563952
9,G_IEEE1,250.00000248825285,250.0,60.0,-7.150000061673573
9,G_IEEE3,133.46470495455517,270.0,67.15,9.381462766385428e-09
9,RES_Wind_N1,55.12500055000836,55.125,0.0,-67.15000065286127
9,RES_PV_N6,55.12500055000149,55.125,0.0,-67.15000065337694
9,RES_PV_N8,136.7100013658515,136.71,0.0,-67.15000065269341
10,G_IEEE1,236.4408424421491,250.0,60.0,3.3519027043351076e-09
10,G_IEEE3,1.7471466541595967e-09,270.0,67.15,9.68891815380279e-09
10,RES_Wind_N1,45.93750045798541,45.9375,0.0,-60.000000588122646
10,RES_PV_N6,94.50000094360271,94.5,0.0,-60.00000058740636
10,RES_PV_N8,234.3600023422027,234.36,0.0,-60.0000005864737
11,G_IEEE1,127.83018437667654,250.0,60.0,9.309599704748052e-09
11,G_IEEE3,-8.33611990561803e-09,270.0,67.15,9.688918153814402e-09
