unit,soc_hour,node,soc_mwh,delta_soc_capacity_dual,rho_periodicity_dual
I3,0,N1,6.714561422964768e-08,-0.38118666149123487,-73.87641554086693
I3,1,N1,7.412125076752777e-08,-0.3934525069305522,-73.87641554086693
I3,2,N1,8.019901107181846e-08,-0.40384786459987254,-73.87641554086693
I3,3,N1,8.556028947018833e-08,-0.4133202938532071,-73.87641554086693
I3,4,N1,9.033015640746505e-08,-0.4221097003516308,-73.87641554086693
I3,5,N1,9.459967492315009e-08,-0.4302439714667648,-73.87641554086693
I3,6,N1,9.843799111603838e-08,-0.43754533945642476,-73.87641554086693
I3,7,N1,1.0189937511526799e-07,-0.4433536722683917,-73.87641554086693
I3,8,N1,1.0502754339364426e-07,-0.44592698770779443,-73.87641554086693
I3,9,N1,1.0785842208663466e-07,-0.4414243202005828,-73.87641554086693
I3,10,N1,1.2481080645221877e-07,-0.4139523299272343,-73.87641554086693
I3,11,N1,1.4117072151629901e-07,-0.5608924602042814,-73.87641554086693
I3,12,N1,1.5745942935696655e-07,-0.6186507059832712,-73.87641554086693
I3,13,N1,1.7418116448556675e-07,-0.6929191129192357,-73.87641554086693
I3,14,N1,1.9195150364941788e-07,-0.7969972728942394,-73.87641554086693
I3,15,N1,2.1171975392060326e-07,-0.9635552871158651,-73.87641554086693
I3,16,N1,2.3539133296638178e-07,-1.3090786431191206,-73.87641554086693
I3,17,N1,2.6859213660135847e-07,-3.2895695322091623,-73.87641554086693
I3,18,N1,2.774836010146156e-07,-4.982923829161273,-73.87641554086693
I3,19,N1,2.0810064155187443e-07,-0.3878390885766596,-73.87641554086693
I3,20,N1,9.732843108474227e-08,-0.4368322658874395,-73.87641554086693
I3,21,N1,3.0690097183737805e-08,-0.3376046828949058,-73.87641554086693
I3,22,N1,4.5999525317158324e-08,-0.35719695949673624,-73.87641554086693
I3,23,N1,5.761095553949445e-08,-0.3696552799455957,-73.87641554086693
I3,24,N1,6.714561422964768e-08,-0.37663930774280324,-73.87641554086693
I3,0,N2,4.927218207062971,2.4841378367186568e-09,-79.75427428037342
I3,1,N2,5.7924424166630795,1.7308923924145771e-09,-79.75427428037342
I3,2,N2,6.623429022579515,8.634597484431103e-10,-79.75427428037342
I3,3,N2,7.440466789041261,-1.7199214217592059e-10,-79.75427428037342
I3,4,N2,8.260293555650303,-1.4571205548131315e-09,-79.75427428037342
I3,5,N2,9.09474293421372,-3.1193176522708933e-09,-79.75427428037342
I3,6,N2,9.959824027562759,-5.396075983599226e-09,-79.75427428037342
I3,7,N2,10.873452429351557,-8.768151041064686e-09,-79.75427428037342
I3,8,N2,11.876592819774428,-1.4506099301667008e-08,-79.75427428037342
I3,9,N2,13.074401346645955,-2.757207513829763e-08,-79.75427428037342
I3,10,N2,15.30989325502546,-7.44999959687475,-79.75427428037342
I3,11,N2,12.758244379387806,-2.2916785361385886e-08,-79.75427428037342
I3,12,N2,10.206595503747984,-6.458395188692924e-09,-79.75427428037342
I3,13,N2,7.654946628107921,-9.722640163283262e-10,-79.75427428037342
I3,14,N2,5.1032977524684755,1.7708017788076733e-09,-79.75427428037342
I3,15,N2,2.551648876829225,3.4166413227103334e-09,-79.75427428037342
I3,16,N2,1.1906837493682082e-09,4.5138677131925455e-09,-79.75427428037342
I3,17,N2,2.2354919095701873,3.5758367052798443e-09,-79.75427428037342
I3,18,N2,4.087951958399568,2.250882198683816e-09,-79.75427428037342
I3,19,N2,4.087951884312838,2.7045878001569726e-09,-79.75427428037342
I3,20,N2,1.5363001028221146,4.028144054459075e-09,-79.75427428037342
I3,21,N2,1.53630002873538,4.51386309207968e-09,-79.75427428037342
I3,22,N2,2.824680305831576,3.881112783517985e-09,-79.75427428037342
I3,23,N2,3.9303845226224796,3.2145847480513702e-09,-79.75427428037342
I3,24,N2,4.927218207062971,2.484137836745239e-09,-79.75427428037342
I3,0,N3,5.205895301642884e-08,-0.015856456995688092,-71.16156422035056
I3,1,N3,5.554675328389192e-08,-0.015891498947167022,-71.16156422035056
I3,2,N3,5.753681307173732e-08,-0.01591327488527997,-71.16156422035056
I3,3,N3,5.811746992694678e-08,-0.015924256397566675,-71.16156422035056
I3,4,N3,5.725491278758595e-08,-0.01592534054563293,-71.16156422035056
I3,5,N3,5.478455736677844e-08,-0.015916692512216543,-71.16156422035056
I3,6,N3,5.0343420101444475e-08,-0.015897843564444288,-71.16156422035056
I3,7,N3,4.316145049450892e-08,-0.015867432209497927,-71.16156422035056
I3,8,N3,3.129600371153719e-08,-0.01582213999770542,-71.16156422035056
I3,9,N3,6.313149909414991e-09,-0.015750836965608198,-71.16156422035056
I3,10,N3,-6.991910430135007e-09,-0.015705116709735203,-71.16156422035056
I3,11,N3,1.0911790885679813e-06,-0.020048430034467206,-71.16156422035056
I3,12,N3,1.8265013058364058e-06,-0.024695986116902553,-71.16156422035056
I3,13,N3,2.4716047228823997e-06,-0.03110087389340431,-71.16156422035056
I3,14,N3,3.1167148982112053e-06,-0.0420845062942995,-71.16156422035056
I3,15,N3,3.852066811311827e-06,-0.07047306959231556,-71.16156422035056
I3,16,N3,4.950367251268813e-06,-31.008345769420277,-71.16156422035056
I3,17,N3,4.945398417434152e-06,-11.112754972032034,-71.16156422035056
I3,18,N3,4.945928037341906e-06,-11.877208729467196,-71.16156422035056
I3,19,N3,3.771185992056977e-06,-0.06490092114347637,-71.16156422035056
I3,20,N3,1.1840359949497e-06,-0.020865045343617904,-71.16156422035056
I3,21,N3,1.7008842715966933e-08,-0.015424208010304558,-71.16156422035056
I3,22,N3,3.419341849267979e-08,-0.015762026775696155,-71.16156422035056
I3,23,N3,4.4720910196461105e-08,-0.01583714453101832,-71.16156422035056
I3,24,N3,5.205895301642884e-08,-0.015847174405387857,-71.16156422035056
I3,0,N4,6.832080515151768e-08,-0.3524851792739792,-74.04561477550698
I3,1,N4,7.586562038221049e-08,-0.3643397703951258,-74.04561477550698
I3,2,N4,8.242436465650224e-08,-0.3742740712951435,-74.04561477550698
I3,3,N4,8.820426933168621e-08,-0.3832140170448396,-74.04561477550698
I3,4,N4,9.334553619828526e-08,-0.39137007975230453,-74.04561477550698
I3,5,N4,9.794867261527306e-08,-0.3987667305957979,-74.04561477550698
I3,6,N4,1.02088967490977e-07,-0.4053017696379757,-74.04561477550698
I3,7,N4,1.0582478879370808e-07,-0.4106016864955098,-74.04561477550698
I3,8,N4,1.0920263167898914e-07,-0.41369737757540637,-74.04561477550698
I3,9,N4,1.1226033409745176e-07,-0.41278980875680676,-74.04561477550698
I3,10,N4,1.310628865877908e-07,-0.4767369123699196,-74.04561477550698
I3,11,N4,1.491157768339119e-07,-0.5185045990090017,-74.04561477550698
I3,12,N4,1.6702871125302485e-07,-0.5718795586300222,-74.04561477550698
I3,13,N4,1.8537468837975487e-07,-0.6419744632702251,-74.04561477550698
I3,14,N4,2.048452563014546e-07,-0.7409598937213379,-74.04561477550698
I3,15,N4,2.265127150404341e-07,-0.9009684837286477,-74.04561477550698
I3,16,N4,2.525841953595109e-07,-1.2408137046440768,-74.04561477550698
I3,17,N4,2.90045489931746e-07,-3.430603609244985,-74.04561477550698
I3,18,N4,2.9950349197049267e-07,-5.398381730748456,-74.04561477550698
I3,19,N4,2.2675552416161255e-07,-0.38452244486118076,-74.04561477550698
I3,20,N4,9.643134447882977e-08,-0.39143275933223315,-74.04561477550698
I3,21,N4,2.7488373450998114e-08,-0.31041469934602217,-74.04561477550698
I3,22,N4,4.50245404846348e-08,-0.32969059512045074,-74.04561477550698
I3,23,N4,5.789305215043557e-08,-0.34200540694456083,-74.04561477550698
I3,24,N4,6.832080515151768e-08,-0.3487132868608678,-74.04561477550698
I3,0,N5,7.836752828343042e-08,-0.3810271953992205,-75.06036806017005
I3,1,N5,8.800806274398983e-08,-0.3986769289823726,-75.06036806017005
I3,2,N5,9.667005664029563e-08,-0.4138578560334621,-75.06036806017005
I3,3,N5,1.0460151840858378e-07,-0.4277643040323332,-75.06036806017005
I3,4,N5,1.1197301797923788e-07,-0.4408814469123508,-75.06036806017005
I3,5,N5,1.1891029118264878e-07,-0.4534533878885832,-75.06036806017005
I3,6,N5,1.2551141273910502e-07,-0.4656292461526994,-75.06036806017005
I3,7,N5,1.3185668693988662e-07,-0.4775043441629158,-75.06036806017005
I3,8,N5,1.3801479396422472e-07,-0.48918636014314415,-75.06036806017005
I3,9,N5,1.440469014404626e-07,-0.5007574168932479,-75.06036806017005
I3,10,N5,1.9422797661887777e-07,-0.7483173944591806,-75.06036806017005
I3,11,N5,1.9296093970246416e-07,-0.7234324684547869,-75.06036806017005
I3,12,N5,1.919880504054331e-07,-0.7126335197098891,-75.06036806017005
I3,13,N5,1.912953913316874e-07,-0.7057252666284196,-75.06036806017005
I3,14,N5,1.9087262732665152e-07,-0.7008885522047509,-75.06036806017005
I3,15,N5,1.9071253660614187e-07,-0.6972752395940605,-75.06036806017005
I3,16,N5,1.90810721867714e-07,-0.6944430918729861,-75.06036806017005
I3,17,N5,2.753063767469201e-07,-2.388143380797686,-75.06036806017005
I3,18,N5,2.893090760560443e-07,-4.098816342794867,-75.06036806017005
I3,19,N5,2.2501422391102718e-07,-0.4168844807093141,-75.06036806017005
I3,20,N5,9.068655867142585e-08,-0.38815496490424783,-75.06036806017005
I3,21,N5,2.9888307690771745e-08,-0.31811986763421907,-75.06036806017005
I3,22,N5,5.043892657345878e-08,-0.3462511042215855,-75.06036806017005
I3,23,N5,6.57247877723319e-08,-0.3656372126621937,-75.06036806017005
I3,24,N5,7.836752828343042e-08,-0.37833663439125376,-75.06036806017005
I3,0,N6,5.246483183594798e-08,-0.06792515955737641,-71.50535632479418
I3,1,N6,5.6295493978375005e-08,-0.0683902601260021,-71.50535632479418
I3,2,N6,5.8707471193794956e-08,-0.0686519221435321,-71.50535632479418
I3,3,N6,5.981563339371802e-08,-0.06877568794131735,-71.50535632479418
I3,4,N6,5.963100320860257e-08,-0.06879145968639434,-71.50535632479418
I3,5,N6,5.80683351106499e-08,-0.06870755514641884,-71.50535632479418
I3,6,N6,5.491921790898513e-08,-0.06851535649893642,-71.50535632479418
I3,7,N6,4.976658326324358e-08,-0.06818756768770644,-71.50535632479418
I3,8,N6,4.1734121594929834e-08,-0.06766909719305844,-71.50535632479418
I3,9,N6,2.851943826022446e-08,-0.06685460376653939,-71.50535632479418
I3,10,N6,2.6484129461971196e-08,-0.06651312171668833,-71.50535632479418
I3,11,N6,2.8602645132787006e-07,-0.08478973984023569,-71.50535632479418
I3,12,N6,4.674566475236053e-07,-0.10425447471548574,-71.50535632479418
I3,13,N6,6.282914215834109e-07,-0.13027533769359353,-71.50535632479418
I3,14,N6,7.896868342614187e-07,-0.1736692368872185,-71.50535632479418
I3,15,N6,9.735226081254908e-07,-0.28227290441644753,-71.50535632479418
I3,16,N6,1.2427368031127604e-06,-6.309179944845047,-71.50535632479418
I3,17,N6,1.245424948812792e-06,-7.563801242824436,-71.50535632479418
I3,18,N6,1.2481680055966139e-06,-10.160377825335942,-71.50535632479418
I3,19,N6,9.438369922380513e-07,-0.26491869776935156,-71.50535632479418
I3,20,N6,3.149877406172324e-07,-0.08691545873608798,-71.50535632479418
I3,21,N6,1.7226937197628982e-08,-0.0658214155099107,-71.50535632479418
I3,22,N6,3.4281274773845346e-08,-0.06720081612861481,-71.50535632479418
I3,23,N6,4.4919184383645335e-08,-0.06768978598406314,-71.50535632479418
I3,24,N6,5.246483183594798e-08,-0.06772758219527591,-71.50535632479418
I3,0,N7,1.0048449238745508e-07,-0.3903539797068887,-76.82085351331666
I3,1,N7,1.16676548883795e-07,-0.4203301710917334,-76.82085351331666
I3,2,N7,1.3181837052885406e-07,-0.45059756361995534,-76.82085351331666
I3,3,N7,1.4635329788500208e-07,-0.48282789343467863,-76.82085351331666
