unit,hour,node,soc_start_mwh,soc_end_mwh,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_eur_per_mwh,spot_revenue_eur,degradation_cost_eur,rho_charge_dual,sigma_discharge_dual,gamma_soc_transition_dual
I3,1,N1,6.714561422964768e-08,7.412125076752777e-08,1.0725413881048968e-09,-5.589546579502622e-09,-6.662087967607518e-09,67.15000065988384,-4.4735921142104907e-07,-3.387753893548294e-08,-0.9597357660910091,-0.8832466489264356,-73.12987406902788
I3,2,N1,7.412125076752777e-08,8.019901107181846e-08,2.9251088471406203e-10,-5.432516028761639e-09,-5.725026913475701e-09,67.15000065932944,-3.844355610145721e-07,-3.855003858035683e-08,-0.947068113642406,-0.8867929552330982,-72.49854915815565
I3,3,N1,8.019901107181846e-08,8.556028947018833e-08,-3.060939709611783e-10,-5.286324284457405e-09,-4.980230313496226e-09,67.15000065876978,-3.3442246883209685e-07,-4.194313691563937e-08,-0.9389654530401877,-0.888425410249428,-71.94578034102126
I3,4,N1,8.556028947018833e-08,9.033015640746505e-08,-7.817422153284129e-10,-5.149476681171362e-09,-4.367734465842949e-09,67.15000065835994,-2.9329337225689546e-07,-4.4484141723748306e-08,-0.933029252546591,-0.8896054598215393,-71.45287126211463
I3,5,N1,9.033015640746505e-08,9.459967492315009e-08,-1.1696135207440432e-09,-5.020963057750961e-09,-3.851349537006917e-09,67.15000065894782,-2.586181239478529e-07,-4.6429324338712537e-08,-0.9283258778594872,-0.8907155726406222,-71.00805030694434
I3,6,N1,9.459967492315009e-08,9.843799111603838e-08,-1.4922802271103315e-09,-4.900044694393904e-09,-3.407764467283573e-09,67.15000066008874,-2.2883138622751886e-07,-4.7942436911281766e-08,-0.9243498069857848,-0.8919609373344156,-70.60276735408797
I3,7,N1,9.843799111603838e-08,1.0189937511526799e-07,-1.764945762813975e-09,-4.786117346297187e-09,-3.021171583483212e-09,67.15000066184582,-2.0287167383044748e-07,-4.913297331833372e-08,-0.9205777268397215,-0.8937358493874518,-70.22987918516488
I3,8,N1,1.0189937511526799e-07,1.0502754339364426e-07,-1.9982324366946844e-09,-4.67860895341866e-09,-2.6803765167239756e-09,67.15000066294387,-1.7998728487495412e-07,-5.0076310425850087e-08,-0.9161747522965579,-0.8968595447426226,-69.8817837567385
I3,9,N1,1.0502754339364426e-07,1.0785842208663466e-07,-2.1997602870802982e-09,-4.576903645108905e-09,-2.377143358028607e-09,67.1500006613376,-1.5962517806371523e-07,-5.0824979491419025e-08,-0.9099049804390695,-0.9024091122626616,-69.54734503500704
I3,10,N1,1.0785842208663466e-07,1.2481080645221877e-07,1.0980339068617302e-08,-6.247600629527378e-09,-1.722793969814468e-08,60.00000059629424,-1.033676392161602e-06,3.549553829317443e-08,-0.9560987052230514,-0.8612335401186325,-69.32703635516819
