hour,node,demand_mw,generation_mw,p_charge_mw,p_discharge_mw,storage_net_injection_mw,load_shed_mw,net_injection_mw,lambda_eur_per_mwh
1,N1,0.0,344.5000034149798,9.411266238401391e-09,2.139683782374945e-09,-7.2715824560264465e-09,0.0,344.5000034077082,67.15000065846301
1,N2,0.0,0,0.9916346395050374,-2.5653386580186865e-09,-0.991634642070376,0.0,-0.9916346420703818,67.15000066348065
1,N3,0.0,100.42384562894364,-3.1695800705880365e-10,2.0249412046048626e-08,2.056637005310743e-08,0.0,100.42384564951,67.15000066111817
1,N4,0.0,0,9.210506580741514e-09,2.176260030828647e-09,-7.034246549912867e-09,0.0,-7.034252461519506e-09,67.15000066167363
1,N5,371.25,0,1.4961981164472096e-08,4.31277106178404e-10,-1.4530704058293692e-08,0.0,-371.2500000145307,67.15000066365467
1,N6,35.64,0,2.215102259809008e-09,1.0092924056756105e-08,7.877821796947097e-09,0.0,-35.639999992122185,67.15000066193569
1,N7,0.0,0,5.060897419435468,-2.565338693525548e-09,-5.060897422000807,0.0,-5.060897422000813,67.15000066404313
1,N8,39.6,0,-1.513873706697693e-09,7.618682998635836,7.6186830001497094,0.0,-31.981316999850296,67.15000066307542
1,N9,0.0,0,-3.09849333306334e-10,2.008058470662839e-08,2.0390434039934727e-08,0.0,2.039042813414975e-08,67.15000066179145
2,N1,0.0,348.43750345435484,9.000902447836359e-09,2.3300653631750617e-09,-6.670837084661297e-09,0.0,348.437503447684,67.1500006566967
2,N2,0.0,0,0.9870309869410779,-2.5653386577561406e-09,-0.9870309895064165,0.0,-0.9870309895064223,67.15000066188433
2,N3,0.0,76.43055512196847,-3.524797955746506e-10,2.0628962441189558e-08,2.0981442236764208e-08,0.0,76.4305551429499,67.15000066014228
2,N4,0.0,0,8.780444263433117e-09,2.381726513178001e-09,-6.398717750255116e-09,0.0,-6.398723625457437e-09,67.15000066017056
