investor,node,projection_scale,projected_power_mw,projected_energy_mwh,projected_ratio_hours
I1,N1,1.0,0.0,0.0,0.0
I2,N1,1.0,0.0,0.0,0.0
I3,N1,1.0,0.0,0.0,0.0
I4,N1,1.0,0.0,0.0,0.0
I1,N2,1.0,6.136140230271865,39.33421226051603,6.410253153352936
I2,N2,1.0,1.9401341313781695,3.880367345044424,2.0000510698134124
I3,N2,1.0,2.3883460490906607,15.309893256216142,6.4102491605206176
I4,N2,1.0,7.956067652310244,42.35649346811749,5.323797549134492
I1,N3,1.0,0.0,0.0,0.0
I2,N3,1.0,0.0,0.0,0.0
I3,N3,1.0,0.0,0.0,0.0
I4,N3,1.0,0.0,0.0,0.0
I1,N4,1.0,0.0,0.0,0.0
I2,N4,1.0,0.0,0.0,0.0
I3,N4,1.0,0.0,0.0,0.0
I4,N4,1.0,0.0,0.0,0.0
I1,N5,1.0,0.0,0.0,0.0
I2,N5,1.0,0.0,0.0,0.0
I3,N5,1.0,0.0,0.0,0.0
I4,N5,1.0,0.0,0.0,0.0
I1,N6,1.0,0.0,0.0,0.0
I2,N6,1.0,0.0,0.0,0.0
I3,N6,1.0,0.0,0.0,0.0
I4,N6,1.0,0.0,0.0,0.0
I1,N7,1.0,9.811367363524452,62.893360160852104,6.410254333628322
I2,N7,1.0,0.44821085399981764,0.896520699021489,2.0002208581540817
I3,N7,1.0,0.0,0.0,0.0
I4,N7,1.0,50.77145977390856,127.07430299757134,2.5028688078587567
I1,N8,0.45898874484150354,24.72606137497436,49.45212280243195,2.0000000021225874
I2,N8,0.45898874484150354,24.725904506499166,49.451809079611984,2.0000000026940836
I3,N8,0.45898874484150354,24.725904506100026,49.45180908995467,2.0000000031446623
I4,N8,0.45898874484150354,25.82212961242645,138.79594715094115,5.3750774716949765
I1,N9,1.0,0.0,0.0,0.0
I2,N9,1.0,0.0,0.0,0.0
I3,N9,1.0,0.0,0.0,0.0
I4,N9,1.0,0.0,0.0,0.0
