hour,node,demand_mw,generation_mw,p_charge_mw,p_discharge_mw,storage_net_injection_mw,load_shed_mw,net_injection_mw,lambda_eur_per_mwh
1,N1,0.0,344.50000319571586,1.5590160994559622e-07,7.151962721672134e-08,-8.438198272887488e-08,0.0,344.50000311133385,67.15000062992485
1,N2,0.0,0,0.33927694278257264,4.35414800145977e-08,-0.3392768992410926,0.0,-0.33927689924109267,67.15000067298006
1,N3,0.0,102.36420084066354,6.310591065577076e-08,2.919124047961019e-07,2.2880649414033116e-07,0.0,102.36420106947004,67.15000065554992
1,N4,0.0,0,1.4999774556438712e-07,7.255092244675775e-08,-7.744682311762937e-08,0.0,-7.744682311762938e-08,67.15000065678568
1,N5,371.25,0,1.8560171293034114e-07,6.420852187286814e-08,-1.21393191057473e-07,0.0,-371.2500001213932,67.15000067327796
1,N6,35.64,0,7.770219825331561e-08,1.4633277750812956e-07,6.863057925481395e-08,0.0,-35.639999931369424,67.15000065897037
1,N7,0.0,0,0.034927811395109865,4.3541552120097794e-08,-0.034927767853557744,0.0,-0.03492776785355775,67.15000067295622
1,N8,39.6,0,5.920901512390568e-08,4.4774010667206466e-07,3.88531091548159e-07,0.0,-39.59999961146891,67.15000066798565
1,N9,0.0,0,6.314038644147352e-08,2.9110949445724615e-07,2.2796910801577264e-07,0.0,2.2796910801577264e-07,67.15000065777629
2,N1,0.0,348.43750323509084,1.5270293056621527e-07,7.24288836489914e-08,-8.027404691722387e-08,0.0,348.4375031548168,67.15000061914638
2,N2,0.0,0,0.33870017154885923,4.35414800663753e-08,-0.33870012800737914,0.0,-0.33870012800737914,67.15000066334122
2,N3,0.0,78.1293075197067,6.233371422083741e-08,3.0793336263509096e-07,2.4559964841425356e-07,0.0,78.12930776530634,67.15000064950958
2,N4,0.0,0,1.465810867207286e-07,7.362370526828274e-08,-7.295738145244587e-08,0.0,-7.295738145244588e-08,67.15000064823501
2,N5,354.375,0,1.814114820849527e-07,6.492153502357426e-08,-1.1648994706137844e-07,0.0,-354.37500011648996,67.15000066342411
2,N6,34.02,0,7.589868644694594e-08,1.5336952481290382e-07,7.747083836595787e-08,0.0,-34.019999922529166,67.15000065137099
